GetBattleInfo, MoveForward, MoveForward, GetBattleInfo, MoveForward, GetBattleInfo, GetBattleInfo, MoveForward, MoveForward, GetBattleInfo, GetBattleInfo, MoveForward, MoveForward, GetBattleInfo, GetBattleInfo, MoveForward, MoveForward, GetBattleInfo, GetBattleInfo, MoveForward, MoveForward, GetBattleInfo
killed, MoveForward (ignored), killed, killed, killed, killed, RotateRight90, killed, killed, GetBattleInfo, killed, killed, killed, GetBattleInfo, GetBattleInfo, killed, killed, MoveForward, RotateRight45, killed, killed, Shoot
killed, MoveForward (ignored), killed, killed, killed, killed, RotateRight90, killed, killed, RotateLeft90, killed, killed, killed, RotateRight90, Shoot, killed, killed, GetBattleInfo, MoveForward (killed), killed, killed, MoveForward
killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward, killed, killed, MoveForward, killed, killed, killed, RotateRight45, GetBattleInfo, killed, killed, MoveForward, killed, killed, killed, MoveForward
killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward, killed, killed, RotateLeft90, killed, killed, killed, MoveForward, GetBattleInfo, killed, killed, RotateRight45, killed, killed, killed, MoveForward
killed, MoveForward (ignored), killed, killed, killed, killed, RotateRight90, killed, killed, MoveForward, killed, killed, killed, RotateLeft90, GetBattleInfo, killed, killed, MoveForward, killed, killed, killed, MoveForward
killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward, killed, killed, MoveForward, killed, killed, killed, RotateLeft45, GetBattleInfo, killed, killed, RotateLeft45, killed, killed, killed, GetBattleInfo
killed, MoveForward (ignored), killed, killed, killed, killed, GetBattleInfo, killed, killed, MoveForward, killed, killed, killed, Shoot, GetBattleInfo, killed, killed, Shoot, killed, killed, killed, GetBattleInfo
killed, MoveForward (ignored), killed, killed, killed, killed, GetBattleInfo, killed, killed, GetBattleInfo, killed, killed, killed, GetBattleInfo, Shoot, killed, killed, RotateLeft90, killed, killed, killed, Shoot
killed, MoveForward (ignored), killed, killed, killed, killed, GetBattleInfo, killed, killed, GetBattleInfo, killed, killed, killed, RotateRight90, GetBattleInfo, killed, killed, GetBattleInfo, killed, killed, killed, GetBattleInfo
killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward, killed, killed, RotateLeft90, killed, killed, killed, GetBattleInfo, GetBattleInfo, killed, killed, RotateRight90, killed, killed, killed, RotateLeft90
killed, MoveForward (ignored), killed, killed, killed, killed, GetBattleInfo, killed, killed, Shoot, killed, killed, killed, RotateRight90, GetBattleInfo, killed, killed, GetBattleInfo, killed, killed, killed, RotateRight90
killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward, killed, killed, RotateRight90, killed, killed, killed, RotateRight90, GetBattleInfo, killed, killed, GetBattleInfo, killed, killed, killed, GetBattleInfo
killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward, killed, killed, RotateRight90, killed, killed, killed, RotateRight90, Shoot, killed, killed, Shoot, killed, killed, killed, Shoot
killed, MoveForward (ignored), killed, killed, killed, killed, RotateRight90, killed, killed, MoveForward, killed, killed, killed, Shoot (killed), GetBattleInfo, killed, killed, GetBattleInfo, killed, killed, killed, GetBattleInfo
killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (killed), killed, killed, GetBattleInfo, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, GetBattleInfo
killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, GetBattleInfo
killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, GetBattleInfo
killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, Shoot, killed, killed, killed, killed, killed, killed, Shoot
killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, Shoot (killed), killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, GetBattleInfo
killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, GetBattleInfo
killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, GetBattleInfo
killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, GetBattleInfo
killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, Shoot, killed, killed, killed, killed, killed, killed, GetBattleInfo
killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, Shoot
killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, GetBattleInfo
Player 1 won with 2 tanks still alive
