MoveForward (ignored), MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward
MoveForward (ignored), MoveForward, MoveForward, MoveForward (ignored), MoveForward, killed, MoveForward, MoveForward, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward
MoveForward (ignored), RotateRight90, RotateRight90, MoveForward (ignored), RotateRight90, killed, MoveForward, RotateRight90, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward
MoveForward (ignored), MoveForward, MoveForward, MoveForward (ignored), MoveForward, killed, MoveForward, MoveForward, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward
MoveForward (ignored), MoveForward, MoveForward, MoveForward (ignored), MoveForward, killed, MoveForward, MoveForward, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward
MoveForward (ignored), RotateRight90, RotateRight90, MoveForward (ignored), RotateRight90, killed, MoveForward, RotateRight90, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward
MoveForward (ignored), MoveForward, MoveForward, MoveForward (ignored), MoveForward, killed, MoveForward (killed), MoveForward, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward
MoveForward (ignored), MoveForward, MoveForward, MoveForward (ignored), MoveForward, killed, killed, MoveForward, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward
MoveForward (ignored), RotateRight90, RotateRight90, MoveForward (ignored), RotateRight90, killed, killed, RotateRight90, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward
MoveForward (ignored), MoveForward, MoveForward, MoveForward (ignored), MoveForward, killed, killed, MoveForward, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward
MoveForward (ignored), MoveForward, MoveForward, MoveForward (ignored), MoveForward, killed, killed, MoveForward, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward
MoveForward (ignored), RotateRight90, RotateRight90, MoveForward (ignored), RotateRight90, killed, killed, RotateRight90, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward
MoveForward (ignored), MoveForward, MoveForward, MoveForward (ignored), MoveForward, killed, killed, MoveForward, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward
MoveForward (ignored), MoveForward, MoveForward, MoveForward (ignored), MoveForward, killed, killed, MoveForward, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward
MoveForward (ignored), RotateRight90 (killed), RotateRight90, MoveForward (ignored), RotateRight90, killed, killed, RotateRight90, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (killed)
MoveForward (ignored), killed, MoveForward, MoveForward (ignored), MoveForward, killed, killed, MoveForward, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed
MoveForward (ignored), killed, MoveForward, MoveForward (ignored), MoveForward, killed, killed, MoveForward, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed
MoveForward (ignored), killed, RotateRight90, MoveForward (ignored), RotateRight90, killed, killed, RotateRight90, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed
MoveForward (ignored), killed, MoveForward, MoveForward (ignored), MoveForward, killed, killed, MoveForward, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed
MoveForward (ignored), killed, MoveForward, MoveForward (ignored), MoveForward, killed, killed, MoveForward, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed
MoveForward (ignored), killed, RotateRight90, MoveForward (ignored), RotateRight90, killed, killed, RotateRight90, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed
MoveForward (ignored), killed, MoveForward, MoveForward (ignored), MoveForward, killed, killed, MoveForward, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed
MoveForward (ignored), killed, MoveForward, MoveForward (ignored), MoveForward, killed, killed, MoveForward, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed
MoveForward (ignored), killed, RotateRight90, MoveForward (ignored), RotateRight90, killed, killed, RotateRight90, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed
MoveForward (ignored), killed, MoveForward, MoveForward (ignored), MoveForward, killed, killed, MoveForward, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed
MoveForward (ignored), killed, MoveForward, MoveForward (ignored), MoveForward, killed, killed, MoveForward, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed
MoveForward (ignored), killed, RotateRight90, MoveForward (ignored), RotateRight90, killed, killed, RotateRight90, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed
MoveForward (ignored), killed, MoveForward, MoveForward (ignored), MoveForward, killed, killed, MoveForward, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed
MoveForward (ignored), killed, MoveForward, MoveForward (ignored), MoveForward, killed, killed, MoveForward, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed
MoveForward (ignored), killed, RotateRight90, MoveForward (ignored), RotateRight90, killed, killed, RotateRight90, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed
MoveForward (ignored), killed, MoveForward, MoveForward (ignored), MoveForward, killed, killed, MoveForward, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed
MoveForward (ignored), killed, MoveForward, MoveForward (ignored), MoveForward, killed, killed, MoveForward, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed
MoveForward (ignored), killed, RotateRight90, MoveForward (ignored), RotateRight90, killed, killed, RotateRight90, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed
MoveForward (ignored), killed, MoveForward, MoveForward (ignored), MoveForward, killed, killed, MoveForward, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed
MoveForward (ignored), killed, MoveForward, MoveForward (ignored), MoveForward, killed, killed, MoveForward, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed
MoveForward (ignored), killed, RotateRight90, MoveForward (ignored), RotateRight90, killed, killed, RotateRight90, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed
MoveForward (ignored), killed, MoveForward, MoveForward (ignored), MoveForward, killed, killed, MoveForward, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed
MoveForward (ignored), killed, MoveForward, MoveForward (ignored), MoveForward, killed, killed, MoveForward, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed
MoveForward (ignored), killed, RotateRight90, MoveForward (ignored), RotateRight90, killed, killed, RotateRight90, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed
MoveForward (ignored), killed, MoveForward, MoveForward (ignored), MoveForward, killed, killed, MoveForward, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed
MoveForward (ignored), killed, MoveForward, MoveForward (ignored), MoveForward, killed, killed, MoveForward, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed
MoveForward (ignored), killed, RotateRight90, MoveForward (ignored), RotateRight90, killed, killed, RotateRight90, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed
MoveForward (ignored), killed, MoveForward, MoveForward (ignored), MoveForward, killed, killed, MoveForward, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed
MoveForward (ignored), killed, MoveForward, MoveForward (ignored), MoveForward, killed, killed, MoveForward, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed
MoveForward (ignored), killed, RotateRight90, MoveForward (ignored), RotateRight90, killed, killed, RotateRight90, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed
MoveForward (ignored), killed, MoveForward, MoveForward (ignored), MoveForward, killed, killed, MoveForward, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed
MoveForward (ignored), killed, MoveForward, MoveForward (ignored), MoveForward, killed, killed, MoveForward, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed
MoveForward (ignored), killed, RotateRight90, MoveForward (ignored), RotateRight90, killed, killed, RotateRight90, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed
MoveForward (ignored), killed, MoveForward, MoveForward (ignored), MoveForward, killed, killed, MoveForward, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed
MoveForward (ignored), killed, MoveForward, MoveForward (ignored), MoveForward, killed, killed, MoveForward, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed
MoveForward (ignored), killed, RotateRight90, MoveForward (ignored), RotateRight90, killed, killed, RotateRight90, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed
MoveForward (ignored), killed, MoveForward, MoveForward (ignored), MoveForward, killed, killed, MoveForward, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed
MoveForward (ignored), killed, MoveForward, MoveForward (ignored), MoveForward, killed, killed, MoveForward, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed
MoveForward (ignored), killed, RotateRight90, MoveForward (ignored), RotateRight90, killed, killed, RotateRight90, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed
MoveForward (ignored), killed, MoveForward, MoveForward (ignored), MoveForward, killed, killed, MoveForward, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed
MoveForward (ignored), killed, MoveForward, MoveForward (ignored), MoveForward, killed, killed, MoveForward, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed
MoveForward (ignored), killed, RotateRight90, MoveForward (ignored), RotateRight90, killed, killed, RotateRight90, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed
MoveForward (ignored), killed, MoveForward, MoveForward (ignored), MoveForward, killed, killed, MoveForward, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed
MoveForward (ignored), killed, MoveForward, MoveForward (ignored), MoveForward, killed, killed, MoveForward, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed
MoveForward (ignored), killed, RotateRight90, MoveForward (ignored), RotateRight90, killed, killed, RotateRight90, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed
MoveForward (ignored), killed, MoveForward, MoveForward (ignored), MoveForward, killed, killed, MoveForward, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed
MoveForward (ignored), killed, MoveForward, MoveForward (ignored), MoveForward, killed, killed, MoveForward, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed
MoveForward (ignored), killed, RotateRight90, MoveForward (ignored), RotateRight90, killed, killed, RotateRight90, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed
MoveForward (ignored), killed, MoveForward, MoveForward (ignored), MoveForward, killed, killed, MoveForward, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed
MoveForward (ignored), killed, MoveForward, MoveForward (ignored), MoveForward, killed, killed, MoveForward, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed
MoveForward (ignored), killed, RotateRight90, MoveForward (ignored), RotateRight90, killed, killed, RotateRight90, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed
MoveForward (ignored), killed, MoveForward, MoveForward (ignored), MoveForward, killed, killed, MoveForward, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed
MoveForward (ignored), killed, MoveForward, MoveForward (ignored), MoveForward, killed, killed, MoveForward, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed
MoveForward (ignored), killed, RotateRight90, MoveForward (ignored), RotateRight90, killed, killed, RotateRight90, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed
MoveForward (ignored), killed, MoveForward, MoveForward (ignored), MoveForward, killed, killed, MoveForward, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed
MoveForward (ignored), killed, MoveForward, MoveForward (ignored), MoveForward, killed, killed, MoveForward, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed
MoveForward (ignored), killed, RotateRight90, MoveForward (ignored), RotateRight90, killed, killed, RotateRight90, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed
MoveForward (ignored), killed, MoveForward, MoveForward (ignored), MoveForward, killed, killed, MoveForward, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed
MoveForward (ignored), killed, MoveForward, MoveForward (ignored), MoveForward, killed, killed, MoveForward, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed
MoveForward (ignored), killed, RotateRight90, MoveForward (ignored), RotateRight90, killed, killed, RotateRight90, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed
MoveForward (ignored), killed, MoveForward, MoveForward (ignored), MoveForward, killed, killed, MoveForward, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed
MoveForward (ignored), killed, MoveForward, MoveForward (ignored), MoveForward, killed, killed, MoveForward, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed
MoveForward (ignored), killed, RotateRight90, MoveForward (ignored), RotateRight90, killed, killed, RotateRight90, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed
MoveForward (ignored), killed, MoveForward, MoveForward (ignored), MoveForward, killed, killed, MoveForward, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed
MoveForward (ignored), killed, MoveForward, MoveForward (ignored), MoveForward, killed, killed, MoveForward, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed
MoveForward (ignored), killed, RotateRight90, MoveForward (ignored), RotateRight90, killed, killed, RotateRight90, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed
MoveForward (ignored), killed, MoveForward, MoveForward (ignored), MoveForward, killed, killed, MoveForward, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed
MoveForward (ignored), killed, MoveForward, MoveForward (ignored), MoveForward, killed, killed, MoveForward, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed
MoveForward (ignored), killed, RotateRight90, MoveForward (ignored), RotateRight90, killed, killed, RotateRight90, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed
MoveForward (ignored), killed, MoveForward, MoveForward (ignored), MoveForward, killed, killed, MoveForward, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed
MoveForward (ignored), killed, MoveForward, MoveForward (ignored), MoveForward, killed, killed, MoveForward, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed
MoveForward (ignored), killed, RotateRight90, MoveForward (ignored), RotateRight90, killed, killed, RotateRight90, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed
MoveForward (ignored), killed, MoveForward, MoveForward (ignored), MoveForward, killed, killed, MoveForward, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed
Tie, reached max steps = 100, player 1 has 2 tanks, player 2 has 4 tanks
