RotateRight90, GetBattleInfo, RotateRight90, GetBattleInfo, GetBattleInfo, GetBattleInfo, RotateRight90, RotateRight90, RotateRight90, GetBattleInfo, GetBattleInfo, RotateRight90, GetBattleInfo, RotateRight90, GetBattleInfo, RotateRight90, GetBattleInfo, RotateRight90, GetBattleInfo, RotateRight90, GetBattleInfo, GetBattleInfo, GetBattleInfo, RotateRight90, RotateRight90
killed, RotateLeft45, Shoot (ignored), killed, RotateLeft45, MoveForward (ignored), killed, Shoot (ignored), Shoot (ignored), MoveForward, killed, Shoot (ignored), GetBattleInfo, Shoot (ignored), killed, Shoot (ignored), RotateRight45, Shoot (ignored), killed, Shoot (ignored), killed, Shoot, killed, Shoot (ignored), Shoot (ignored)
killed, MoveForward (ignored), RotateRight90, killed, MoveForward, RotateLeft45, killed, RotateRight90, RotateRight90, MoveForward, killed, RotateRight90, RotateLeft45, RotateRight90, killed, RotateRight90, MoveForward, RotateRight90, killed, RotateRight90, killed, MoveForward (ignored), killed, RotateRight90, RotateRight90
killed, MoveForward (ignored), RotateLeft90, killed, RotateRight90, RotateLeft45, killed, RotateLeft90, RotateLeft90, MoveForward (ignored), killed, RotateLeft90, MoveForward (killed), RotateLeft90, killed, RotateLeft90, GetBattleInfo, RotateLeft90, killed, RotateLeft90, killed, RotateLeft45, killed, RotateLeft90, RotateLeft90
killed, RotateRight90, Shoot, killed, GetBattleInfo, MoveForward, killed, Shoot, Shoot, MoveForward (ignored), killed, Shoot, killed, Shoot, killed, Shoot, RotateLeft90 (killed), Shoot, killed, Shoot, killed, RotateLeft45, killed, Shoot, Shoot
killed, GetBattleInfo, RotateRight90, killed, RotateLeft45, RotateRight45, killed, RotateRight90, RotateRight90, RotateLeft45, killed, RotateRight90, killed, RotateRight90, killed, RotateRight90, killed, RotateRight90, killed, RotateRight90, killed, RotateLeft90, killed, RotateRight90, RotateRight90
killed, RotateLeft45, RotateLeft90, killed, MoveForward, Shoot, killed, RotateLeft90, RotateLeft90, Shoot, killed, RotateLeft90, killed, RotateLeft90, killed, RotateLeft90, killed, RotateLeft90, killed, RotateLeft90, killed, GetBattleInfo, killed, RotateLeft90, RotateLeft90
killed, MoveForward, Shoot (ignored), killed, MoveForward, GetBattleInfo, killed, Shoot (ignored) (killed), Shoot (ignored), MoveForward, killed, Shoot (ignored), killed, Shoot (ignored), killed, Shoot (ignored), killed, Shoot (ignored), killed, Shoot (ignored), killed, killed, killed, Shoot (ignored), Shoot (ignored)
killed, MoveForward, RotateRight90, killed, RotateRight90, RotateLeft45, killed, killed, RotateRight90, GetBattleInfo, killed, RotateRight90, killed, RotateRight90, killed, RotateRight90, killed, RotateRight90, killed, RotateRight90, killed, killed, killed, RotateRight90, RotateRight90
killed, RotateRight90, RotateLeft90, killed, MoveForward (ignored), MoveForward, killed, killed, RotateLeft90, RotateRight90, killed, RotateLeft90, killed, RotateLeft90, killed, RotateLeft90, killed, RotateLeft90, killed, RotateLeft90 (killed), killed, killed, killed, RotateLeft90, RotateLeft90
killed, GetBattleInfo, Shoot, killed, RotateLeft45, MoveForward, killed, killed, Shoot, MoveForward (ignored), killed, Shoot, killed, Shoot, killed, Shoot, killed, Shoot, killed, killed, killed, killed, killed, Shoot, Shoot
killed, RotateRight45, RotateRight90, killed, GetBattleInfo, killed, killed, killed, RotateRight90, RotateLeft45, killed, RotateRight90, killed, RotateRight90, killed, RotateRight90, killed, RotateRight90, killed, killed, killed, killed, killed, RotateRight90, RotateRight90
killed, MoveForward (ignored), RotateLeft90, killed, RotateRight45, killed, killed, killed, RotateLeft90, MoveForward (ignored), killed, RotateLeft90, killed, RotateLeft90, killed, RotateLeft90, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, RotateLeft90
killed, RotateLeft45, Shoot (ignored), killed, MoveForward (ignored), killed, killed, killed, Shoot (ignored), MoveForward (ignored) (killed), killed, Shoot (ignored), killed, Shoot (ignored), killed, Shoot (ignored), killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, Shoot (ignored)
killed, RotateLeft45, RotateRight90, killed, RotateLeft45, killed, killed, killed, RotateRight90, killed, killed, RotateRight90, killed, RotateRight90, killed, RotateRight90, killed, RotateRight90, killed, killed, killed, killed, killed, killed, RotateRight90
killed, GetBattleInfo, RotateLeft90, killed, RotateLeft45, killed, killed, killed, RotateLeft90 (killed), killed, killed, RotateLeft90 (killed), killed, RotateLeft90, killed, RotateLeft90 (killed), killed, RotateLeft90, killed, killed, killed, killed, killed, killed, RotateLeft90
killed, RotateRight45, Shoot, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, Shoot, killed, killed, killed, Shoot, killed, killed, killed, killed, killed, killed, Shoot
killed, MoveForward (ignored), RotateRight90, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, RotateRight90
killed, RotateLeft45, RotateLeft90, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, RotateLeft90, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, RotateLeft90
killed, RotateLeft45, Shoot (ignored), killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, Shoot (ignored) (killed)
killed, GetBattleInfo, RotateRight90, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed
killed, RotateRight45, RotateLeft90, killed, RotateRight45, killed, killed, killed, killed, killed, killed, killed, killed, RotateLeft90, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, killed
killed, MoveForward, Shoot, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, Shoot, killed, killed, killed, Shoot, killed, killed, killed, killed, killed, killed, killed
killed, RotateLeft45, RotateRight90, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed
killed, RotateLeft45, RotateLeft90, killed, RotateLeft45, killed, killed, killed, killed, killed, killed, killed, killed, RotateLeft90, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, killed
killed, GetBattleInfo, Shoot (ignored), killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed
killed, RotateRight90, RotateRight90, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed
killed, MoveForward (ignored), RotateLeft90, killed, RotateRight45, killed, killed, killed, killed, killed, killed, killed, killed, RotateLeft90, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, killed
killed, MoveForward (ignored), Shoot, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, Shoot, killed, killed, killed, Shoot, killed, killed, killed, killed, killed, killed, killed
killed, RotateLeft90, RotateRight90, killed, RotateLeft45, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed
killed, GetBattleInfo, RotateLeft90, killed, Shoot, killed, killed, killed, killed, killed, killed, killed, killed, RotateLeft90, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, killed
killed, RotateRight90, Shoot (ignored), killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed
killed, MoveForward (ignored), RotateRight90, killed, GetBattleInfo (killed), killed, killed, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed
killed, MoveForward (ignored), RotateLeft90, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateLeft90, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, killed
killed, RotateLeft90, Shoot, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, Shoot, killed, killed, killed, Shoot, killed, killed, killed, killed, killed, killed, killed
killed, GetBattleInfo, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed
killed, RotateRight90, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateLeft90, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, killed
killed, MoveForward (ignored), Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed
killed, MoveForward (ignored), RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed
killed, RotateLeft90, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateLeft90, killed, killed, killed, RotateLeft90 (killed), killed, killed, killed, killed, killed, killed, killed
killed, GetBattleInfo, Shoot, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, Shoot, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, RotateRight90, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, MoveForward (ignored), RotateLeft90, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, RotateRight45, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, MoveForward (ignored), RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, GetBattleInfo, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, RotateRight90, Shoot, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, Shoot, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, MoveForward (ignored), RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, RotateRight45, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, MoveForward, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, GetBattleInfo, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, RotateRight90, RotateLeft90 (killed), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, RotateRight45, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, Shoot, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, RotateRight45, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, Shoot, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, RotateLeft45, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, Shoot, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, RotateLeft45, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, Shoot, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, RotateLeft45, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, Shoot, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, RotateRight45, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, RotateRight45, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, Shoot, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, RotateLeft45, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, RotateLeft45, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, RotateRight45, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, Shoot, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, RotateRight45, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
Tie, reached max steps = 100, player 1 has 1 tanks, player 2 has 1 tanks
