Shoot, GetBattleInfo, GetBattleInfo, Shoot, GetBattleInfo, Shoot, Shoot, GetBattleInfo, GetBattleInfo, Shoot, Shoot, GetBattleInfo, GetBattleInfo, Shoot, Shoot, GetBattleInfo, GetBattleInfo, Shoot, Shoot, GetBattleInfo, GetBattleInfo, Shoot
killed, MoveForward (killed), killed, killed, MoveForward, Shoot (ignored), Shoot (ignored), RotateLeft90, killed, killed, killed, killed, GetBattleInfo, killed, killed, MoveForward, RotateRight90, Shoot (ignored), killed, killed, RotateRight45, killed
killed, killed, killed, killed, GetBattleInfo, Shoot (ignored), Shoot (ignored), RotateLeft45, killed, killed, killed, killed, RotateRight90, killed, killed, MoveForward, GetBattleInfo, Shoot (ignored), killed, killed, MoveForward, killed
killed, killed, killed, killed, RotateLeft90, Shoot, Shoot, MoveForward, killed, killed, killed, killed, RotateRight90, killed, killed, GetBattleInfo, Shoot, Shoot, killed, killed, MoveForward, killed
killed, killed, killed, killed, RotateLeft45, Shoot (ignored), Shoot (ignored), GetBattleInfo, killed, killed, killed, killed, MoveForward, killed, killed, RotateRight90, GetBattleInfo, Shoot (ignored), killed, killed, GetBattleInfo, killed
killed, killed, killed, killed, MoveForward, Shoot (ignored), Shoot (ignored), RotateRight90, killed, killed, killed, killed, GetBattleInfo, killed, killed, MoveForward, GetBattleInfo, Shoot (ignored), killed, killed, GetBattleInfo, killed
killed, killed, killed, killed, MoveForward (killed), Shoot (ignored) (killed), Shoot (ignored) (killed), RotateRight45, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, GetBattleInfo, Shoot (ignored), killed, killed, MoveForward, killed
killed, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, RotateLeft45, killed, killed, killed, GetBattleInfo, Shoot (ignored), killed, killed, MoveForward, killed
killed, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, Shoot, Shoot, killed, killed, MoveForward, killed
killed, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, Shoot, killed, killed, killed, GetBattleInfo, Shoot (ignored), killed, killed, MoveForward, killed
killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, MoveForward, killed, killed, killed, GetBattleInfo, Shoot (ignored), killed, killed, MoveForward, killed
killed, killed, killed, killed, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, MoveForward, killed, killed, killed, GetBattleInfo, Shoot (ignored) (killed), killed, killed, GetBattleInfo, killed
Player 2 won with 4 tanks still alive
