GetBattleInfo, Shoot, GetBattleInfo, Shoot, Shoot, Shoot, GetBattleInfo, GetBattleInfo, GetBattleInfo, Shoot, Shoot, GetBattleInfo, Shoot, GetBattleInfo, Shoot, GetBattleInfo, Shoot, GetBattleInfo, Shoot, GetBattleInfo, Shoot, Shoot, Shoot, GetBattleInfo, GetBattleInfo
killed, Shoot, killed, Shoot, Shoot, Shoot, MoveForward, killed, killed, killed, killed, RotateLeft45, Shoot, Shoot, killed, killed, Shoot, killed, Shoot, killed, Shoot, Shoot, Shoot, killed, killed
killed, Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), RotateLeft45 (killed), killed, killed, killed, killed, MoveForward, Shoot (ignored), DoNothing, killed, killed, killed, killed, Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, killed
killed, Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, killed, killed, killed, killed, MoveForward, Shoot (ignored) (killed), DoNothing, killed, killed, killed, killed, Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, killed
killed, Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, killed, killed, killed, killed, MoveForward, killed, DoNothing, killed, killed, killed, killed, Shoot (ignored), killed, killed, Shoot (ignored), Shoot (ignored), killed, killed
killed, Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, killed, killed, killed, killed, MoveForward, killed, DoNothing, killed, killed, killed, killed, Shoot (ignored), killed, killed, Shoot (ignored), Shoot (ignored), killed, killed
killed, Shoot, killed, Shoot, Shoot, Shoot, killed, killed, killed, killed, killed, GetBattleInfo, killed, GetBattleInfo, killed, killed, killed, killed, Shoot, killed, killed, Shoot, Shoot, killed, killed
killed, Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, killed, killed, killed, killed, MoveForward, killed, MoveForward, killed, killed, killed, killed, Shoot (ignored), killed, killed, Shoot (ignored), Shoot (ignored), killed, killed
killed, Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, killed, killed, killed, killed, MoveForward, killed, MoveForward, killed, killed, killed, killed, Shoot (ignored), killed, killed, Shoot (ignored), Shoot (ignored), killed, killed
killed, Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, killed, killed, killed, killed, MoveForward, killed, RotateRight45, killed, killed, killed, killed, Shoot (ignored), killed, killed, Shoot (ignored), Shoot (ignored), killed, killed
killed, Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, killed, killed, killed, killed, MoveForward, killed, MoveForward, killed, killed, killed, killed, Shoot (ignored), killed, killed, Shoot (ignored), Shoot (ignored), killed, killed
killed, Shoot, killed, Shoot, Shoot, Shoot, killed, killed, killed, killed, killed, MoveForward, killed, RotateLeft45, killed, killed, killed, killed, Shoot, killed, killed, Shoot, Shoot, killed, killed
killed, Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, killed, killed, killed, killed, MoveForward (killed), killed, MoveForward, killed, killed, killed, killed, Shoot (ignored), killed, killed, Shoot (ignored), Shoot (ignored), killed, killed
killed, Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, Shoot (ignored), killed, killed, Shoot (ignored), Shoot (ignored), killed, killed
