MoveForward, DoNothing, MoveForward (killed), DoNothing, MoveForward, DoNothing, DoNothing, DoNothing, MoveForward, MoveForward, MoveForward, DoNothing, DoNothing, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, DoNothing, DoNothing, DoNothing, DoNothing (killed)
killed, RotateRight45, killed, RotateRight45, killed, RotateRight45, RotateRight45, RotateRight45, MoveForward (ignored), killed, killed, killed, killed, killed, MoveForward, MoveForward, MoveForward, killed, RotateRight45, killed, killed, killed
killed, DoNothing, killed, DoNothing, killed, DoNothing, DoNothing, DoNothing, MoveForward (ignored), killed, killed, killed, killed, killed, MoveForward, MoveForward, MoveForward, killed, DoNothing, killed, killed, killed
killed, RotateRight45, killed, RotateRight45, killed, RotateRight45 (killed), RotateRight45 (killed), RotateRight45, MoveForward (ignored), killed, killed, killed, killed, killed, MoveForward (killed), MoveForward (killed), MoveForward, killed, RotateRight45, killed, killed, killed
killed, DoNothing, killed, DoNothing, killed, killed, killed, DoNothing, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward, killed, DoNothing, killed, killed, killed
killed, RotateRight45, killed, RotateRight45, killed, killed, killed, RotateRight45 (killed), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (killed), killed, RotateRight45, killed, killed, killed
killed, DoNothing, killed, DoNothing, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed
killed, RotateRight45, killed, RotateRight45, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight45, killed, killed, killed
killed, DoNothing, killed, DoNothing, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed
killed, RotateRight45, killed, RotateRight45, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight45, killed, killed, killed
killed, DoNothing, killed, DoNothing, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed
killed, RotateRight45, killed, RotateRight45, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight45, killed, killed, killed
killed, DoNothing, killed, DoNothing, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed
killed, RotateRight45, killed, RotateRight45, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight45, killed, killed, killed
killed, DoNothing, killed, DoNothing, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed
killed, RotateRight45, killed, RotateRight45, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight45, killed, killed, killed
killed, DoNothing, killed, DoNothing, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed
killed, RotateRight45, killed, RotateRight45, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight45, killed, killed, killed
killed, DoNothing, killed, DoNothing, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed
killed, RotateRight45, killed, RotateRight45, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight45, killed, killed, killed
killed, DoNothing, killed, DoNothing, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed
killed, RotateRight45, killed, RotateRight45, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight45, killed, killed, killed
killed, DoNothing, killed, DoNothing, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed
killed, RotateRight45, killed, RotateRight45, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight45, killed, killed, killed
killed, DoNothing, killed, DoNothing, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed
killed, RotateRight45, killed, RotateRight45, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight45, killed, killed, killed
killed, DoNothing, killed, DoNothing, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed
killed, RotateRight45, killed, RotateRight45, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight45, killed, killed, killed
killed, DoNothing, killed, DoNothing, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed
killed, RotateRight45, killed, RotateRight45, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight45, killed, killed, killed
killed, DoNothing, killed, DoNothing, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed
killed, RotateRight45, killed, RotateRight45, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight45, killed, killed, killed
killed, DoNothing, killed, DoNothing, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed
killed, RotateRight45, killed, RotateRight45, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight45, killed, killed, killed
killed, DoNothing, killed, DoNothing, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed
killed, RotateRight45, killed, RotateRight45, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight45, killed, killed, killed
killed, DoNothing, killed, DoNothing, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed
killed, RotateRight45, killed, RotateRight45, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight45, killed, killed, killed
killed, DoNothing, killed, DoNothing, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed
killed, RotateRight45, killed, RotateRight45, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight45, killed, killed, killed
killed, DoNothing, killed, DoNothing, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed
killed, RotateRight45, killed, RotateRight45, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight45, killed, killed, killed
killed, DoNothing, killed, DoNothing, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed
killed, RotateRight45, killed, RotateRight45, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight45, killed, killed, killed
killed, DoNothing, killed, DoNothing, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed
killed, RotateRight45, killed, RotateRight45, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight45, killed, killed, killed
killed, DoNothing, killed, DoNothing, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed
killed, RotateRight45, killed, RotateRight45, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight45, killed, killed, killed
killed, DoNothing, killed, DoNothing, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed
killed, RotateRight45, killed, RotateRight45, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight45, killed, killed, killed
killed, DoNothing, killed, DoNothing, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed
killed, RotateRight45, killed, RotateRight45, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight45, killed, killed, killed
killed, DoNothing, killed, DoNothing, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed
killed, RotateRight45, killed, RotateRight45, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight45, killed, killed, killed
killed, DoNothing, killed, DoNothing, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed
killed, RotateRight45, killed, RotateRight45, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight45, killed, killed, killed
killed, DoNothing, killed, DoNothing, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed
killed, RotateRight45, killed, RotateRight45, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight45, killed, killed, killed
killed, DoNothing, killed, DoNothing, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed
killed, RotateRight45, killed, RotateRight45, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight45, killed, killed, killed
killed, DoNothing, killed, DoNothing, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed
killed, RotateRight45, killed, RotateRight45, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight45, killed, killed, killed
killed, DoNothing, killed, DoNothing, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed
killed, RotateRight45, killed, RotateRight45, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight45, killed, killed, killed
killed, DoNothing, killed, DoNothing, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed
killed, RotateRight45, killed, RotateRight45, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight45, killed, killed, killed
killed, DoNothing, killed, DoNothing, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed
killed, RotateRight45, killed, RotateRight45, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight45, killed, killed, killed
killed, DoNothing, killed, DoNothing, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed
killed, RotateRight45, killed, RotateRight45, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight45, killed, killed, killed
killed, DoNothing, killed, DoNothing, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed
killed, RotateRight45, killed, RotateRight45, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight45, killed, killed, killed
killed, DoNothing, killed, DoNothing, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed
killed, RotateRight45, killed, RotateRight45, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight45, killed, killed, killed
killed, DoNothing, killed, DoNothing, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed
killed, RotateRight45, killed, RotateRight45, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight45, killed, killed, killed
killed, DoNothing, killed, DoNothing, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed
killed, RotateRight45, killed, RotateRight45, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight45, killed, killed, killed
killed, DoNothing, killed, DoNothing, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed
killed, RotateRight45, killed, RotateRight45, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight45, killed, killed, killed
killed, DoNothing, killed, DoNothing, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed
killed, RotateRight45, killed, RotateRight45, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight45, killed, killed, killed
killed, DoNothing, killed, DoNothing, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed
killed, RotateRight45, killed, RotateRight45, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight45, killed, killed, killed
killed, DoNothing, killed, DoNothing, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed
killed, RotateRight45, killed, RotateRight45, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight45, killed, killed, killed
killed, DoNothing, killed, DoNothing, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed
killed, RotateRight45, killed, RotateRight45, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight45, killed, killed, killed
killed, DoNothing, killed, DoNothing, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed
killed, RotateRight45, killed, RotateRight45, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight45, killed, killed, killed
Tie, reached max steps = 100, player 1 has 1 tanks, player 2 has 3 tanks
