MoveForward (ignored), GetBattleInfo, MoveForward, GetBattleInfo, GetBattleInfo, GetBattleInfo, MoveForward, MoveForward, MoveForward, GetBattleInfo, GetBattleInfo, MoveForward, GetBattleInfo, MoveForward, GetBattleInfo, MoveForward, GetBattleInfo, MoveForward, GetBattleInfo, MoveForward, GetBattleInfo, GetBattleInfo, GetBattleInfo, MoveForward, MoveForward
killed, killed, MoveForward (ignored), RotateRight45, GetBattleInfo, RotateRight45, killed, killed, killed, MoveForward, killed, killed, MoveForward (ignored), killed, Shoot, killed, GetBattleInfo, killed, MoveForward, MoveForward (ignored), killed, MoveForward, RotateLeft90, MoveForward (ignored), MoveForward (ignored)
killed, killed, MoveForward (ignored), MoveForward, RotateRight90, MoveForward, killed, killed, killed, RotateRight45, killed, killed, RotateRight45, killed, GetBattleInfo, killed, MoveForward, killed, RotateLeft90, MoveForward (ignored), killed, RotateRight45, GetBattleInfo, MoveForward (ignored), MoveForward (ignored)
killed, killed, MoveForward (ignored), MoveForward, RotateRight90, MoveForward, killed, killed, killed, MoveForward, killed, killed, MoveForward (ignored), killed, RotateLeft45, killed, RotateRight45, killed, MoveForward, MoveForward (ignored), killed, Shoot, GetBattleInfo, MoveForward (ignored), MoveForward (ignored)
killed, killed, MoveForward (ignored), MoveForward, GetBattleInfo, RotateLeft45, killed, killed, killed, MoveForward, killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, MoveForward (ignored), killed, GetBattleInfo, MoveForward (ignored), killed, MoveForward, Shoot, MoveForward (ignored), MoveForward (ignored)
killed, killed, MoveForward (ignored), RotateRight45, RotateLeft45, Shoot, killed, killed, killed, RotateLeft45, killed, killed, killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, RotateLeft90, MoveForward (ignored), killed, RotateLeft45, GetBattleInfo, MoveForward (ignored), MoveForward (ignored)
killed, killed, MoveForward (ignored), MoveForward, MoveForward, GetBattleInfo, killed, killed, killed, MoveForward, killed, killed, killed, killed, RotateLeft45, killed, MoveForward (ignored), killed, MoveForward, MoveForward (ignored), killed, MoveForward, GetBattleInfo, MoveForward (ignored), MoveForward (ignored)
killed, killed, MoveForward (ignored), RotateLeft45, RotateLeft45, RotateLeft45, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, MoveForward (ignored), killed, GetBattleInfo, killed, RotateRight90, MoveForward (ignored), killed, MoveForward, GetBattleInfo, MoveForward (ignored), MoveForward (ignored)
killed, killed, MoveForward (ignored), GetBattleInfo, MoveForward, MoveForward (ignored), killed, killed, killed, RotateRight90, killed, killed, killed, killed, GetBattleInfo, killed, RotateLeft45, killed, RotateRight90, MoveForward (ignored), killed, RotateRight90, GetBattleInfo, MoveForward (ignored), MoveForward (ignored)
killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), RotateLeft45, killed, killed, killed, RotateRight90, killed, killed, killed, killed, GetBattleInfo, killed, MoveForward, killed, RotateLeft90, MoveForward (ignored), killed, MoveForward (ignored), Shoot, MoveForward (ignored), MoveForward (ignored)
killed, killed, MoveForward (ignored), MoveForward (ignored), GetBattleInfo, MoveForward, killed, killed, killed, MoveForward, killed, killed, killed, killed, GetBattleInfo, killed, RotateRight45, killed, GetBattleInfo, MoveForward (ignored), killed, MoveForward (ignored), GetBattleInfo, MoveForward (ignored), MoveForward (ignored)
killed, killed, MoveForward (ignored), RotateRight45, MoveForward (ignored), RotateRight45, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, GetBattleInfo, killed, MoveForward, killed, GetBattleInfo, MoveForward (ignored), killed, GetBattleInfo, GetBattleInfo, MoveForward (ignored), MoveForward (ignored)
killed, killed, MoveForward (ignored), MoveForward, RotateRight90, MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, RotateRight45, killed, MoveForward, killed, MoveForward, MoveForward (ignored), killed, RotateLeft45, GetBattleInfo, MoveForward (ignored), MoveForward (ignored)
killed, killed, MoveForward (ignored), RotateLeft45, RotateRight90, MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored), killed, MoveForward, killed, RotateLeft90, MoveForward (ignored), killed, GetBattleInfo, GetBattleInfo, MoveForward (ignored), MoveForward (ignored)
killed, killed, MoveForward (ignored), Shoot, MoveForward, GetBattleInfo, killed, killed, killed, RotateRight45, killed, killed, killed, killed, RotateLeft45, killed, RotateLeft45, killed, MoveForward, MoveForward (ignored), killed, Shoot, Shoot, MoveForward (ignored), MoveForward (ignored)
killed, killed, MoveForward (ignored), RotateLeft90, RotateLeft90, RotateLeft90, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, RotateRight90, MoveForward (ignored), killed, RotateLeft45, GetBattleInfo, MoveForward (ignored), MoveForward (ignored)
killed, killed, MoveForward (ignored), RotateRight90, RotateRight90, RotateLeft45, killed, killed, killed, RotateRight90, killed, killed, killed, killed, RotateRight90, killed, GetBattleInfo, killed, RotateRight90, MoveForward (ignored), killed, RotateRight45, GetBattleInfo, MoveForward (ignored), MoveForward (ignored)
killed, killed, MoveForward (ignored), GetBattleInfo, RotateLeft90, MoveForward, killed, killed, killed, RotateRight45, killed, killed, killed, killed, Shoot, killed, RotateRight90, killed, MoveForward, MoveForward (ignored), killed, GetBattleInfo, GetBattleInfo, MoveForward (ignored), MoveForward (ignored)
killed, killed, MoveForward (ignored), RotateRight90, RotateRight90, RotateRight45, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, MoveForward, killed, RotateRight90, killed, RotateRight90, MoveForward (ignored), killed, GetBattleInfo, GetBattleInfo, MoveForward (ignored), MoveForward (ignored)
killed, killed, MoveForward (ignored), RotateRight90, GetBattleInfo, MoveForward, killed, killed, killed, RotateRight90, killed, killed, killed, killed, RotateLeft45, killed, MoveForward (ignored), killed, RotateRight90, MoveForward (ignored), killed, Shoot, Shoot, MoveForward (ignored), MoveForward (ignored)
killed, killed, MoveForward (ignored), Shoot, Shoot, MoveForward (ignored), killed, killed, killed, RotateLeft90, killed, killed, killed, killed, GetBattleInfo, killed, RotateRight90, killed, GetBattleInfo, MoveForward (ignored), killed, GetBattleInfo, GetBattleInfo, MoveForward (ignored), MoveForward (ignored)
killed, killed, MoveForward (ignored), GetBattleInfo, GetBattleInfo, MoveForward (ignored), killed, killed, killed, RotateRight90, killed, killed, killed, killed, RotateRight90, killed, RotateRight90, killed, MoveForward, MoveForward (ignored), killed, GetBattleInfo, GetBattleInfo, MoveForward (ignored), MoveForward (ignored)
killed, killed, MoveForward (ignored), GetBattleInfo, GetBattleInfo, RotateRight45, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, RotateRight45, killed, RotateLeft90, killed, RotateRight90, MoveForward (ignored), killed, GetBattleInfo, GetBattleInfo, MoveForward (ignored), MoveForward (ignored)
killed, killed, MoveForward (ignored), GetBattleInfo, GetBattleInfo, GetBattleInfo, killed, killed, killed, RotateRight90, killed, killed, killed, killed, Shoot, killed, MoveForward (ignored), killed, RotateRight90, MoveForward (ignored), killed, GetBattleInfo, GetBattleInfo, MoveForward (ignored), MoveForward (ignored)
killed, killed, MoveForward (ignored), GetBattleInfo, GetBattleInfo, RotateRight90, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, GetBattleInfo, killed, RotateLeft90, killed, MoveForward, MoveForward (ignored), killed, Shoot, Shoot, MoveForward (ignored), MoveForward (ignored)
killed, killed, MoveForward (ignored), Shoot, Shoot, RotateRight45, killed, killed, killed, RotateRight45, killed, killed, killed, killed, GetBattleInfo, killed, GetBattleInfo, killed, RotateRight90, MoveForward (ignored), killed, GetBattleInfo, GetBattleInfo, MoveForward (ignored), MoveForward (ignored)
killed, killed, MoveForward (ignored), GetBattleInfo, GetBattleInfo, RotateLeft45, killed, killed, killed, MoveForward, killed, killed, killed, killed, GetBattleInfo, killed, RotateRight90, killed, RotateRight90, MoveForward (ignored), killed, GetBattleInfo, GetBattleInfo, MoveForward (ignored), MoveForward (ignored)
killed, killed, MoveForward (ignored), GetBattleInfo, GetBattleInfo, RotateRight45, killed, killed, killed, RotateRight45, killed, killed, killed, killed, GetBattleInfo, killed, RotateRight90, killed, MoveForward, MoveForward (ignored), killed, GetBattleInfo, GetBattleInfo, MoveForward (ignored), MoveForward (ignored)
killed, killed, MoveForward (ignored), GetBattleInfo, GetBattleInfo, RotateLeft45, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, Shoot, killed, MoveForward (ignored), killed, RotateRight90, MoveForward (ignored), killed, GetBattleInfo, GetBattleInfo, MoveForward (ignored), MoveForward (ignored)
killed, killed, MoveForward (ignored), GetBattleInfo, GetBattleInfo, RotateRight45, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, GetBattleInfo, killed, RotateRight45, killed, GetBattleInfo, MoveForward (ignored), killed, Shoot, Shoot, MoveForward (ignored), MoveForward (ignored)
killed, killed, MoveForward (ignored), Shoot, Shoot, RotateLeft45, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, GetBattleInfo, killed, MoveForward, killed, RotateRight90, MoveForward (ignored), killed, GetBattleInfo, GetBattleInfo, MoveForward (ignored), MoveForward (ignored)
killed, killed, MoveForward (ignored), GetBattleInfo, GetBattleInfo, RotateRight45, killed, killed, killed, RotateLeft45, killed, killed, killed, killed, GetBattleInfo, killed, MoveForward, killed, MoveForward, MoveForward (ignored), killed, GetBattleInfo, GetBattleInfo, MoveForward (ignored), MoveForward (ignored)
killed, killed, MoveForward (ignored), GetBattleInfo, GetBattleInfo, GetBattleInfo, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, GetBattleInfo, killed, MoveForward, killed, RotateRight90, MoveForward (ignored), killed, GetBattleInfo, GetBattleInfo, MoveForward (ignored), MoveForward (ignored)
killed, killed, MoveForward (ignored), GetBattleInfo, GetBattleInfo, RotateLeft45, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, Shoot, killed, RotateLeft45, killed, RotateRight90, MoveForward (ignored), killed, GetBattleInfo, GetBattleInfo, MoveForward (ignored), MoveForward (ignored)
killed, killed, MoveForward (ignored), GetBattleInfo, GetBattleInfo, RotateRight45, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, GetBattleInfo, killed, GetBattleInfo, killed, MoveForward, MoveForward (ignored), killed, Shoot, Shoot, MoveForward (ignored), MoveForward (ignored)
killed, killed, MoveForward (ignored), GetBattleInfo, Shoot, RotateLeft45, killed, killed, killed, RotateLeft45, killed, killed, killed, killed, GetBattleInfo, killed, RotateRight90, killed, RotateRight90, MoveForward (ignored), killed, GetBattleInfo, GetBattleInfo, MoveForward (ignored), MoveForward (ignored)
killed, killed, MoveForward (ignored), Shoot, GetBattleInfo, RotateRight45, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, GetBattleInfo, killed, RotateRight90, killed, RotateRight90, MoveForward (ignored), killed, GetBattleInfo, GetBattleInfo, MoveForward (ignored), MoveForward (ignored)
killed, killed, MoveForward (ignored), GetBattleInfo, GetBattleInfo, RotateLeft45, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, GetBattleInfo, killed, MoveForward, killed, MoveForward, MoveForward (ignored), killed, GetBattleInfo, GetBattleInfo, MoveForward (ignored), MoveForward (ignored)
killed, killed, MoveForward (ignored), GetBattleInfo, GetBattleInfo, RotateRight45, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, GetBattleInfo, killed, RotateRight90, killed, GetBattleInfo, MoveForward (ignored), killed, GetBattleInfo, GetBattleInfo, MoveForward (ignored), MoveForward (ignored)
killed, killed, MoveForward (ignored), GetBattleInfo, GetBattleInfo, Shoot, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, Shoot, killed, RotateRight90, killed, RotateRight90, MoveForward (ignored), killed, Shoot, GetBattleInfo, MoveForward (ignored), MoveForward (ignored)
killed, killed, MoveForward (ignored), GetBattleInfo, Shoot, GetBattleInfo, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, GetBattleInfo, killed, RotateLeft90, killed, RotateRight90, MoveForward (ignored), killed, GetBattleInfo, Shoot, MoveForward (ignored), MoveForward (ignored)
killed, killed, MoveForward (ignored), Shoot, GetBattleInfo, GetBattleInfo, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, GetBattleInfo, killed, MoveForward, killed, MoveForward, MoveForward (ignored), killed, GetBattleInfo, GetBattleInfo, MoveForward (ignored), MoveForward (ignored)
killed, killed, MoveForward (ignored), GetBattleInfo, GetBattleInfo, GetBattleInfo, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, GetBattleInfo, killed, RotateLeft90, killed, RotateRight90, MoveForward (ignored), killed, GetBattleInfo, GetBattleInfo, MoveForward (ignored), MoveForward (ignored)
killed, killed, MoveForward (ignored), GetBattleInfo, GetBattleInfo, GetBattleInfo, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, GetBattleInfo, killed, GetBattleInfo, killed, RotateRight90, MoveForward (ignored), killed, GetBattleInfo, GetBattleInfo, MoveForward (ignored), MoveForward (ignored)
killed, killed, MoveForward (ignored), GetBattleInfo, GetBattleInfo, Shoot, killed, killed, killed, RotateLeft45, killed, killed, killed, killed, Shoot, killed, RotateRight90, killed, MoveForward, MoveForward (ignored), killed, Shoot, GetBattleInfo, MoveForward (ignored), MoveForward (ignored)
killed, killed, MoveForward (ignored), GetBattleInfo, Shoot, GetBattleInfo, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, GetBattleInfo, killed, RotateRight90, killed, RotateRight90, MoveForward (ignored), killed, GetBattleInfo, Shoot, MoveForward (ignored), MoveForward (ignored)
killed, killed, MoveForward (ignored), RotateLeft90, GetBattleInfo, GetBattleInfo, killed, killed, killed, RotateRight45, killed, killed, killed, killed, GetBattleInfo, killed, MoveForward, killed, RotateRight90, MoveForward (ignored), killed, GetBattleInfo, GetBattleInfo, MoveForward (ignored), MoveForward (ignored)
killed, killed, MoveForward (ignored), RotateRight90, GetBattleInfo, GetBattleInfo, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, GetBattleInfo, killed, RotateRight45, killed, GetBattleInfo, MoveForward (ignored), killed, GetBattleInfo, GetBattleInfo, MoveForward (ignored), MoveForward (ignored)
killed, killed, MoveForward (ignored), Shoot, GetBattleInfo, GetBattleInfo, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, GetBattleInfo, killed, MoveForward (ignored), killed, MoveForward, MoveForward (ignored), killed, GetBattleInfo, GetBattleInfo, MoveForward (ignored), MoveForward (ignored)
killed, killed, MoveForward (ignored), GetBattleInfo, GetBattleInfo, Shoot, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, Shoot, killed, MoveForward (ignored), killed, RotateRight90, MoveForward (ignored), killed, GetBattleInfo, GetBattleInfo, MoveForward (ignored), MoveForward (ignored)
killed, killed, MoveForward (ignored), GetBattleInfo, Shoot, GetBattleInfo, killed, killed, killed, RotateLeft45, killed, killed, killed, killed, GetBattleInfo, killed, MoveForward (ignored), killed, RotateRight90, MoveForward (ignored), killed, Shoot, Shoot, MoveForward (ignored), MoveForward (ignored)
killed, killed, MoveForward (ignored), GetBattleInfo, GetBattleInfo, GetBattleInfo, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, GetBattleInfo, killed, RotateLeft45, killed, MoveForward, MoveForward (ignored), killed, GetBattleInfo, GetBattleInfo, MoveForward (ignored), MoveForward (ignored)
killed, killed, MoveForward (ignored), GetBattleInfo, GetBattleInfo, GetBattleInfo, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, GetBattleInfo, killed, GetBattleInfo, killed, RotateRight90, MoveForward (ignored), killed, GetBattleInfo, GetBattleInfo, MoveForward (ignored), MoveForward (ignored)
killed, killed, MoveForward (ignored), GetBattleInfo, GetBattleInfo, GetBattleInfo, killed, killed, killed, RotateLeft45, killed, killed, killed, killed, GetBattleInfo, killed, RotateRight90, killed, RotateRight90, MoveForward (ignored), killed, GetBattleInfo, GetBattleInfo, MoveForward (ignored), MoveForward (ignored)
killed, killed, MoveForward (ignored), Shoot, GetBattleInfo, Shoot, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, Shoot, killed, RotateRight90, killed, MoveForward, MoveForward (ignored), killed, GetBattleInfo, GetBattleInfo, MoveForward (ignored), MoveForward (ignored)
killed, killed, MoveForward (ignored), GetBattleInfo, GetBattleInfo, GetBattleInfo, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, GetBattleInfo, killed, MoveForward, killed, RotateRight90, MoveForward (ignored), killed, Shoot, Shoot, MoveForward (ignored), MoveForward (ignored)
killed, killed, MoveForward (ignored), GetBattleInfo, Shoot, GetBattleInfo, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, GetBattleInfo, killed, RotateRight90, killed, GetBattleInfo, MoveForward (ignored), killed, GetBattleInfo, GetBattleInfo, MoveForward (ignored), MoveForward (ignored)
killed, killed, MoveForward (ignored), GetBattleInfo, GetBattleInfo, GetBattleInfo, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, GetBattleInfo, killed, RotateRight90, killed, RotateRight90, MoveForward (ignored), killed, GetBattleInfo, GetBattleInfo, MoveForward (ignored), MoveForward (ignored)
killed, killed, MoveForward (ignored), GetBattleInfo, GetBattleInfo, GetBattleInfo, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, GetBattleInfo, killed, RotateLeft90, killed, MoveForward, MoveForward (ignored), killed, GetBattleInfo, GetBattleInfo, MoveForward (ignored), MoveForward (ignored)
killed, killed, MoveForward (ignored), Shoot, GetBattleInfo, GetBattleInfo, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, Shoot, killed, MoveForward (ignored), killed, RotateRight90, MoveForward (ignored), killed, GetBattleInfo, GetBattleInfo, MoveForward (ignored), MoveForward (ignored)
killed, killed, MoveForward (ignored), GetBattleInfo, GetBattleInfo, Shoot, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, GetBattleInfo, killed, RotateLeft90, killed, RotateRight90, MoveForward (ignored), killed, Shoot, Shoot, MoveForward (ignored), MoveForward (ignored)
killed, killed, MoveForward (ignored), GetBattleInfo, RotateLeft45, GetBattleInfo, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, GetBattleInfo, killed, GetBattleInfo, killed, MoveForward, MoveForward (ignored), killed, GetBattleInfo, GetBattleInfo, MoveForward (ignored), MoveForward (ignored)
killed, killed, MoveForward (ignored), GetBattleInfo, RotateRight45, GetBattleInfo, killed, killed, killed, RotateLeft45, killed, killed, killed, killed, GetBattleInfo, killed, RotateRight90, killed, RotateRight90, MoveForward (ignored), killed, GetBattleInfo, GetBattleInfo, MoveForward (ignored), MoveForward (ignored)
killed, killed, MoveForward (ignored), GetBattleInfo, Shoot, GetBattleInfo, killed, killed, killed, MoveForward, killed, killed, killed, killed, GetBattleInfo, killed, RotateRight90, killed, RotateRight90, MoveForward (ignored), killed, GetBattleInfo, GetBattleInfo, MoveForward (ignored), MoveForward (ignored)
killed, killed, MoveForward (ignored), Shoot, GetBattleInfo, GetBattleInfo, killed, killed, killed, RotateRight45, killed, killed, killed, killed, Shoot, killed, MoveForward, killed, MoveForward, MoveForward (ignored), killed, GetBattleInfo, GetBattleInfo, MoveForward (ignored), MoveForward (ignored)
killed, killed, MoveForward (ignored), GetBattleInfo, GetBattleInfo, Shoot, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, GetBattleInfo, killed, RotateLeft45, killed, GetBattleInfo, MoveForward (ignored), killed, Shoot, Shoot, MoveForward (ignored), MoveForward (ignored)
killed, killed, MoveForward (ignored), GetBattleInfo, MoveForward, GetBattleInfo, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, GetBattleInfo, killed, RotateRight90, killed, MoveForward, MoveForward (ignored), killed, GetBattleInfo, GetBattleInfo, MoveForward (ignored), MoveForward (ignored)
killed, killed, MoveForward (ignored), GetBattleInfo, GetBattleInfo, MoveForward, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, RotateLeft90, killed, MoveForward (ignored), killed, RotateRight45, MoveForward (ignored), killed, GetBattleInfo, GetBattleInfo, MoveForward (ignored), MoveForward (ignored)
killed, killed, MoveForward (ignored), RotateRight45, Shoot, GetBattleInfo, killed, killed, killed, RotateLeft45, killed, killed, killed, killed, RotateRight90, killed, MoveForward (ignored), killed, MoveForward, MoveForward (ignored), killed, GetBattleInfo, GetBattleInfo, MoveForward (ignored), MoveForward (ignored)
killed, killed, MoveForward (ignored), MoveForward, GetBattleInfo, RotateLeft90, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, RotateRight90, killed, MoveForward (ignored), killed, MoveForward, MoveForward (ignored), killed, GetBattleInfo, GetBattleInfo, MoveForward (ignored), MoveForward (ignored)
killed, killed, MoveForward (ignored), RotateRight45, GetBattleInfo, RotateLeft45, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, Shoot, killed, GetBattleInfo, killed, RotateLeft45, MoveForward (ignored), killed, Shoot, Shoot, MoveForward (ignored), MoveForward (ignored)
killed, killed, MoveForward (ignored), GetBattleInfo, GetBattleInfo, RotateLeft90, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, GetBattleInfo, killed, MoveForward (ignored), killed, MoveForward, MoveForward (ignored), killed, GetBattleInfo, GetBattleInfo, MoveForward (ignored), MoveForward (ignored)
killed, killed, MoveForward (ignored), RotateLeft45, GetBattleInfo, RotateRight45, killed, killed, killed, RotateRight45, killed, killed, killed, killed, GetBattleInfo, killed, RotateLeft45, killed, RotateRight90, MoveForward (ignored), killed, GetBattleInfo, GetBattleInfo, MoveForward (ignored), MoveForward (ignored)
killed, killed, MoveForward (ignored), MoveForward, GetBattleInfo, RotateLeft45, killed, killed, killed, RotateRight45, killed, killed, killed, killed, GetBattleInfo, killed, MoveForward, killed, killed, MoveForward (ignored), killed, GetBattleInfo, GetBattleInfo, MoveForward (ignored), MoveForward (ignored)
killed, killed, MoveForward (ignored), RotateRight45, GetBattleInfo, RotateRight90, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, RotateLeft90, killed, RotateRight90, killed, killed, MoveForward (ignored), killed, GetBattleInfo, GetBattleInfo, MoveForward (ignored), MoveForward (ignored)
killed, killed, MoveForward (ignored), MoveForward, Shoot, RotateRight45, killed, killed, killed, RotateLeft45, killed, killed, killed, killed, GetBattleInfo, killed, Shoot, killed, killed, MoveForward (ignored), killed, Shoot, Shoot, MoveForward (ignored), MoveForward (ignored)
killed, killed, MoveForward (ignored), Shoot, GetBattleInfo, MoveForward, killed, killed, killed, RotateLeft45, killed, killed, killed, killed, RotateRight90, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, GetBattleInfo, GetBattleInfo, MoveForward (ignored), MoveForward (ignored)
