GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo
Shoot, GetBattleInfo, killed, killed, RotateRight45, killed, Shoot, killed, Shoot, killed, Shoot, MoveForward, killed, killed, Shoot, GetBattleInfo, killed, killed, killed, killed, RotateRight45, MoveForward, killed, killed, killed, killed
RotateLeft90, MoveForward, killed, killed, GetBattleInfo, killed, GetBattleInfo, killed, GetBattleInfo, killed, GetBattleInfo, RotateRight90, killed, killed, GetBattleInfo, Shoot, killed, killed, killed, killed, Shoot, GetBattleInfo, killed, killed, killed, killed
GetBattleInfo, MoveForward, killed, killed, MoveForward, killed, GetBattleInfo, killed, RotateRight90, killed, GetBattleInfo, GetBattleInfo, killed, killed, RotateRight45, GetBattleInfo, killed, killed, killed, killed, MoveForward, RotateRight45, killed, killed, killed, killed
RotateLeft45, GetBattleInfo, killed, killed, MoveForward, killed, GetBattleInfo, killed, MoveForward, killed, GetBattleInfo, GetBattleInfo, killed, killed, MoveForward, GetBattleInfo, killed, killed, killed, killed, RotateLeft90, Shoot, killed, killed, killed, killed
MoveForward, MoveForward, killed, killed, GetBattleInfo, killed, MoveForward, killed, RotateRight45, killed, GetBattleInfo, MoveForward, killed, killed, RotateLeft90, GetBattleInfo, killed, killed, killed, killed, GetBattleInfo, GetBattleInfo, killed, killed, killed, killed
Shoot, MoveForward, killed, killed, RotateLeft90, killed, RotateRight45, killed, GetBattleInfo, killed, RotateRight90 (killed), MoveForward, killed, killed, Shoot, GetBattleInfo, killed, killed, killed, killed, RotateRight90, RotateRight45, killed, killed, killed, killed
MoveForward, GetBattleInfo, killed, killed, MoveForward, killed, GetBattleInfo, killed, RotateRight90, killed, killed, RotateLeft90, killed, killed, GetBattleInfo, Shoot (killed), killed, killed, killed, killed, Shoot (killed), MoveForward, killed, killed, killed, killed
GetBattleInfo, Shoot, killed, killed, GetBattleInfo, killed, RotateRight90 (killed), killed, Shoot, killed, killed, MoveForward, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed
RotateRight90, GetBattleInfo, killed, killed, RotateRight90, killed, killed, killed, RotateLeft90, killed, killed, GetBattleInfo (killed), killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, RotateRight45, killed, killed, killed, killed
GetBattleInfo, GetBattleInfo, killed, killed, MoveForward, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed
GetBattleInfo, MoveForward, killed, killed, GetBattleInfo, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed
GetBattleInfo, MoveForward, killed, killed, GetBattleInfo, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, RotateLeft90, killed, killed, killed, killed
GetBattleInfo, GetBattleInfo, killed, killed, GetBattleInfo, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, RotateLeft90, killed, killed, killed, killed
RotateRight90, RotateRight90, killed, killed, GetBattleInfo, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed
MoveForward, MoveForward, killed, killed, GetBattleInfo, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed
GetBattleInfo, GetBattleInfo, killed, killed, GetBattleInfo, killed, killed, killed, RotateRight45, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, RotateRight45, killed, killed, killed, killed
RotateRight45, MoveForward, killed, killed, GetBattleInfo, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed
MoveForward, MoveForward, killed, killed, GetBattleInfo, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed
GetBattleInfo, GetBattleInfo, killed, killed, MoveForward, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, RotateRight45, killed, killed, killed, killed
MoveForward, MoveForward, killed, killed, MoveForward, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed
RotateRight45, RotateLeft45, killed, killed, GetBattleInfo, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed
GetBattleInfo, GetBattleInfo, killed, killed, MoveForward, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed
RotateLeft45, RotateRight45 (killed), killed, killed, RotateLeft45, killed, killed, killed, Shoot, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed
MoveForward, killed, killed, killed, GetBattleInfo, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, RotateLeft45, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed
GetBattleInfo, killed, killed, killed, MoveForward, killed, killed, killed, RotateLeft45, killed, killed, killed, killed, killed, Shoot, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed
RotateRight45, killed, killed, killed, RotateRight90, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed
MoveForward, killed, killed, killed, GetBattleInfo, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, RotateLeft45, killed, killed, killed, killed, killed, killed, RotateLeft45, killed, killed, killed, killed
GetBattleInfo, killed, killed, killed, MoveForward, killed, killed, killed, RotateRight45, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed
MoveForward, killed, killed, killed, RotateLeft45, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed
MoveForward, killed, killed, killed, GetBattleInfo, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed
GetBattleInfo, killed, killed, killed, MoveForward, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed
RotateRight45, killed, killed, killed, RotateRight45, killed, killed, killed, RotateLeft45, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed
MoveForward, killed, killed, killed, GetBattleInfo, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed
GetBattleInfo, killed, killed, killed, Shoot, killed, killed, killed, RotateRight45 (killed), killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed
MoveForward, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed
MoveForward, killed, killed, killed, RotateLeft45, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed
GetBattleInfo, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed
GetBattleInfo, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed
RotateLeft90, killed, killed, killed, RotateRight45, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed
GetBattleInfo, killed, killed, killed, Shoot, killed, killed, killed, killed, killed, killed, killed, killed, killed, Shoot, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed
MoveForward, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed
GetBattleInfo, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed
RotateRight90, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, RotateLeft45, killed, killed, killed, killed
GetBattleInfo, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed
MoveForward, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed
GetBattleInfo, killed, killed, killed, Shoot (killed), killed, killed, killed, killed, killed, killed, killed, killed, killed, Shoot (killed), killed, killed, killed, killed, killed, killed, RotateRight45, killed, killed, killed, killed
MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed
GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateLeft45, killed, killed, killed, killed
GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, Shoot, killed, killed, killed, killed
GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed
RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateLeft45, killed, killed, killed, killed
MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed
GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed
RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed
MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed
GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed
Shoot, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, Shoot, killed, killed, killed, killed
MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed
GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed
MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed
RotateLeft90, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed
GetBattleInfo (killed), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, Shoot, killed, killed, killed, killed
Player 1 won with 1 tanks still alive
