GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo
Shoot, Shoot, killed, RotateRight45, RotateRight45, killed, Shoot, killed, Shoot, killed, killed, MoveForward, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, RotateRight45, MoveForward, killed, killed, killed, killed
RotateLeft90, GetBattleInfo, killed, GetBattleInfo, GetBattleInfo, killed, GetBattleInfo, killed, GetBattleInfo, killed, killed, RotateRight90, killed, killed, killed, MoveForward, killed, killed, killed, killed, MoveForward, GetBattleInfo, killed, killed, killed, killed
GetBattleInfo, GetBattleInfo, killed, MoveForward (killed), MoveForward, killed, RotateLeft90, killed, RotateRight90, killed, killed, GetBattleInfo, killed, killed, killed, RotateRight45, killed, killed, killed, killed, RotateRight45, RotateLeft90, killed, killed, killed, killed
RotateRight90, GetBattleInfo, killed, killed, RotateRight45, killed, MoveForward, killed, MoveForward, killed, killed, MoveForward, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, GetBattleInfo, Shoot, killed, killed, killed, killed
RotateRight90, MoveForward, killed, killed, GetBattleInfo, killed, GetBattleInfo, killed, RotateRight45, killed, killed, MoveForward, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, MoveForward, GetBattleInfo, killed, killed, killed, killed
MoveForward, RotateRight45, killed, killed, MoveForward, killed, RotateLeft90, killed, GetBattleInfo, killed, killed, RotateLeft45, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, GetBattleInfo, RotateRight45, killed, killed, killed, killed
GetBattleInfo, GetBattleInfo, killed, killed, MoveForward, killed, RotateLeft90, killed, GetBattleInfo, killed, killed, Shoot, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, RotateRight45, MoveForward, killed, killed, killed, killed
GetBattleInfo, RotateLeft45, killed, killed, GetBattleInfo, killed, GetBattleInfo, killed, MoveForward, killed, killed, GetBattleInfo, killed, killed, killed, RotateLeft45 (killed), killed, killed, killed, killed, GetBattleInfo, GetBattleInfo, killed, killed, killed, killed
MoveForward, Shoot, killed, killed, RotateLeft90 (killed), killed, MoveForward (killed), killed, GetBattleInfo (killed), killed, killed, RotateLeft45, killed, killed, killed, killed, killed, killed, killed, killed, Shoot, RotateLeft45, killed, killed, killed, killed
RotateRight45, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, RotateLeft90, MoveForward, killed, killed, killed, killed
MoveForward, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo (killed), killed, killed, killed, killed, killed, killed, killed, killed, RotateRight45, GetBattleInfo, killed, killed, killed, killed
GetBattleInfo, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, MoveForward, killed, killed, killed, killed
MoveForward, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, MoveForward, killed, killed, killed, killed
GetBattleInfo, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward, GetBattleInfo, killed, killed, killed, killed
MoveForward, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, MoveForward, killed, killed, killed, killed
GetBattleInfo, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight45, MoveForward, killed, killed, killed, killed
MoveForward, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, GetBattleInfo, killed, killed, killed, killed
GetBattleInfo, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward, RotateLeft90, killed, killed, killed, killed
RotateRight45, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, MoveForward, killed, killed, killed, killed
GetBattleInfo, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateLeft45, GetBattleInfo, killed, killed, killed, killed
MoveForward, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, RotateRight90, killed, killed, killed, killed
GetBattleInfo, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward, MoveForward, killed, killed, killed, killed
RotateLeft45, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, GetBattleInfo, killed, killed, killed, killed
GetBattleInfo, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward, RotateRight45, killed, killed, killed, killed
RotateRight45, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, MoveForward, killed, killed, killed, killed
GetBattleInfo, Shoot, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight90, GetBattleInfo, killed, killed, killed, killed
MoveForward, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, RotateLeft45, killed, killed, killed, killed
GetBattleInfo, RotateRight45, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward, Shoot, killed, killed, killed, killed
MoveForward, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, GetBattleInfo, killed, killed, killed, killed
GetBattleInfo, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight45, RotateRight45, killed, killed, killed, killed
MoveForward, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, MoveForward, killed, killed, killed, killed
GetBattleInfo, GetBattleInfo (killed), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, Shoot, GetBattleInfo, killed, killed, killed, killed
MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, MoveForward, killed, killed, killed, killed
GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, RotateLeft45, killed, killed, killed, killed
RotateRight45, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, GetBattleInfo, killed, killed, killed, killed
GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight45, Shoot, killed, killed, killed, killed
MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo (killed), GetBattleInfo, killed, killed, killed, killed
GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed
RotateLeft45, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateLeft90, killed, killed, killed, killed
MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed
GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed
RotateRight45, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed
MoveForward (killed), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight45 (killed), killed, killed, killed, killed
Tie, both players have zero tanks
