MoveForward (ignored), MoveForward, MoveForward, MoveForward (ignored), MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward
MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward, killed, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward, killed, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward, killed, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward, killed, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward, killed, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward, killed, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (killed), killed, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
