GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo
MoveForward, GetBattleInfo, MoveForward, killed, killed, killed, killed, killed, killed, MoveForward, killed, GetBattleInfo, GetBattleInfo, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, RotateRight90, killed
RotateRight45, RotateRight45, MoveForward, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, GetBattleInfo, GetBattleInfo, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, RotateLeft90, killed
GetBattleInfo, MoveForward, MoveForward, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, RotateLeft45, Shoot, killed, killed, killed, killed, killed, killed, Shoot, killed, killed, killed, GetBattleInfo, killed
MoveForward, GetBattleInfo, GetBattleInfo, killed, killed, killed, killed, killed, killed, RotateRight45, killed, MoveForward, RotateLeft45, killed, killed, killed, killed, killed, killed, RotateRight45, killed, killed, killed, RotateRight90, killed
RotateRight45, MoveForward, RotateRight45, killed, killed, killed, killed, killed, killed, MoveForward, killed, MoveForward, GetBattleInfo, killed, killed, killed, killed, killed, killed, RotateLeft45, killed, killed, killed, RotateRight90, killed
MoveForward, RotateLeft45, MoveForward, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, GetBattleInfo, MoveForward, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, MoveForward, killed
GetBattleInfo, GetBattleInfo, MoveForward, killed, killed, killed, killed, killed, killed, Shoot, killed, RotateRight90, MoveForward, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, RotateLeft45, killed
RotateLeft45, MoveForward (killed), RotateLeft45, killed, killed, killed, killed, killed, killed, MoveForward, killed, RotateRight45 (killed), GetBattleInfo, killed, killed, killed, killed, killed, killed, RotateRight45, killed, killed, killed, GetBattleInfo, killed
MoveForward, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, Shoot, killed, killed, killed, MoveForward, killed
RotateLeft45, killed, MoveForward, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, RotateLeft45, killed, killed, killed, killed, killed, killed, RotateLeft45, killed, killed, killed, RotateLeft45, killed
MoveForward, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, MoveForward, killed
GetBattleInfo, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, MoveForward, killed
GetBattleInfo, killed, MoveForward, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, GetBattleInfo, killed
RotateRight45, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, RotateLeft90, killed
MoveForward, killed, RotateRight45, killed, killed, killed, killed, killed, killed, RotateLeft45, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, RotateRight45, killed, killed, killed, GetBattleInfo, killed
RotateLeft45, killed, MoveForward, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, RotateRight45, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, RotateLeft45, killed
GetBattleInfo, killed, MoveForward, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, MoveForward, killed
MoveForward, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, RotateLeft45, killed, killed, killed, RotateLeft90, killed
MoveForward, killed, RotateLeft45, killed, killed, killed, killed, killed, killed, Shoot, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, Shoot, killed, killed, killed, GetBattleInfo (killed), killed
RotateRight45, killed, MoveForward, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, RotateLeft45, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed
GetBattleInfo, killed, RotateRight90, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed
MoveForward, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed
GetBattleInfo, killed, MoveForward, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed
MoveForward, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, RotateLeft45, killed, killed, killed, killed, killed, killed, RotateRight45, killed, killed, killed, killed, killed
RotateRight90, killed, RotateLeft45, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed
GetBattleInfo, killed, MoveForward, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, Shoot, killed, killed, killed, killed, killed, killed, Shoot, killed, killed, killed, killed, killed
MoveForward, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, killed
RotateLeft90, killed, MoveForward, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed
GetBattleInfo, killed, RotateRight45, killed, killed, killed, killed, killed, killed, RotateRight45, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed
Shoot, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, RotateRight45, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed
MoveForward, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, Shoot, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed
GetBattleInfo, killed, MoveForward, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, Shoot, killed, killed, killed, killed, killed
MoveForward, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, RotateLeft45, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed
RotateRight45, killed, RotateRight90, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed
GetBattleInfo, killed, MoveForward, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed
RotateLeft45, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, RotateLeft45, killed, killed, killed, killed, killed
Shoot, killed, RotateRight90, killed, killed, killed, killed, killed, killed, RotateRight45, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed
GetBattleInfo, killed, MoveForward, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, RotateLeft45, killed, killed, killed, killed, killed
RotateRight45, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, Shoot, killed, killed, killed, killed, killed
RotateLeft45, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, RotateLeft45 (killed), killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed
GetBattleInfo, killed, MoveForward, killed, killed, killed, killed, killed, killed, RotateRight45, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateLeft45, killed, killed, killed, killed, killed
RotateRight90, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed
RotateRight45, killed, RotateRight45, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed
GetBattleInfo, killed, Shoot, killed, killed, killed, killed, killed, killed, Shoot, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed
Shoot, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, RotateLeft90 (killed), killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight45, killed, killed, killed, killed, killed
Player 1 won with 3 tanks still alive
