GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo
killed, RotateLeft45, killed, killed, Shoot, killed, killed, killed, killed, killed, GetBattleInfo, MoveForward, killed, DoNothing, killed, RotateRight45 (killed), MoveForward, Shoot, killed, MoveForward (killed), MoveForward, killed
killed, MoveForward, killed, killed, MoveForward, killed, killed, killed, killed, killed, MoveForward, MoveForward, killed, GetBattleInfo, killed, killed, MoveForward, MoveForward, killed, killed, MoveForward, killed
killed, MoveForward, killed, killed, MoveForward, killed, killed, killed, killed, killed, MoveForward, GetBattleInfo, killed, Shoot, killed, killed, RotateRight45, MoveForward, killed, killed, MoveForward, killed
killed, GetBattleInfo, killed, killed, MoveForward, killed, killed, killed, killed, killed, MoveForward, RotateLeft90, killed, DoNothing, killed, killed, Shoot, GetBattleInfo, killed, killed, MoveForward, killed
killed, RotateRight90, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, MoveForward, RotateLeft45, killed, DoNothing, killed, killed, MoveForward, MoveForward, killed, killed, MoveForward, killed
killed, RotateRight45, killed, killed, RotateLeft45, killed, killed, killed, killed, killed, MoveForward, MoveForward, killed, DoNothing, killed, killed, RotateLeft45, MoveForward, killed, killed, MoveForward, killed
killed, MoveForward, killed, killed, MoveForward, killed, killed, killed, killed, killed, RotateLeft45, RotateLeft45, killed, DoNothing, killed, killed, MoveForward, MoveForward, killed, killed, MoveForward, killed
killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, MoveForward, Shoot, killed, GetBattleInfo, killed, killed, MoveForward, MoveForward, killed, killed, RotateLeft45, killed
killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, GetBattleInfo, RotateRight45, killed, RotateLeft90, killed, killed, GetBattleInfo, MoveForward, killed, killed, RotateLeft45, killed
killed, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, killed, MoveForward, MoveForward, killed, RotateLeft45, killed, killed, RotateLeft90, GetBattleInfo, killed, killed, MoveForward, killed
killed, killed, killed, killed, RotateLeft45, killed, killed, killed, killed, killed, MoveForward, MoveForward, killed, MoveForward, killed, killed, RotateLeft45, RotateLeft90, killed, killed, killed, killed
killed, killed, killed, killed, Shoot, killed, killed, killed, killed, killed, MoveForward (killed), RotateRight45, killed, MoveForward, killed, killed, MoveForward, RotateLeft45, killed, killed, killed, killed
killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, GetBattleInfo, killed, killed, RotateLeft45, MoveForward, killed, killed, killed, killed
killed, killed, killed, killed, RotateRight45, killed, killed, killed, killed, killed, killed, RotateLeft45, killed, MoveForward, killed, killed, RotateLeft45, MoveForward, killed, killed, killed, killed
killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, RotateLeft45, killed, MoveForward, killed, killed, MoveForward, GetBattleInfo, killed, killed, killed, killed
killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, Shoot, killed, MoveForward, killed, killed, RotateRight45, RotateLeft90, killed, killed, killed, killed
killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, MoveForward, killed, GetBattleInfo, killed, killed, RotateRight45, Shoot, killed, killed, killed, killed
killed, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, MoveForward, killed, RotateLeft90, killed, killed, MoveForward, DoNothing, killed, killed, killed, killed
killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, RotateLeft45, killed, RotateLeft45, killed, killed, RotateLeft45, GetBattleInfo, killed, killed, killed, killed
killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, MoveForward, killed, Shoot, killed, killed, RotateLeft45, RotateLeft90 (killed), killed, killed, killed, killed
killed, killed, killed, killed, RotateRight45, killed, killed, killed, killed, killed, killed, RotateRight45, killed, GetBattleInfo, killed, killed, MoveForward, killed, killed, killed, killed, killed
killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, RotateRight45, killed, DoNothing, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed
killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, DoNothing, killed, killed, RotateLeft90, killed, killed, killed, killed, killed
killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, RotateLeft45, killed, DoNothing, killed, killed, RotateLeft45, killed, killed, killed, killed, killed
killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, MoveForward, killed, GetBattleInfo, killed, killed, MoveForward, killed, killed, killed, killed, killed
killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, MoveForward, killed, Shoot, killed, killed, MoveForward, killed, killed, killed, killed, killed
killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, MoveForward, killed, DoNothing, killed, killed, RotateLeft45, killed, killed, killed, killed, killed
killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, MoveForward, killed, DoNothing, killed, killed, MoveForward, killed, killed, killed, killed, killed
killed, killed, killed, killed, RotateRight45, killed, killed, killed, killed, killed, killed, MoveForward, killed, GetBattleInfo, killed, killed, MoveForward, killed, killed, killed, killed, killed
killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, RotateRight45, killed, DoNothing, killed, killed, Shoot, killed, killed, killed, killed, killed
killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, Shoot, killed, Shoot, killed, killed, RotateLeft45, killed, killed, killed, killed, killed
killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, RotateRight45, killed, DoNothing, killed, killed, MoveForward, killed, killed, killed, killed, killed
killed, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, GetBattleInfo, killed, killed, MoveForward, killed, killed, killed, killed, killed
killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, RotateRight90, killed, DoNothing, killed, killed, RotateRight45, killed, killed, killed, killed, killed
killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, RotateRight45, killed, DoNothing, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed
killed, killed, killed, killed, RotateRight45, killed, killed, killed, killed, killed, killed, MoveForward, killed, Shoot, killed, killed, RotateLeft45, killed, killed, killed, killed, killed
killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, MoveForward, killed, killed, killed, killed, killed
killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, RotateLeft90, killed, killed, killed, killed, killed
killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, MoveForward, killed, killed, killed, killed, killed
killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, RotateRight90, killed, killed, killed, killed, killed
killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, Shoot, killed, killed, RotateRight45, killed, killed, killed, killed, killed
killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, MoveForward, killed, killed, killed, killed, killed
killed, killed, killed, killed, RotateRight45, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, RotateLeft45, killed, killed, killed, killed, killed
killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, MoveForward, killed, killed, killed, killed, killed
killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, RotateRight45, killed, killed, killed, killed, killed
killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, RotateRight45, killed, killed, killed, killed, killed
killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, Shoot, killed, killed, MoveForward, killed, killed, killed, killed, killed
killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed
killed, killed, killed, killed, RotateRight45, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, RotateLeft45, killed, killed, killed, killed, killed
killed, killed, killed, killed, MoveForward (killed), killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, MoveForward, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, MoveForward, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, MoveForward, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, Shoot, killed, killed, MoveForward, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, RotateRight45, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, MoveForward, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, Shoot, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, RotateRight45, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, MoveForward, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, Shoot, killed, killed, MoveForward (killed), killed, killed, killed, killed, killed
Player 1 won with 1 tanks still alive
