RotateRight90, Shoot, RotateRight90, Shoot, RotateRight90, Shoot, Shoot, Shoot, RotateRight90, RotateRight90, RotateRight90, Shoot, Shoot, RotateRight90, RotateRight90, RotateRight90, RotateRight90, RotateRight90, Shoot, Shoot, Shoot, Shoot
Shoot, Shoot, killed, Shoot, Shoot, Shoot, Shoot, Shoot, Shoot, killed, Shoot (killed), Shoot, Shoot, Shoot, Shoot, Shoot, Shoot, Shoot, killed, Shoot, Shoot, Shoot
RotateRight90, Shoot (ignored), killed, Shoot (ignored), RotateRight90 (killed), Shoot (ignored), Shoot (ignored), Shoot (ignored), RotateRight90, killed, killed, Shoot (ignored), Shoot (ignored), RotateRight90, RotateRight90, RotateRight90, RotateRight90, RotateRight90, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored)
RotateLeft90, Shoot (ignored), killed, Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), RotateLeft90, killed, killed, Shoot (ignored), Shoot (ignored), RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft90, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored)
Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), Shoot (ignored), Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), Shoot (ignored)
RotateRight90, Shoot (ignored), killed, Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), RotateRight90, killed, killed, Shoot (ignored), Shoot (ignored), RotateRight90, RotateRight90, RotateRight90, RotateRight90, RotateRight90, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored)
RotateLeft90, Shoot, killed, Shoot, killed, Shoot, Shoot, Shoot, RotateLeft90, killed, killed, Shoot, Shoot, RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft90, killed, Shoot, Shoot, Shoot
Shoot, Shoot (ignored), killed, Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), Shoot, killed, killed, Shoot (ignored), Shoot (ignored), Shoot, Shoot, Shoot, Shoot, Shoot, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored)
RotateRight90, Shoot (ignored), killed, Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), RotateRight90, killed, killed, Shoot (ignored), Shoot (ignored), RotateRight90, RotateRight90, RotateRight90, RotateRight90, RotateRight90, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored)
RotateLeft90, Shoot (ignored), killed, Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), RotateLeft90, killed, killed, Shoot (ignored), Shoot (ignored), RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft90, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored) (killed)
Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), Shoot (ignored), Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), killed
RotateRight90, Shoot, killed, Shoot, killed, Shoot, Shoot, Shoot, RotateRight90, killed, killed, Shoot, Shoot, RotateRight90, RotateRight90, RotateRight90, RotateRight90, RotateRight90, killed, Shoot, Shoot, killed
RotateLeft90, Shoot (ignored), killed, Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), RotateLeft90, killed, killed, Shoot (ignored), Shoot (ignored), RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft90, killed, Shoot (ignored), Shoot (ignored), killed
Shoot, Shoot (ignored), killed, Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), Shoot, killed, killed, Shoot (ignored), Shoot (ignored), Shoot, killed, killed, Shoot, Shoot, killed, Shoot (ignored), Shoot (ignored), killed
RotateRight90, Shoot (ignored), killed, Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), RotateRight90, killed, killed, Shoot (ignored), Shoot (ignored), RotateRight90, killed, killed, RotateRight90, RotateRight90, killed, Shoot (ignored), Shoot (ignored) (killed), killed
RotateLeft90, Shoot (ignored), killed, Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), RotateLeft90, killed, killed, Shoot (ignored), Shoot (ignored), RotateLeft90, killed, killed, RotateLeft90, RotateLeft90, killed, Shoot (ignored), killed, killed
Shoot (ignored), Shoot, killed, Shoot, killed, Shoot, Shoot, Shoot, Shoot (ignored), killed, killed, Shoot, Shoot, Shoot (ignored), killed, killed, Shoot (ignored), Shoot (ignored), killed, Shoot, killed, killed
RotateRight90, Shoot (ignored), killed, Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), RotateRight90, killed, killed, Shoot (ignored), Shoot (ignored), RotateRight90, killed, killed, RotateRight90, RotateRight90, killed, Shoot (ignored), killed, killed
RotateLeft90, Shoot (ignored), killed, Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), RotateLeft90, killed, killed, Shoot (ignored), Shoot (ignored), RotateLeft90, killed, killed, RotateLeft90, RotateLeft90, killed, Shoot (ignored), killed, killed
Shoot, Shoot (ignored), killed, Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), Shoot (killed), killed, killed, Shoot (ignored) (killed), Shoot (ignored), killed, killed, killed, killed, Shoot, killed, Shoot (ignored) (killed), killed, killed
RotateRight90, Shoot (ignored), killed, Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed
RotateLeft90, Shoot, killed, Shoot, killed, Shoot, Shoot, Shoot, killed, killed, killed, killed, Shoot, killed, killed, killed, killed, RotateLeft90, killed, killed, killed, killed
Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed
RotateRight90, Shoot (ignored), killed, Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed
RotateLeft90, Shoot (ignored), killed, Shoot (ignored), killed, Shoot (ignored) (killed), Shoot (ignored) (killed), Shoot (ignored), killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, RotateLeft90, killed, killed, killed, killed
Shoot, Shoot (ignored), killed, Shoot (ignored), killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, Shoot, killed, killed, killed, killed
RotateRight90, Shoot, killed, Shoot, killed, killed, killed, Shoot, killed, killed, killed, killed, Shoot, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed
RotateLeft90, Shoot (ignored), killed, Shoot (ignored), killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, RotateLeft90, killed, killed, killed, killed
Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed
RotateRight90, Shoot (ignored) (killed), killed, Shoot (ignored), killed, killed, killed, Shoot (ignored) (killed), killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed
RotateLeft90, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, RotateLeft90, killed, killed, killed, killed
Shoot, killed, killed, Shoot, killed, killed, killed, killed, killed, killed, killed, killed, Shoot, killed, killed, killed, killed, killed, killed, killed, killed, killed
RotateRight90, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed
RotateLeft90, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed
Shoot (ignored), killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed
RotateRight90, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed
RotateLeft90, killed, killed, Shoot, killed, killed, killed, killed, killed, killed, killed, killed, Shoot, killed, killed, killed, killed, killed, killed, killed, killed, killed
Shoot, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed
RotateRight90, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed
RotateLeft90, killed, killed, Shoot (ignored) (killed), killed, killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed
Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed
RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, Shoot, killed, killed, killed, killed, killed, killed, killed, killed, killed
RotateLeft90, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed
Shoot, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed
RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed
RotateLeft90, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed
Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, Shoot, killed, killed, killed, killed, killed, killed, killed, killed, killed
RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed
RotateLeft90, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed
Shoot, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed
RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed
RotateLeft90, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, Shoot, killed, killed, killed, killed, killed, killed, killed, killed, killed
Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed
RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed
RotateLeft90, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed
Shoot, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed
RotateRight90 (killed), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, Shoot, killed, killed, killed, killed, killed, killed, killed, killed, killed
Player 2 won with 1 tanks still alive
