Shoot, MoveForward, Shoot, MoveForward, Shoot, MoveForward, Shoot, MoveForward, MoveForward (killed), MoveForward, MoveForward, Shoot, Shoot, MoveForward, MoveForward, Shoot, Shoot, Shoot, Shoot, MoveForward, Shoot, MoveForward, MoveForward, Shoot, MoveForward (ignored)
Shoot (ignored), MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, Shoot (ignored), Shoot (ignored), MoveForward (ignored), killed, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), killed, killed, Shoot (ignored), MoveForward (ignored)
Shoot (ignored), MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, Shoot (ignored), Shoot (ignored), MoveForward (ignored), killed, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), killed, killed, Shoot (ignored), MoveForward (ignored)
Shoot (ignored), MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, Shoot (ignored), Shoot (ignored), MoveForward (ignored), killed, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), killed, killed, Shoot (ignored), MoveForward (ignored)
Shoot (ignored), MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, Shoot (ignored), Shoot (ignored), MoveForward (ignored), killed, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), killed, killed, Shoot (ignored), MoveForward (ignored)
Shoot, MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, Shoot, Shoot, MoveForward (ignored), killed, killed, Shoot, Shoot, Shoot, killed, Shoot, killed, killed, Shoot, MoveForward (ignored)
Shoot (ignored), MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, Shoot (ignored), Shoot (ignored), MoveForward (ignored), killed, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), killed, killed, Shoot (ignored), MoveForward (ignored)
Shoot (ignored), MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, Shoot (ignored), Shoot (ignored), MoveForward (ignored), killed, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), killed, killed, Shoot (ignored), MoveForward (ignored)
Shoot (ignored), MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, Shoot (ignored), killed, MoveForward (ignored), killed, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), killed, killed, Shoot (ignored), MoveForward (ignored)
Shoot (ignored), MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, Shoot (ignored), killed, MoveForward (ignored), killed, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), killed, killed, Shoot (ignored), MoveForward (ignored)
Shoot, MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, Shoot, killed, MoveForward (ignored), killed, killed, Shoot, Shoot, Shoot, killed, Shoot, killed, killed, Shoot, MoveForward (ignored)
Shoot (ignored), MoveForward (ignored), killed, killed, killed, MoveForward, killed, killed, killed, MoveForward (ignored), killed, Shoot (ignored), killed, MoveForward (ignored), killed, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), killed, killed, Shoot (ignored), MoveForward (ignored)
Shoot (ignored), MoveForward (ignored), killed, killed, killed, MoveForward, killed, killed, killed, MoveForward (ignored), killed, Shoot (ignored), killed, MoveForward (ignored), killed, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), killed, killed, Shoot (ignored), MoveForward (ignored)
Shoot (ignored), MoveForward (ignored), killed, killed, killed, MoveForward, killed, killed, killed, MoveForward (ignored), killed, Shoot (ignored), killed, MoveForward (ignored), killed, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), killed, killed, Shoot (ignored), MoveForward (ignored)
Shoot (ignored), MoveForward (ignored), killed, killed, killed, MoveForward, killed, killed, killed, MoveForward (ignored), killed, Shoot (ignored), killed, MoveForward (ignored), killed, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), killed, killed, Shoot (ignored), MoveForward (ignored)
Shoot, MoveForward (ignored), killed, killed, killed, MoveForward, killed, killed, killed, MoveForward (ignored), killed, Shoot, killed, MoveForward (ignored), killed, killed, Shoot, Shoot, Shoot, killed, Shoot, killed, killed, Shoot, MoveForward (ignored)
Shoot (ignored), MoveForward (ignored), killed, killed, killed, MoveForward (killed), killed, killed, killed, MoveForward (ignored), killed, Shoot (ignored), killed, MoveForward (ignored), killed, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), killed, killed, Shoot (ignored), MoveForward (ignored)
Shoot (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, Shoot (ignored), killed, MoveForward (ignored), killed, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), killed, killed, Shoot (ignored), MoveForward (ignored)
killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, Shoot (ignored), killed, MoveForward (ignored), killed, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), killed, killed, Shoot (ignored), MoveForward (ignored)
killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, Shoot (ignored), killed, MoveForward (ignored), killed, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), killed, killed, Shoot (ignored), MoveForward (ignored)
killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, Shoot, killed, MoveForward (ignored), killed, killed, Shoot, Shoot, Shoot, killed, Shoot, killed, killed, Shoot, MoveForward (ignored)
killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, Shoot (ignored), killed, MoveForward (ignored), killed, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), killed, killed, Shoot (ignored), MoveForward (ignored)
killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, Shoot (ignored), killed, MoveForward (ignored), killed, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), killed, killed, Shoot (ignored), MoveForward (ignored)
killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, Shoot (ignored), killed, MoveForward (ignored), killed, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), killed, killed, Shoot (ignored), MoveForward (ignored)
killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, Shoot (ignored), killed, MoveForward (ignored), killed, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), killed, killed, Shoot (ignored), MoveForward (ignored)
killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, Shoot, killed, MoveForward (ignored), killed, killed, Shoot, Shoot, Shoot, killed, Shoot, killed, killed, Shoot, MoveForward (ignored)
killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, Shoot (ignored), killed, MoveForward (ignored), killed, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), killed, killed, Shoot (ignored), MoveForward (ignored)
killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, Shoot (ignored), killed, MoveForward (ignored), killed, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), killed, killed, Shoot (ignored), MoveForward (ignored)
killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, Shoot (ignored), killed, MoveForward (ignored), killed, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), killed, killed, Shoot (ignored), MoveForward (ignored)
killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, Shoot (ignored), killed, MoveForward (ignored), killed, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), killed, killed, Shoot (ignored), MoveForward (ignored)
killed, MoveForward (killed), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, Shoot, killed, MoveForward (ignored), killed, killed, Shoot, Shoot, Shoot, killed, Shoot, killed, killed, Shoot, MoveForward (ignored)
killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, Shoot (ignored), killed, MoveForward (ignored), killed, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), killed, killed, Shoot (ignored), MoveForward (ignored)
killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, Shoot (ignored), killed, MoveForward (ignored), killed, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), killed, killed, Shoot (ignored), MoveForward (ignored)
killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, Shoot (ignored), killed, MoveForward (ignored), killed, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), killed, killed, Shoot (ignored), MoveForward (ignored)
killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, Shoot (ignored), killed, MoveForward (ignored), killed, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), killed, killed, Shoot (ignored), MoveForward (ignored)
killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, Shoot, killed, MoveForward (ignored), killed, killed, Shoot, Shoot, Shoot, killed, Shoot, killed, killed, Shoot, MoveForward (ignored)
killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, Shoot (ignored), killed, MoveForward (ignored), killed, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), killed, killed, Shoot (ignored), MoveForward (ignored)
killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, Shoot (ignored), killed, MoveForward (ignored), killed, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), killed, killed, Shoot (ignored), MoveForward (ignored)
killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, Shoot (ignored), killed, MoveForward (ignored), killed, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), killed, killed, Shoot (ignored), MoveForward (ignored)
killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, Shoot (ignored), killed, MoveForward (ignored), killed, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), killed, killed, Shoot (ignored), MoveForward (ignored)
killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, Shoot, killed, MoveForward (ignored), killed, killed, Shoot, Shoot, Shoot, killed, Shoot, killed, killed, Shoot, MoveForward (ignored)
killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, Shoot (ignored), killed, MoveForward (ignored), killed, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), killed, killed, Shoot (ignored), MoveForward (ignored)
killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, Shoot (ignored), killed, MoveForward (ignored), killed, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), killed, killed, Shoot (ignored), MoveForward (ignored)
killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, Shoot (ignored), killed, MoveForward (ignored), killed, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), killed, killed, Shoot (ignored), MoveForward (ignored)
killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, Shoot (ignored), killed, MoveForward (ignored), killed, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), killed, killed, Shoot (ignored), MoveForward (ignored)
killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, Shoot, killed, MoveForward (ignored), killed, killed, Shoot, Shoot, Shoot, killed, Shoot, killed, killed, Shoot, MoveForward (ignored)
killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, Shoot (ignored), killed, MoveForward (ignored), killed, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), killed, killed, Shoot (ignored), MoveForward (ignored)
killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, Shoot (ignored), killed, MoveForward (ignored), killed, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), killed, killed, Shoot (ignored), MoveForward (ignored)
killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, Shoot (ignored), killed, MoveForward (ignored), killed, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), killed, killed, Shoot (ignored), MoveForward (ignored)
killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, Shoot (ignored), killed, MoveForward (ignored), killed, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), killed, killed, Shoot (ignored), MoveForward (ignored)
killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, Shoot, killed, MoveForward (ignored), killed, killed, Shoot, Shoot, Shoot, killed, Shoot, killed, killed, Shoot, MoveForward (ignored)
killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, Shoot (ignored), killed, MoveForward (ignored), killed, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), killed, killed, Shoot (ignored), MoveForward (ignored)
killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, Shoot (ignored), killed, MoveForward (ignored), killed, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), killed, killed, Shoot (ignored), MoveForward (ignored)
killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, Shoot (ignored), killed, MoveForward (ignored), killed, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), killed, killed, Shoot (ignored), MoveForward (ignored)
killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, Shoot (ignored), killed, MoveForward (ignored), killed, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), killed, killed, Shoot (ignored), MoveForward (ignored)
killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, Shoot, killed, MoveForward (ignored), killed, killed, Shoot, Shoot, Shoot, killed, Shoot, killed, killed, Shoot, MoveForward (ignored)
killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, Shoot (ignored), killed, MoveForward (ignored), killed, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), killed, killed, Shoot (ignored), MoveForward (ignored)
killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, Shoot (ignored), killed, MoveForward (ignored), killed, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), killed, killed, Shoot (ignored), MoveForward (ignored)
killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, Shoot (ignored), killed, MoveForward (ignored), killed, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), killed, killed, Shoot (ignored), MoveForward (ignored)
killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, Shoot (ignored), killed, MoveForward (ignored), killed, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), killed, killed, Shoot (ignored), MoveForward (ignored)
killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, Shoot, killed, MoveForward (ignored), killed, killed, Shoot, Shoot, Shoot, killed, Shoot, killed, killed, Shoot, MoveForward (ignored)
killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, Shoot (ignored), killed, MoveForward (ignored), killed, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), killed, killed, Shoot (ignored), MoveForward (ignored)
killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, Shoot (ignored), killed, MoveForward (ignored), killed, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), killed, killed, Shoot (ignored), MoveForward (ignored)
killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, Shoot (ignored), killed, MoveForward (ignored), killed, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), killed, killed, Shoot (ignored), MoveForward (ignored)
killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, Shoot (ignored), killed, MoveForward (ignored), killed, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), killed, killed, Shoot (ignored), MoveForward (ignored)
killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, Shoot, killed, MoveForward (ignored), killed, killed, Shoot, Shoot, Shoot, killed, Shoot, killed, killed, Shoot, MoveForward (ignored)
killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, Shoot (ignored), killed, MoveForward (ignored), killed, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), killed, killed, Shoot (ignored), MoveForward (ignored)
killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, Shoot (ignored), killed, MoveForward (ignored), killed, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), killed, killed, Shoot (ignored), MoveForward (ignored)
killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, Shoot (ignored), killed, MoveForward (ignored), killed, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), killed, killed, Shoot (ignored), MoveForward (ignored)
killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, Shoot (ignored), killed, MoveForward (ignored), killed, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), killed, killed, Shoot (ignored), MoveForward (ignored)
killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, Shoot, killed, MoveForward (ignored), killed, killed, Shoot, Shoot, Shoot, killed, Shoot, killed, killed, Shoot, MoveForward (ignored)
killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, Shoot (ignored), killed, MoveForward (ignored), killed, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), killed, killed, Shoot (ignored), MoveForward (ignored)
killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, Shoot (ignored), killed, MoveForward (ignored), killed, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), killed, killed, Shoot (ignored), MoveForward (ignored)
killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, Shoot (ignored), killed, MoveForward (ignored), killed, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), killed, killed, Shoot (ignored), MoveForward (ignored)
killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, Shoot (ignored), killed, MoveForward (ignored), killed, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), killed, killed, Shoot (ignored), MoveForward (ignored)
killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, Shoot, killed, MoveForward (ignored), killed, killed, Shoot, Shoot, Shoot, killed, Shoot, killed, killed, Shoot, MoveForward (ignored)
killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, Shoot (ignored), killed, MoveForward (ignored), killed, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), killed, killed, Shoot (ignored), MoveForward (ignored)
killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, Shoot (ignored), killed, MoveForward (ignored), killed, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), killed, killed, Shoot (ignored), MoveForward (ignored)
killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, Shoot (ignored), killed, MoveForward (ignored), killed, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), killed, killed, Shoot (ignored), MoveForward (ignored)
killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, Shoot (ignored), killed, MoveForward (ignored), killed, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), killed, killed, Shoot (ignored), MoveForward (ignored)
killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, Shoot, killed, MoveForward (ignored), killed, killed, Shoot, Shoot, Shoot, killed, Shoot, killed, killed, Shoot, MoveForward (ignored)
killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, Shoot (ignored), killed, MoveForward (ignored), killed, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), killed, killed, Shoot (ignored), MoveForward (ignored)
killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, Shoot (ignored), killed, MoveForward (ignored), killed, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), killed, killed, Shoot (ignored), MoveForward (ignored)
killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, Shoot (ignored), killed, MoveForward (ignored), killed, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), killed, killed, Shoot (ignored), MoveForward (ignored)
killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, Shoot (ignored), killed, MoveForward (ignored), killed, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), killed, killed, Shoot (ignored), MoveForward (ignored)
killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, Shoot, killed, MoveForward (ignored), killed, killed, Shoot, Shoot, Shoot, killed, Shoot, killed, killed, Shoot, MoveForward (ignored)
killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, Shoot (ignored), killed, MoveForward (ignored), killed, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), killed, killed, Shoot (ignored), MoveForward (ignored)
killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, Shoot (ignored), killed, MoveForward (ignored), killed, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), killed, killed, Shoot (ignored), MoveForward (ignored)
killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, Shoot (ignored), killed, MoveForward (ignored), killed, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), killed, killed, Shoot (ignored), MoveForward (ignored)
killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, Shoot (ignored), killed, MoveForward (ignored), killed, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), killed, killed, Shoot (ignored), MoveForward (ignored)
Tie, reached max steps = 100, player 1 has 6 tanks, player 2 has 3 tanks
