DoNothing, RotateRight90, DoNothing, RotateRight90, DoNothing, RotateRight90, RotateRight90, RotateRight90, DoNothing, DoNothing, DoNothing, RotateRight90, RotateRight90, DoNothing, DoNothing, DoNothing, DoNothing, DoNothing, RotateRight90, RotateRight90, RotateRight90, RotateRight90
DoNothing, RotateLeft90, killed, RotateLeft90, killed, RotateLeft90, RotateLeft90, RotateLeft90, DoNothing, killed, killed, RotateLeft90, RotateLeft90, killed, killed, killed, killed, killed, killed, RotateLeft90, RotateLeft90, RotateLeft90
RotateRight45, Shoot (ignored), killed, Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), RotateRight45, killed, killed, Shoot (ignored), Shoot (ignored), killed, killed, killed, killed, killed, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored)
DoNothing, RotateRight90, killed, RotateRight90, killed, RotateRight90, RotateRight90, RotateRight90, DoNothing, killed, killed, RotateRight90, RotateRight90, killed, killed, killed, killed, killed, killed, RotateRight90, RotateRight90, RotateRight90
RotateRight45 (killed), RotateLeft90, killed, RotateLeft90, killed, RotateLeft90, RotateLeft90, RotateLeft90, RotateRight45, killed, killed, RotateLeft90, RotateLeft90, killed, killed, killed, killed, killed, killed, RotateLeft90, RotateLeft90, RotateLeft90
killed, Shoot, killed, Shoot, killed, Shoot, Shoot, Shoot, DoNothing, killed, killed, Shoot, Shoot, killed, killed, killed, killed, killed, killed, Shoot, Shoot, Shoot
killed, RotateRight90 (killed), killed, RotateRight90 (killed), killed, RotateRight90 (killed), RotateRight90 (killed), RotateRight90 (killed), RotateRight45, killed, killed, RotateRight90 (killed), RotateRight90, killed, killed, killed, killed, killed, killed, RotateRight90 (killed), RotateRight90 (killed), RotateRight90
killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, killed, RotateLeft90
killed, killed, killed, killed, killed, killed, killed, killed, RotateRight45, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, killed, Shoot (ignored)
killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight90
killed, killed, killed, killed, killed, killed, killed, killed, RotateRight45, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, killed, RotateLeft90
killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed, Shoot, killed, killed, killed, killed, killed, killed, killed, killed, Shoot
killed, killed, killed, killed, killed, killed, killed, killed, RotateRight45, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight90
killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, killed, RotateLeft90
killed, killed, killed, killed, killed, killed, killed, killed, RotateRight45, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, killed, Shoot (ignored)
killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight90
killed, killed, killed, killed, killed, killed, killed, killed, RotateRight45, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, killed, RotateLeft90
killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed, Shoot, killed, killed, killed, killed, killed, killed, killed, killed, Shoot
killed, killed, killed, killed, killed, killed, killed, killed, RotateRight45, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight90 (killed)
killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, killed, killed, killed, RotateRight45, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, killed, killed, killed, RotateRight45, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed, Shoot, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, killed, killed, killed, RotateRight45, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, killed, killed, killed, RotateRight45, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, killed, killed, killed, RotateRight45, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed, Shoot, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, killed, killed, killed, RotateRight45, killed, killed, killed, RotateRight90 (killed), killed, killed, killed, killed, killed, killed, killed, killed, killed
Player 1 won with 1 tanks still alive
