Shoot, MoveForward, Shoot, MoveForward (ignored), MoveForward, MoveForward, Shoot, Shoot, Shoot, MoveForward, MoveForward, Shoot, MoveForward, Shoot, MoveForward, Shoot, MoveForward, Shoot, MoveForward, Shoot, MoveForward, MoveForward, MoveForward, Shoot, Shoot
Shoot (ignored), MoveForward, Shoot (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, Shoot (ignored), Shoot (ignored), killed, killed, Shoot (ignored), killed, Shoot (ignored), killed, Shoot (ignored), killed, Shoot (ignored), killed, killed, killed, MoveForward (ignored), MoveForward (ignored), Shoot (ignored), Shoot (ignored)
Shoot (ignored), MoveForward (killed), Shoot (ignored) (killed), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, Shoot (ignored), Shoot (ignored), killed, killed, Shoot (ignored), killed, Shoot (ignored), killed, Shoot (ignored), killed, Shoot (ignored), killed, killed, killed, MoveForward (ignored), MoveForward (ignored), Shoot (ignored), Shoot (ignored)
Shoot (ignored), killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, Shoot (ignored), Shoot (ignored), killed, killed, Shoot (ignored), killed, Shoot (ignored), killed, Shoot (ignored), killed, Shoot (ignored), killed, killed, killed, MoveForward (ignored), MoveForward (ignored), Shoot (ignored), Shoot (ignored)
Shoot (ignored), killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, Shoot (ignored), Shoot (ignored), killed, killed, Shoot (ignored), killed, Shoot (ignored), killed, Shoot (ignored), killed, Shoot (ignored), killed, killed, killed, MoveForward (ignored), MoveForward (ignored), Shoot (ignored), Shoot (ignored)
Shoot, killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, Shoot, Shoot, killed, killed, Shoot, killed, Shoot, killed, Shoot, killed, Shoot, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), Shoot, Shoot
Shoot (ignored), killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, Shoot (ignored), Shoot (ignored), killed, killed, Shoot (ignored), killed, Shoot (ignored), killed, Shoot (ignored), killed, Shoot (ignored), killed, killed, killed, MoveForward (ignored), MoveForward (ignored), Shoot (ignored), Shoot (ignored)
Shoot (ignored), killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, Shoot (ignored), Shoot (ignored), killed, killed, Shoot (ignored), killed, Shoot (ignored), killed, Shoot (ignored), killed, Shoot (ignored), killed, killed, killed, MoveForward (ignored), MoveForward (ignored), Shoot (ignored), Shoot (ignored)
Shoot (ignored), killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, Shoot (ignored), Shoot (ignored), killed, killed, Shoot (ignored), killed, Shoot (ignored), killed, Shoot (ignored), killed, Shoot (ignored), killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, Shoot (ignored)
Shoot (ignored), killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, Shoot (ignored), Shoot (ignored), killed, killed, Shoot (ignored), killed, Shoot (ignored), killed, Shoot (ignored), killed, Shoot (ignored), killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, Shoot (ignored)
Shoot, killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, Shoot, Shoot, killed, killed, Shoot, killed, Shoot, killed, Shoot, killed, Shoot, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, Shoot
Shoot (ignored), killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, Shoot (ignored), Shoot (ignored), killed, killed, Shoot (ignored), killed, Shoot (ignored), killed, Shoot (ignored), killed, Shoot (ignored), killed, killed, killed, MoveForward (ignored), MoveForward, killed, Shoot (ignored)
Shoot (ignored), killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, Shoot (ignored), Shoot (ignored) (killed), killed, killed, Shoot (ignored) (killed), killed, Shoot (ignored), killed, Shoot (ignored), killed, Shoot (ignored), killed, killed, killed, MoveForward (ignored), MoveForward, killed, Shoot (ignored)
Shoot (ignored), killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, Shoot (ignored), killed, killed, killed, killed, killed, Shoot (ignored), killed, Shoot (ignored), killed, Shoot (ignored), killed, killed, killed, MoveForward (ignored), MoveForward, killed, Shoot (ignored)
Shoot (ignored), killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, Shoot (ignored), killed, killed, killed, killed, killed, Shoot (ignored), killed, Shoot (ignored), killed, Shoot (ignored), killed, killed, killed, MoveForward (ignored), MoveForward, killed, Shoot (ignored)
Shoot, killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, Shoot, killed, killed, killed, killed, killed, Shoot, killed, Shoot, killed, Shoot, killed, killed, killed, MoveForward (ignored), MoveForward, killed, Shoot
Shoot (ignored), killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, Shoot (ignored), killed, killed, killed, killed, killed, Shoot (ignored), killed, Shoot (ignored), killed, Shoot (ignored), killed, killed, killed, MoveForward (ignored), MoveForward (killed), killed, Shoot (ignored)
Shoot (ignored), killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, Shoot (ignored), killed, killed, killed, killed, killed, Shoot (ignored), killed, Shoot (ignored) (killed), killed, Shoot (ignored), killed, killed, killed, MoveForward (ignored), killed, killed, Shoot (ignored)
Shoot (ignored), killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, Shoot (ignored), killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, Shoot (ignored), killed, killed, killed, MoveForward (ignored), killed, killed, Shoot (ignored)
Shoot (ignored), killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, Shoot (ignored), killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, Shoot (ignored), killed, killed, killed, MoveForward (ignored), killed, killed, Shoot (ignored)
Shoot, killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, Shoot, killed, killed, killed, killed, killed, Shoot, killed, killed, killed, Shoot, killed, killed, killed, MoveForward (ignored), killed, killed, Shoot
Shoot (ignored), killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, Shoot (ignored), killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, Shoot (ignored), killed, killed, killed, MoveForward (ignored), killed, killed, Shoot (ignored)
Shoot (ignored), killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, Shoot (ignored), killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, Shoot (ignored), killed, killed, killed, MoveForward (ignored), killed, killed, Shoot (ignored)
Shoot (ignored), killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, Shoot (ignored), killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, Shoot (ignored), killed, killed, killed, MoveForward (ignored), killed, killed, Shoot (ignored)
Shoot (ignored), killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, Shoot (ignored), killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, Shoot (ignored), killed, killed, killed, MoveForward (ignored), killed, killed, Shoot (ignored)
Shoot, killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, Shoot, killed, killed, killed, killed, killed, Shoot, killed, killed, killed, Shoot, killed, killed, killed, MoveForward (ignored), killed, killed, Shoot
Shoot (ignored), killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, Shoot (ignored), killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, Shoot (ignored), killed, killed, killed, MoveForward (ignored), killed, killed, Shoot (ignored)
Shoot (ignored), killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward, killed, Shoot (ignored), killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, Shoot (ignored) (killed), killed, killed, killed, MoveForward (ignored), killed, killed, Shoot (ignored) (killed)
Shoot (ignored), killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward, killed, Shoot (ignored), killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed
Shoot (ignored), killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward, killed, Shoot (ignored), killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed
Shoot, killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (killed), killed, Shoot, killed, killed, killed, killed, killed, Shoot, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed
Shoot (ignored), killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed
Shoot (ignored), killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed
Shoot (ignored), killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed
Shoot (ignored), killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed
Shoot, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, Shoot, killed, killed, killed, killed, killed, Shoot, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed
Shoot (ignored), killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed
Shoot (ignored), killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed
Shoot (ignored), killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed
Shoot (ignored), killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed
Shoot, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, Shoot, killed, killed, killed, killed, killed, Shoot, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed
Shoot (ignored), killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed
Shoot (ignored) (killed), killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, Shoot (ignored) (killed), killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed
killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed
killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed
killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, Shoot, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed
killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed
killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed
killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed
killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed
killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, Shoot, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed
killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed
killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed
killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed
killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed
killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, Shoot, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed
killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed
killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed
killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed
killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed
killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, Shoot, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed
killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed
killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed
killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed
killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed
killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, Shoot, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed
killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed
killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed
killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed
killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed
killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, Shoot, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed
killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed
killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed
killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed
killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed
killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, Shoot, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed
killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed
killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed
killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed
killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed
killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, Shoot, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed
killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed
killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed
killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed
killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed
killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, Shoot, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed
killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed
killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed
killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed
killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed
Tie, reached max steps = 100, player 1 has 1 tanks, player 2 has 3 tanks
