GetBattleInfo, MoveForward, GetBattleInfo, MoveForward (ignored), MoveForward, MoveForward, GetBattleInfo, GetBattleInfo, GetBattleInfo, MoveForward, MoveForward, GetBattleInfo, MoveForward, GetBattleInfo, MoveForward, GetBattleInfo, MoveForward, GetBattleInfo, MoveForward, GetBattleInfo, MoveForward, MoveForward, MoveForward, GetBattleInfo, GetBattleInfo
killed, MoveForward, GetBattleInfo, killed, MoveForward, killed, MoveForward, RotateRight90, killed, MoveForward, killed, RotateRight90, MoveForward (killed), GetBattleInfo, killed, killed, killed, killed, killed, MoveForward, killed, MoveForward, killed, RotateLeft90, RotateLeft90
killed, MoveForward, RotateRight90, killed, MoveForward, killed, MoveForward, MoveForward, killed, MoveForward, killed, RotateRight45, killed, RotateLeft90, killed, killed, killed, killed, killed, MoveForward, killed, MoveForward, killed, RotateLeft45, RotateLeft45
killed, RotateRight90, RotateRight90, killed, RotateRight90, killed, GetBattleInfo, RotateLeft45, killed, RotateRight90, killed, MoveForward, killed, MoveForward, killed, killed, killed, killed, killed, RotateRight45, killed, RotateRight90, killed, MoveForward, MoveForward
killed, MoveForward, MoveForward, killed, MoveForward (ignored), killed, MoveForward, GetBattleInfo, killed, MoveForward (ignored), killed, MoveForward, killed, RotateRight90, killed, killed, killed, killed, killed, MoveForward, killed, MoveForward, killed, RotateRight90, MoveForward
killed, MoveForward, MoveForward, killed, MoveForward (ignored), killed, MoveForward, RotateRight90, killed, MoveForward (ignored), killed, RotateRight45, killed, MoveForward, killed, killed, killed, killed, killed, MoveForward, killed, MoveForward (ignored), killed, Shoot, MoveForward
killed, RotateRight90, MoveForward, killed, RotateRight90, killed, RotateRight45, RotateRight45, killed, RotateRight90, killed, GetBattleInfo, killed, MoveForward, killed, killed, killed, killed, killed, RotateLeft45, killed, RotateRight90, killed, RotateLeft90, MoveForward
killed, MoveForward, RotateRight45, killed, MoveForward, killed, MoveForward, MoveForward, killed, MoveForward, killed, MoveForward, killed, MoveForward, killed, killed, killed, killed, killed, GetBattleInfo, killed, MoveForward, killed, GetBattleInfo, GetBattleInfo
killed, MoveForward, GetBattleInfo, killed, MoveForward, killed, MoveForward, RotateRight45, killed, MoveForward, killed, MoveForward, killed, RotateLeft45, killed, killed, killed, killed, killed, RotateRight90, killed, MoveForward, killed, MoveForward, RotateRight90
killed, RotateRight90, MoveForward (killed), killed, RotateRight90, killed, RotateRight45 (killed), MoveForward, killed, RotateRight90, killed, RotateLeft45, killed, GetBattleInfo, killed, killed, killed, killed, killed, MoveForward, killed, RotateRight90, killed, MoveForward, MoveForward (killed)
killed, MoveForward, killed, killed, MoveForward (ignored), killed, killed, MoveForward, killed, MoveForward (ignored), killed, MoveForward, killed, GetBattleInfo, killed, killed, killed, killed, killed, RotateRight90, killed, MoveForward, killed, MoveForward, killed
killed, MoveForward, killed, killed, MoveForward (ignored), killed, killed, GetBattleInfo, killed, MoveForward (ignored), killed, MoveForward, killed, MoveForward, killed, killed, killed, killed, killed, MoveForward, killed, MoveForward (ignored), killed, RotateRight90, killed
killed, RotateRight90, killed, killed, RotateRight90, killed, killed, RotateLeft45, killed, RotateRight90, killed, GetBattleInfo, killed, MoveForward, killed, killed, killed, killed, killed, MoveForward, killed, RotateRight90, killed, RotateRight45, killed
killed, MoveForward, killed, killed, MoveForward, killed, killed, MoveForward, killed, MoveForward, killed, RotateRight45, killed, RotateRight45, killed, killed, killed, killed, killed, GetBattleInfo, killed, MoveForward, killed, Shoot, killed
killed, MoveForward, killed, killed, MoveForward, killed, killed, MoveForward, killed, MoveForward, killed, Shoot, killed, GetBattleInfo, killed, killed, killed, killed, killed, MoveForward, killed, MoveForward, killed, RotateLeft45, killed
killed, RotateRight90, killed, killed, RotateRight90, killed, killed, GetBattleInfo, killed, RotateRight90, killed, RotateLeft45, killed, MoveForward, killed, killed, killed, killed, killed, MoveForward, killed, RotateRight90, killed, GetBattleInfo, killed
killed, MoveForward, killed, killed, MoveForward (ignored), killed, killed, RotateRight45, killed, killed, killed, GetBattleInfo, killed, MoveForward, killed, killed, killed, killed, killed, MoveForward, killed, MoveForward, killed, RotateLeft90, killed
killed, MoveForward, killed, killed, MoveForward (ignored), killed, killed, Shoot, killed, killed, killed, MoveForward, killed, RotateLeft45, killed, killed, killed, killed, killed, GetBattleInfo, killed, MoveForward (ignored), killed, MoveForward, killed
killed, RotateRight90, killed, killed, RotateRight90, killed, killed, MoveForward, killed, killed, killed, RotateLeft45, killed, GetBattleInfo, killed, killed, killed, killed, killed, RotateRight45, killed, RotateRight90, killed, RotateRight90, killed
killed, MoveForward, killed, killed, MoveForward, killed, killed, MoveForward, killed, killed, killed, MoveForward, killed, MoveForward, killed, killed, killed, killed, killed, Shoot, killed, MoveForward, killed, GetBattleInfo, killed
killed, MoveForward, killed, killed, MoveForward, killed, killed, GetBattleInfo, killed, killed, killed, MoveForward, killed, MoveForward, killed, killed, killed, killed, killed, MoveForward, killed, MoveForward, killed, MoveForward, killed
killed, RotateRight90, killed, killed, RotateRight90, killed, killed, RotateRight45, killed, killed, killed, GetBattleInfo, killed, MoveForward, killed, killed, killed, killed, killed, MoveForward, killed, RotateRight90, killed, killed, killed
killed, MoveForward, killed, killed, MoveForward (ignored), killed, killed, MoveForward, killed, killed, killed, RotateRight45, killed, RotateRight45, killed, killed, killed, killed, killed, GetBattleInfo, killed, MoveForward, killed, killed, killed
killed, MoveForward, killed, killed, MoveForward (ignored) (killed), killed, killed, MoveForward, killed, killed, killed, Shoot, killed, GetBattleInfo, killed, killed, killed, killed, killed, RotateLeft45, killed, MoveForward (ignored), killed, killed, killed
killed, RotateRight90, killed, killed, killed, killed, killed, RotateLeft45, killed, killed, killed, RotateLeft90, killed, MoveForward, killed, killed, killed, killed, killed, RotateRight45, killed, RotateRight90, killed, killed, killed
killed, MoveForward, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, GetBattleInfo, killed, RotateLeft90, killed, killed, killed, killed, killed, Shoot, killed, MoveForward, killed, killed, killed
killed, MoveForward, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, RotateRight45, killed, MoveForward, killed, killed, killed, killed, killed, GetBattleInfo, killed, MoveForward, killed, killed, killed
killed, RotateRight90, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, MoveForward (killed), killed, GetBattleInfo, killed, killed, killed, killed, killed, RotateRight45, killed, RotateRight90, killed, killed, killed
killed, MoveForward, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, RotateRight45, killed, killed, killed, killed, killed, MoveForward, killed, MoveForward, killed, killed, killed
killed, MoveForward, killed, killed, killed, killed, killed, RotateRight45, killed, killed, killed, killed, killed, Shoot, killed, killed, killed, killed, killed, MoveForward, killed, MoveForward (ignored), killed, killed, killed
killed, RotateRight90, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, GetBattleInfo, killed, RotateRight90, killed, killed, killed
killed, MoveForward, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, RotateLeft45, killed, MoveForward, killed, killed, killed
killed, MoveForward, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, RotateRight45, killed, killed, killed, killed, killed, GetBattleInfo, killed, MoveForward, killed, killed, killed
killed, RotateRight90, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, Shoot, killed, RotateRight90, killed, killed, killed
killed, MoveForward, killed, killed, killed, killed, killed, RotateLeft45, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, RotateLeft45, killed, MoveForward, killed, killed, killed
killed, MoveForward, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, GetBattleInfo, killed, MoveForward (ignored), killed, killed, killed
killed, RotateRight90, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, RotateRight45, killed, killed, killed, killed, killed, MoveForward, killed, RotateRight90, killed, killed, killed
killed, MoveForward, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, RotateRight90, killed, MoveForward, killed, killed, killed
killed, MoveForward, killed, killed, killed, killed, killed, RotateLeft45, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, GetBattleInfo, killed, MoveForward, killed, killed, killed
killed, RotateRight90, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, Shoot, killed, killed, killed, killed, killed, RotateRight45, killed, RotateRight90, killed, killed, killed
killed, MoveForward, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, MoveForward, killed, MoveForward, killed, killed, killed
killed, MoveForward, killed, killed, killed, killed, killed, Shoot, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, GetBattleInfo, killed, MoveForward (ignored), killed, killed, killed
killed, RotateRight90, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, killed, RotateLeft90, killed, RotateRight90, killed, killed, killed
killed, MoveForward, killed, killed, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, Shoot, killed, MoveForward, killed, killed, killed
killed, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, GetBattleInfo, killed, MoveForward, killed, killed, killed
killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, Shoot, killed, killed, killed, killed, killed, GetBattleInfo, killed, RotateRight90, killed, killed, killed
killed, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, RotateRight90, killed, MoveForward, killed, killed, killed
killed, killed, killed, killed, killed, killed, killed, RotateRight45, killed, killed, killed, killed, killed, RotateLeft45, killed, killed, killed, killed, killed, GetBattleInfo, killed, MoveForward (ignored), killed, killed, killed
killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, RotateRight45, killed, RotateRight90, killed, killed, killed
killed, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, MoveForward, killed, MoveForward, killed, killed, killed
killed, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, RotateRight45, killed, killed, killed, killed, killed, GetBattleInfo, killed, MoveForward, killed, killed, killed
killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, Shoot, killed, killed, killed, killed, killed, MoveForward, killed, RotateRight90, killed, killed, killed
killed, killed, killed, killed, killed, killed, killed, RotateRight45, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, RotateRight45 (killed), killed, MoveForward, killed, killed, killed
killed, killed, killed, killed, killed, killed, killed, Shoot, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed
killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed
killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed
killed, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed
killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed
killed, killed, killed, killed, killed, killed, killed, RotateLeft45, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed
killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed
killed, killed, killed, killed, killed, killed, killed, Shoot, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed
Player 1 won with 2 tanks still alive
