MoveForward, GetBattleInfo, GetBattleInfo, MoveForward, GetBattleInfo, MoveForward, GetBattleInfo, MoveForward, MoveForward, GetBattleInfo, GetBattleInfo, MoveForward, MoveForward, GetBattleInfo, MoveForward, GetBattleInfo, GetBattleInfo, MoveForward (ignored), MoveForward, GetBattleInfo, MoveForward, GetBattleInfo, MoveForward, GetBattleInfo, GetBattleInfo, MoveForward
MoveForward (ignored), DoNothing, killed, MoveForward (ignored), DoNothing, MoveForward (ignored), MoveForward, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, MoveForward, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), RotateLeft90, killed, GetBattleInfo, killed, MoveForward (ignored)
MoveForward (ignored), DoNothing, killed, MoveForward (ignored), DoNothing, MoveForward (ignored), MoveForward, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, RotateRight45, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), MoveForward, killed, RotateRight90, killed, MoveForward (ignored)
MoveForward (ignored), DoNothing, killed, MoveForward (ignored), Shoot, MoveForward (ignored), RotateLeft90, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, MoveForward, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), RotateLeft90, killed, RotateRight90, killed, MoveForward (ignored)
MoveForward (ignored), GetBattleInfo, killed, MoveForward (ignored), GetBattleInfo, MoveForward (ignored), GetBattleInfo, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, MoveForward, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), Shoot, killed, MoveForward, killed, MoveForward (ignored)
MoveForward (ignored), RotateLeft90, killed, MoveForward (ignored), RotateLeft90, MoveForward (ignored), RotateLeft45, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, MoveForward, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), MoveForward, killed, RotateLeft45, killed, MoveForward (ignored)
MoveForward (ignored), Shoot, killed, MoveForward (ignored), DoNothing (killed), MoveForward (ignored), MoveForward, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, MoveForward, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), DoNothing, killed, MoveForward, killed, MoveForward (ignored)
MoveForward (ignored), DoNothing, killed, MoveForward (ignored), killed, MoveForward (ignored), RotateLeft45, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, MoveForward, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), DoNothing, killed, RotateRight45, killed, MoveForward (ignored)
MoveForward (ignored), DoNothing, killed, MoveForward (ignored), killed, MoveForward (ignored), MoveForward, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, RotateLeft90, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), DoNothing, killed, Shoot, killed, MoveForward (ignored)
MoveForward (ignored), DoNothing, killed, MoveForward (ignored), killed, MoveForward (ignored), RotateRight45, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, GetBattleInfo, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), Shoot, killed, DoNothing, killed, MoveForward (ignored)
MoveForward (ignored), DoNothing, killed, MoveForward (ignored), killed, MoveForward (ignored), MoveForward, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, MoveForward, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), DoNothing, killed, DoNothing, killed, MoveForward (ignored)
MoveForward (ignored), Shoot, killed, MoveForward (ignored), killed, MoveForward (ignored), RotateLeft45, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, RotateRight90, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), DoNothing, killed, DoNothing, killed, MoveForward (ignored)
MoveForward (ignored), DoNothing, killed, MoveForward (ignored), killed, MoveForward (ignored), MoveForward, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, MoveForward, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), GetBattleInfo, killed, DoNothing, killed, MoveForward (ignored)
MoveForward (ignored), DoNothing, killed, MoveForward (ignored), killed, MoveForward (ignored), MoveForward, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, RotateLeft45, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), RotateLeft90, killed, GetBattleInfo, killed, MoveForward (ignored)
MoveForward (ignored), DoNothing, killed, MoveForward (ignored), killed, MoveForward (ignored), MoveForward, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, MoveForward, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), RotateLeft45, killed, RotateRight90, killed, MoveForward (ignored)
MoveForward (ignored), DoNothing, killed, MoveForward (ignored), killed, MoveForward (ignored), RotateRight45, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, MoveForward, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), Shoot, killed, RotateRight90 (killed), killed, MoveForward (ignored)
MoveForward (ignored), GetBattleInfo, killed, MoveForward (ignored), killed, MoveForward (ignored), GetBattleInfo, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, RotateLeft45, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), DoNothing, killed, killed, killed, MoveForward (ignored)
MoveForward (ignored), RotateRight90, killed, MoveForward (ignored), killed, MoveForward (ignored), MoveForward, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, Shoot, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), DoNothing, killed, killed, killed, MoveForward (ignored)
MoveForward (ignored), killed, killed, MoveForward (ignored), killed, MoveForward (ignored), RotateLeft45, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, MoveForward, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), DoNothing, killed, killed, killed, MoveForward (ignored)
MoveForward (ignored), killed, killed, MoveForward (ignored), killed, MoveForward (ignored), MoveForward, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, DoNothing, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), DoNothing, killed, killed, killed, MoveForward (ignored)
MoveForward (ignored), killed, killed, MoveForward (ignored), killed, MoveForward (ignored), RotateRight90, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, DoNothing, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), Shoot, killed, killed, killed, MoveForward (ignored)
MoveForward (ignored), killed, killed, MoveForward (ignored), killed, MoveForward (ignored), MoveForward, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, GetBattleInfo, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), DoNothing, killed, killed, killed, MoveForward (ignored)
MoveForward (ignored), killed, killed, MoveForward (ignored), killed, MoveForward (ignored), RotateLeft90, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, MoveForward, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), DoNothing, killed, killed, killed, MoveForward (ignored)
MoveForward (ignored), killed, killed, MoveForward (ignored), killed, MoveForward (ignored), MoveForward, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, MoveForward, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), DoNothing, killed, killed, killed, MoveForward (ignored)
MoveForward (ignored), killed, killed, MoveForward (ignored), killed, MoveForward (ignored), MoveForward, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, RotateLeft45, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), GetBattleInfo, killed, killed, killed, MoveForward (ignored)
MoveForward (ignored), killed, killed, MoveForward (ignored), killed, MoveForward (ignored), RotateRight90, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, MoveForward, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), RotateRight90, killed, killed, killed, MoveForward (ignored)
MoveForward (ignored), killed, killed, MoveForward (ignored), killed, MoveForward (ignored), Shoot, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, MoveForward, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), RotateRight45, killed, killed, killed, MoveForward (ignored)
MoveForward (ignored), killed, killed, MoveForward (ignored), killed, MoveForward (ignored), MoveForward, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, MoveForward, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), Shoot, killed, killed, killed, MoveForward (ignored)
MoveForward (ignored), killed, killed, MoveForward (ignored), killed, MoveForward (ignored), GetBattleInfo, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, MoveForward, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), MoveForward, killed, killed, killed, MoveForward (ignored)
MoveForward (ignored), killed, killed, MoveForward (ignored), killed, MoveForward (ignored), MoveForward, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, MoveForward, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), MoveForward, killed, killed, killed, MoveForward (ignored)
MoveForward (ignored), killed, killed, MoveForward (ignored), killed, MoveForward (ignored), MoveForward (killed), MoveForward (ignored), MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, MoveForward, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), MoveForward (killed), killed, killed, killed, MoveForward (ignored)
MoveForward (ignored), killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, RotateLeft45, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored)
MoveForward (ignored), killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, MoveForward, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored)
MoveForward (ignored), killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, GetBattleInfo, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored)
MoveForward (ignored), killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, Shoot, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored)
MoveForward (ignored), killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, DoNothing, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored)
MoveForward (ignored), killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, DoNothing, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored)
MoveForward (ignored), killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, DoNothing, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored)
MoveForward (ignored), killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, DoNothing, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored)
MoveForward (ignored), killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, Shoot, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored)
MoveForward (ignored), killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, DoNothing, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored)
MoveForward (ignored), killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, DoNothing, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored)
MoveForward (ignored), killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, DoNothing, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored)
MoveForward (ignored), killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, DoNothing, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored)
MoveForward (ignored), killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, Shoot, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored)
MoveForward (ignored), killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, GetBattleInfo, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored)
MoveForward (ignored), killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, DoNothing, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored)
MoveForward (ignored), killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, DoNothing, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored)
MoveForward (ignored), killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, DoNothing, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored)
MoveForward (ignored), killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, Shoot, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored)
MoveForward (ignored), killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, DoNothing, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored)
MoveForward (ignored), killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, DoNothing, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored)
MoveForward (ignored), killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, DoNothing, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored)
MoveForward (ignored), killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, DoNothing, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored)
MoveForward (ignored), killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, Shoot, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored)
MoveForward (ignored), killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, DoNothing, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored)
MoveForward (ignored), killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, DoNothing, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored)
MoveForward (ignored), killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, GetBattleInfo, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored)
MoveForward (ignored), killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, DoNothing, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored)
MoveForward (ignored), killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, Shoot, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored)
MoveForward (ignored), killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, DoNothing, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored)
MoveForward (ignored), killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, DoNothing, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored)
MoveForward (ignored), killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, DoNothing, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored)
MoveForward (ignored), killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, DoNothing, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored)
MoveForward (ignored), killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, Shoot, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored)
MoveForward (ignored), killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, DoNothing, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored)
MoveForward (ignored), killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, DoNothing, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored)
MoveForward (ignored), killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, DoNothing, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored)
MoveForward (ignored), killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, DoNothing, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored)
