GetBattleInfo, MoveForward, GetBattleInfo, MoveForward, GetBattleInfo, MoveForward, MoveForward, MoveForward, GetBattleInfo, GetBattleInfo, GetBattleInfo, MoveForward, MoveForward, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, MoveForward, MoveForward, MoveForward, MoveForward
killed, killed, killed, killed, killed, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed, killed, RotateRight90, MoveForward (ignored), GetBattleInfo, killed, killed, killed, MoveForward, killed, killed
killed, killed, killed, killed, killed, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed, killed, MoveForward, GetBattleInfo, MoveForward, killed, killed, killed, MoveForward, killed, killed
killed, killed, killed, killed, killed, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed, killed, GetBattleInfo, MoveForward (ignored), MoveForward (killed), killed, killed, killed, MoveForward (killed), killed, killed
killed, killed, killed, killed, killed, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed, killed, MoveForward, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed, killed, RotateRight45, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed, killed, GetBattleInfo, RotateRight90, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed, killed, RotateRight90, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed, killed, GetBattleInfo, RotateRight90, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed, killed, RotateRight45, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed, killed, GetBattleInfo, MoveForward, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed, killed, MoveForward, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed, killed, GetBattleInfo, RotateRight90, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed, killed, MoveForward, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed, killed, GetBattleInfo, RotateRight45, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed, killed, RotateLeft90, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed, killed, GetBattleInfo, RotateRight45, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed, killed, RotateLeft45, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed, killed, GetBattleInfo, MoveForward, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed, killed, Shoot, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed, killed, GetBattleInfo, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed, killed, RotateLeft45, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed, killed, GetBattleInfo, RotateRight45, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed, killed, MoveForward, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed, killed, GetBattleInfo, Shoot, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed, killed, MoveForward, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed, killed, GetBattleInfo, MoveForward, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed, killed, MoveForward, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed, killed, GetBattleInfo, RotateLeft45, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed, killed, MoveForward, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed, killed, GetBattleInfo, RotateRight90, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed, killed, MoveForward, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed, killed, GetBattleInfo, RotateRight90, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed, killed, MoveForward, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed, killed, GetBattleInfo, MoveForward, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed, killed, MoveForward, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed, killed, GetBattleInfo, MoveForward, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed, killed, MoveForward, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed, killed, GetBattleInfo, RotateRight45, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed, killed, MoveForward, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed, killed, GetBattleInfo, RotateRight90, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed, killed, RotateRight90, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed, killed, GetBattleInfo, MoveForward, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed, killed, RotateRight90, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed, killed, GetBattleInfo, RotateRight45, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed, killed, MoveForward, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed, killed, GetBattleInfo, MoveForward, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed, killed, MoveForward, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed, killed, GetBattleInfo, RotateRight45, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed, killed, MoveForward, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed, killed, GetBattleInfo, Shoot, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed, killed, RotateRight45, killed, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, MoveForward (killed), MoveForward, MoveForward, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, killed, MoveForward, MoveForward, killed, killed, killed, killed, killed, Shoot, killed, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, killed, MoveForward, MoveForward, killed, killed, killed, killed, killed, RotateLeft45, killed, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, killed, MoveForward, MoveForward, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, killed, MoveForward, MoveForward, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, killed, MoveForward, MoveForward, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, killed, MoveForward, MoveForward, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, killed, MoveForward, MoveForward, killed, killed, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, killed, MoveForward, MoveForward, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, killed, MoveForward, MoveForward, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, killed, MoveForward, MoveForward, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, killed, MoveForward, MoveForward, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, killed, MoveForward, MoveForward, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, killed, MoveForward, MoveForward, killed, killed, killed, killed, killed, Shoot, killed, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, killed, MoveForward, MoveForward, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, killed, MoveForward, MoveForward, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, killed, MoveForward, MoveForward, killed, killed, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, killed, MoveForward, MoveForward, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, killed, MoveForward, MoveForward, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, killed, MoveForward, MoveForward, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, killed, MoveForward, MoveForward, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, killed, killed, killed, MoveForward, MoveForward, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed
Tie, reached max steps = 100, player 1 has 1 tanks, player 2 has 2 tanks
