MoveForward (ignored), MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward
MoveForward, MoveForward (ignored), MoveForward, killed, killed, killed, MoveForward, killed, MoveForward, MoveForward (ignored), killed, killed, killed, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed
RotateRight90, MoveForward (ignored), MoveForward, killed, killed, killed, RotateRight90, killed, MoveForward, RotateRight90, killed, killed, killed, RotateRight90, RotateRight90, MoveForward, MoveForward, RotateRight90, killed, killed, killed, killed
MoveForward, MoveForward (ignored), MoveForward, killed, killed, killed, MoveForward, killed, MoveForward, MoveForward, killed, killed, killed, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed
MoveForward (ignored), MoveForward (ignored), MoveForward, killed, killed, killed, MoveForward, killed, MoveForward, MoveForward, killed, killed, killed, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed
RotateRight90, MoveForward (ignored), MoveForward, killed, killed, killed, RotateRight90, killed, MoveForward, RotateRight90, killed, killed, killed, RotateRight90, RotateRight90, MoveForward, MoveForward, RotateRight90, killed, killed, killed, killed
MoveForward, MoveForward (ignored), MoveForward, killed, killed, killed, MoveForward, killed, MoveForward, MoveForward, killed, killed, killed, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed
MoveForward, MoveForward (ignored), MoveForward, killed, killed, killed, MoveForward, killed, MoveForward, MoveForward (ignored), killed, killed, killed, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed
RotateRight90, MoveForward (ignored), MoveForward, killed, killed, killed, RotateRight90, killed, MoveForward, RotateRight90, killed, killed, killed, RotateRight90, RotateRight90, MoveForward, MoveForward, RotateRight90, killed, killed, killed, killed
MoveForward, MoveForward (ignored), MoveForward, killed, killed, killed, MoveForward, killed, MoveForward, MoveForward, killed, killed, killed, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed
MoveForward (ignored), MoveForward (ignored), MoveForward, killed, killed, killed, MoveForward, killed, MoveForward, MoveForward, killed, killed, killed, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed
RotateRight90, MoveForward (ignored), MoveForward, killed, killed, killed, RotateRight90, killed, MoveForward, RotateRight90, killed, killed, killed, RotateRight90, RotateRight90, MoveForward, MoveForward, RotateRight90, killed, killed, killed, killed
MoveForward, MoveForward (ignored), MoveForward, killed, killed, killed, MoveForward, killed, MoveForward, MoveForward, killed, killed, killed, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed
MoveForward, MoveForward (ignored), MoveForward, killed, killed, killed, MoveForward, killed, MoveForward, MoveForward (ignored), killed, killed, killed, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed
RotateRight90, MoveForward (ignored), MoveForward, killed, killed, killed, RotateRight90, killed, MoveForward, RotateRight90, killed, killed, killed, RotateRight90, RotateRight90, MoveForward, MoveForward, RotateRight90, killed, killed, killed, killed
MoveForward, MoveForward (ignored), MoveForward, killed, killed, killed, MoveForward, killed, MoveForward, MoveForward, killed, killed, killed, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed
MoveForward (ignored), MoveForward (ignored), MoveForward, killed, killed, killed, MoveForward, killed, MoveForward, MoveForward, killed, killed, killed, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed
RotateRight90, MoveForward (ignored), MoveForward, killed, killed, killed, RotateRight90, killed, MoveForward, RotateRight90, killed, killed, killed, RotateRight90, RotateRight90, MoveForward, MoveForward, RotateRight90, killed, killed, killed, killed
MoveForward, MoveForward (ignored), MoveForward, killed, killed, killed, MoveForward, killed, MoveForward, MoveForward, killed, killed, killed, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed
MoveForward, MoveForward (ignored), MoveForward, killed, killed, killed, MoveForward, killed, MoveForward, MoveForward (ignored), killed, killed, killed, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed
RotateRight90, MoveForward (ignored), MoveForward, killed, killed, killed, RotateRight90, killed, MoveForward, RotateRight90, killed, killed, killed, RotateRight90, RotateRight90, MoveForward, MoveForward, RotateRight90, killed, killed, killed, killed
MoveForward, MoveForward (ignored), MoveForward, killed, killed, killed, MoveForward, killed, MoveForward, MoveForward, killed, killed, killed, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed
MoveForward (ignored), MoveForward (ignored), MoveForward, killed, killed, killed, MoveForward, killed, MoveForward, MoveForward, killed, killed, killed, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed
RotateRight90, MoveForward (ignored), MoveForward, killed, killed, killed, RotateRight90, killed, MoveForward, RotateRight90, killed, killed, killed, RotateRight90, RotateRight90, MoveForward, MoveForward, RotateRight90, killed, killed, killed, killed
MoveForward, MoveForward (ignored), MoveForward, killed, killed, killed, MoveForward, killed, MoveForward, MoveForward, killed, killed, killed, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed
MoveForward, MoveForward (ignored), MoveForward, killed, killed, killed, MoveForward, killed, MoveForward, MoveForward (ignored), killed, killed, killed, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed
RotateRight90, MoveForward (ignored), MoveForward, killed, killed, killed, RotateRight90, killed, MoveForward, RotateRight90, killed, killed, killed, RotateRight90, RotateRight90, MoveForward (killed), MoveForward, RotateRight90 (killed), killed, killed, killed, killed
MoveForward, MoveForward (ignored), MoveForward, killed, killed, killed, MoveForward, killed, MoveForward, MoveForward, killed, killed, killed, MoveForward, MoveForward, killed, MoveForward, killed, killed, killed, killed, killed
MoveForward (ignored), MoveForward (ignored), MoveForward, killed, killed, killed, MoveForward, killed, MoveForward, MoveForward, killed, killed, killed, MoveForward, MoveForward, killed, MoveForward, killed, killed, killed, killed, killed
RotateRight90, MoveForward (ignored), MoveForward, killed, killed, killed, RotateRight90, killed, MoveForward, RotateRight90, killed, killed, killed, RotateRight90, RotateRight90, killed, MoveForward, killed, killed, killed, killed, killed
MoveForward, MoveForward (ignored), MoveForward, killed, killed, killed, MoveForward, killed, MoveForward, MoveForward, killed, killed, killed, MoveForward, MoveForward, killed, MoveForward, killed, killed, killed, killed, killed
MoveForward, MoveForward (ignored), MoveForward, killed, killed, killed, MoveForward, killed, MoveForward, MoveForward (ignored), killed, killed, killed, MoveForward, MoveForward, killed, MoveForward, killed, killed, killed, killed, killed
RotateRight90, MoveForward (ignored), MoveForward, killed, killed, killed, RotateRight90, killed, MoveForward, RotateRight90, killed, killed, killed, RotateRight90, RotateRight90, killed, MoveForward, killed, killed, killed, killed, killed
MoveForward, MoveForward (ignored), MoveForward, killed, killed, killed, MoveForward, killed, MoveForward, MoveForward, killed, killed, killed, MoveForward, MoveForward, killed, MoveForward, killed, killed, killed, killed, killed
MoveForward (ignored), MoveForward (ignored), MoveForward, killed, killed, killed, MoveForward, killed, MoveForward, MoveForward, killed, killed, killed, MoveForward, MoveForward, killed, MoveForward, killed, killed, killed, killed, killed
RotateRight90, MoveForward (ignored), MoveForward, killed, killed, killed, RotateRight90, killed, MoveForward, RotateRight90, killed, killed, killed, RotateRight90, RotateRight90, killed, MoveForward, killed, killed, killed, killed, killed
MoveForward, MoveForward (ignored), MoveForward, killed, killed, killed, MoveForward, killed, MoveForward, MoveForward, killed, killed, killed, MoveForward, MoveForward, killed, MoveForward, killed, killed, killed, killed, killed
MoveForward, MoveForward (ignored), MoveForward, killed, killed, killed, MoveForward, killed, MoveForward, MoveForward (ignored), killed, killed, killed, MoveForward, MoveForward, killed, MoveForward, killed, killed, killed, killed, killed
RotateRight90, MoveForward (ignored), MoveForward, killed, killed, killed, RotateRight90, killed, MoveForward, RotateRight90, killed, killed, killed, RotateRight90, RotateRight90, killed, MoveForward, killed, killed, killed, killed, killed
MoveForward, MoveForward (ignored), MoveForward, killed, killed, killed, MoveForward, killed, MoveForward, MoveForward, killed, killed, killed, MoveForward, MoveForward, killed, MoveForward, killed, killed, killed, killed, killed
MoveForward (ignored), MoveForward (ignored), MoveForward, killed, killed, killed, MoveForward, killed, MoveForward, MoveForward, killed, killed, killed, MoveForward, MoveForward, killed, MoveForward, killed, killed, killed, killed, killed
RotateRight90, MoveForward (ignored), MoveForward, killed, killed, killed, RotateRight90, killed, MoveForward, RotateRight90, killed, killed, killed, RotateRight90, RotateRight90, killed, MoveForward, killed, killed, killed, killed, killed
MoveForward, MoveForward (ignored), MoveForward, killed, killed, killed, MoveForward, killed, MoveForward, MoveForward, killed, killed, killed, MoveForward, MoveForward, killed, MoveForward, killed, killed, killed, killed, killed
MoveForward, MoveForward (ignored), MoveForward, killed, killed, killed, MoveForward, killed, MoveForward, MoveForward (ignored), killed, killed, killed, MoveForward, MoveForward, killed, MoveForward, killed, killed, killed, killed, killed
RotateRight90, MoveForward (ignored), MoveForward, killed, killed, killed, RotateRight90, killed, MoveForward (killed), RotateRight90 (killed), killed, killed, killed, RotateRight90, RotateRight90, killed, MoveForward, killed, killed, killed, killed, killed
MoveForward, MoveForward (ignored), MoveForward, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, MoveForward, MoveForward, killed, MoveForward, killed, killed, killed, killed, killed
MoveForward (ignored), MoveForward (ignored), MoveForward, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, MoveForward, MoveForward, killed, MoveForward, killed, killed, killed, killed, killed
RotateRight90, MoveForward (ignored), MoveForward, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, RotateRight90, RotateRight90, killed, MoveForward, killed, killed, killed, killed, killed
MoveForward, MoveForward (ignored), MoveForward, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, MoveForward, MoveForward, killed, MoveForward, killed, killed, killed, killed, killed
MoveForward, MoveForward (ignored), MoveForward, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, MoveForward, MoveForward, killed, MoveForward, killed, killed, killed, killed, killed
RotateRight90, MoveForward (ignored), MoveForward, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, RotateRight90, RotateRight90, killed, MoveForward, killed, killed, killed, killed, killed
MoveForward, MoveForward (ignored), MoveForward, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, MoveForward, MoveForward, killed, MoveForward, killed, killed, killed, killed, killed
MoveForward (ignored), MoveForward (ignored), MoveForward, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, MoveForward, MoveForward, killed, MoveForward, killed, killed, killed, killed, killed
RotateRight90, MoveForward (ignored), MoveForward, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, RotateRight90, RotateRight90, killed, MoveForward, killed, killed, killed, killed, killed
MoveForward, MoveForward (ignored), MoveForward, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, MoveForward, MoveForward, killed, MoveForward, killed, killed, killed, killed, killed
MoveForward, MoveForward (ignored), MoveForward, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, MoveForward, MoveForward, killed, MoveForward, killed, killed, killed, killed, killed
RotateRight90, MoveForward (ignored), MoveForward, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, RotateRight90, RotateRight90, killed, MoveForward, killed, killed, killed, killed, killed
MoveForward, MoveForward (ignored), MoveForward, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, MoveForward, MoveForward, killed, MoveForward, killed, killed, killed, killed, killed
MoveForward (ignored), MoveForward (ignored), MoveForward, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, MoveForward, MoveForward, killed, MoveForward, killed, killed, killed, killed, killed
RotateRight90, MoveForward (ignored), MoveForward, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, RotateRight90, RotateRight90, killed, MoveForward, killed, killed, killed, killed, killed
MoveForward, MoveForward (ignored), MoveForward, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, MoveForward, MoveForward, killed, MoveForward, killed, killed, killed, killed, killed
MoveForward, MoveForward (ignored), MoveForward, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, MoveForward, MoveForward, killed, MoveForward, killed, killed, killed, killed, killed
RotateRight90, MoveForward (ignored), MoveForward, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, RotateRight90, RotateRight90, killed, MoveForward, killed, killed, killed, killed, killed
MoveForward, MoveForward (ignored), MoveForward, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, MoveForward, MoveForward, killed, MoveForward, killed, killed, killed, killed, killed
MoveForward (ignored), MoveForward (ignored), MoveForward, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, MoveForward, MoveForward, killed, MoveForward, killed, killed, killed, killed, killed
RotateRight90, MoveForward (ignored), MoveForward, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, RotateRight90, RotateRight90, killed, MoveForward, killed, killed, killed, killed, killed
MoveForward, MoveForward (ignored), MoveForward, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, MoveForward, MoveForward, killed, MoveForward, killed, killed, killed, killed, killed
MoveForward, MoveForward (ignored), MoveForward, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, MoveForward, MoveForward, killed, MoveForward, killed, killed, killed, killed, killed
RotateRight90, MoveForward (ignored), MoveForward, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, RotateRight90, RotateRight90, killed, MoveForward, killed, killed, killed, killed, killed
MoveForward, MoveForward (ignored), MoveForward, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, MoveForward, MoveForward, killed, MoveForward, killed, killed, killed, killed, killed
MoveForward (ignored), MoveForward (ignored), MoveForward, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, MoveForward, MoveForward, killed, MoveForward, killed, killed, killed, killed, killed
RotateRight90, MoveForward (ignored), MoveForward, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, RotateRight90, RotateRight90, killed, MoveForward, killed, killed, killed, killed, killed
MoveForward, MoveForward (ignored), MoveForward, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, MoveForward, MoveForward, killed, MoveForward, killed, killed, killed, killed, killed
MoveForward, MoveForward (ignored), MoveForward, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, MoveForward, MoveForward, killed, MoveForward, killed, killed, killed, killed, killed
RotateRight90, MoveForward (ignored), MoveForward, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, RotateRight90, RotateRight90, killed, MoveForward, killed, killed, killed, killed, killed
MoveForward, MoveForward (ignored), MoveForward, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, MoveForward, MoveForward, killed, MoveForward, killed, killed, killed, killed, killed
MoveForward (ignored), MoveForward (ignored), MoveForward, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, MoveForward, MoveForward, killed, MoveForward, killed, killed, killed, killed, killed
RotateRight90, MoveForward (ignored), MoveForward, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, RotateRight90, RotateRight90, killed, MoveForward, killed, killed, killed, killed, killed
MoveForward, MoveForward (ignored), MoveForward, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, MoveForward, MoveForward, killed, MoveForward, killed, killed, killed, killed, killed
Tie, reached max steps = 100, player 1 has 4 tanks, player 2 has 3 tanks
