GetBattleInfo, DoNothing, GetBattleInfo, DoNothing, GetBattleInfo, DoNothing, GetBattleInfo, DoNothing, DoNothing, DoNothing, DoNothing, GetBattleInfo, GetBattleInfo, DoNothing, DoNothing, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, DoNothing, GetBattleInfo, DoNothing, DoNothing, GetBattleInfo, DoNothing
killed, killed, killed, RotateRight45, killed, RotateRight45, GetBattleInfo, killed, killed, RotateRight45, killed, killed, GetBattleInfo, killed, RotateRight45, GetBattleInfo, MoveForward, RotateRight45, Shoot, killed, Shoot, killed, killed, GetBattleInfo, killed
killed, killed, killed, DoNothing, killed, DoNothing, RotateRight90, killed, killed, DoNothing, killed, killed, MoveForward (ignored), killed, DoNothing, GetBattleInfo, RotateRight90, GetBattleInfo, GetBattleInfo, killed, GetBattleInfo, killed, killed, RotateRight90, killed
killed, killed, killed, RotateRight45, killed, RotateRight45, MoveForward (ignored), killed, killed, RotateRight45, killed, killed, RotateRight90, killed, RotateRight45, Shoot, MoveForward, Shoot, GetBattleInfo, killed, GetBattleInfo, killed, killed, GetBattleInfo, killed
killed, killed, killed, DoNothing, killed, DoNothing, MoveForward (ignored), killed, killed, DoNothing, killed, killed, MoveForward, killed, DoNothing, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, killed, GetBattleInfo, killed, killed, RotateRight90, killed
killed, killed, killed, RotateRight45, killed, RotateRight45, RotateRight45, killed, killed, RotateRight45, killed, killed, RotateRight45, killed, RotateRight45, GetBattleInfo, RotateRight90, MoveForward (ignored), GetBattleInfo, killed, GetBattleInfo, killed, killed, MoveForward, killed
killed, killed, killed, DoNothing, killed, DoNothing, MoveForward, killed, killed, DoNothing, killed, killed, MoveForward, killed, DoNothing, GetBattleInfo, GetBattleInfo, MoveForward (ignored), Shoot, killed, Shoot, killed, killed, RotateLeft45, killed
killed, killed, killed, RotateRight45, killed, RotateRight45, MoveForward (ignored), killed, killed, RotateRight45, killed, killed, MoveForward (ignored), killed, RotateRight45, GetBattleInfo, RotateLeft90, RotateLeft90, GetBattleInfo, killed, GetBattleInfo, killed, killed, MoveForward, killed
killed, killed, killed, DoNothing, killed, DoNothing, GetBattleInfo, killed, killed, DoNothing, killed, killed, MoveForward (ignored), killed, DoNothing, Shoot, RotateRight90, RotateRight90, GetBattleInfo, killed, GetBattleInfo, killed, killed, RotateRight45, killed
killed, killed, killed, RotateRight45, killed, RotateRight45, RotateRight90, killed, killed, RotateRight45, killed, killed, GetBattleInfo, killed, RotateRight45, GetBattleInfo, RotateRight90, Shoot, GetBattleInfo, killed, GetBattleInfo, killed, killed, MoveForward, killed
killed, killed, killed, DoNothing, killed, DoNothing, RotateRight45, killed, killed, DoNothing, killed, killed, RotateRight90, killed, DoNothing, GetBattleInfo, RotateLeft45, GetBattleInfo, GetBattleInfo, killed, GetBattleInfo, killed, killed, RotateRight45, killed
killed, killed, killed, RotateRight45, killed, RotateRight45, MoveForward (ignored), killed, killed, RotateRight45, killed, killed, MoveForward, killed, RotateRight45, GetBattleInfo, RotateRight90, GetBattleInfo, Shoot, killed, Shoot, killed, killed, GetBattleInfo, killed
killed, killed, killed, DoNothing, killed, DoNothing, RotateLeft90, killed, killed, DoNothing, killed, killed, RotateRight45, killed, DoNothing, GetBattleInfo, RotateLeft90, GetBattleInfo, GetBattleInfo, killed, GetBattleInfo, killed, killed, MoveForward, killed
killed, killed, killed, RotateRight45, killed, RotateRight45, RotateLeft45, killed, killed, RotateRight45, killed, killed, MoveForward (ignored), killed, RotateRight45, Shoot, RotateRight90, GetBattleInfo, GetBattleInfo, killed, GetBattleInfo, killed, killed, MoveForward, killed
killed, killed, killed, DoNothing, killed, DoNothing, MoveForward (ignored), killed, killed, DoNothing, killed, killed, RotateLeft90, killed, DoNothing, GetBattleInfo, GetBattleInfo, Shoot, GetBattleInfo, killed, GetBattleInfo, killed, killed, RotateLeft45, killed
killed, killed, killed, RotateRight45, killed, RotateRight45, RotateLeft45, killed, killed, RotateRight45, killed, killed, MoveForward (ignored), killed, RotateRight45, GetBattleInfo, RotateRight45, GetBattleInfo, GetBattleInfo, killed, GetBattleInfo, killed, killed, MoveForward, killed
killed, killed, killed, DoNothing, killed, DoNothing, GetBattleInfo, killed, killed, DoNothing, killed, killed, RotateRight45, killed, DoNothing, GetBattleInfo, RotateLeft90, GetBattleInfo, Shoot, killed, GetBattleInfo, killed, killed, MoveForward, killed
killed, killed, killed, RotateRight45, killed, RotateRight45, MoveForward (ignored), killed, killed, RotateRight45, killed, killed, GetBattleInfo, killed, RotateRight45, GetBattleInfo, RotateLeft45, GetBattleInfo, GetBattleInfo, killed, Shoot, killed, killed, MoveForward, killed
killed, killed, killed, DoNothing, killed, DoNothing, MoveForward (ignored), killed, killed, DoNothing, killed, killed, RotateRight90, killed, DoNothing, Shoot, RotateRight45, GetBattleInfo, GetBattleInfo, killed, GetBattleInfo, killed, killed, MoveForward, killed
killed, killed, killed, RotateRight45, killed, RotateRight45, RotateRight45, killed, killed, RotateRight45, killed, killed, RotateRight90, killed, RotateRight45, GetBattleInfo, RotateLeft45, Shoot, GetBattleInfo, killed, GetBattleInfo, killed, killed, GetBattleInfo, killed
killed, killed, killed, DoNothing, killed, DoNothing, MoveForward (ignored), killed, killed, DoNothing, killed, killed, RotateLeft45, killed, DoNothing, GetBattleInfo, RotateRight45, GetBattleInfo, GetBattleInfo, killed, GetBattleInfo, killed, killed, RotateLeft90, killed
killed, killed, killed, RotateRight45, killed, RotateRight45, MoveForward (ignored), killed, killed, RotateRight45, killed, killed, RotateRight90, killed, RotateRight45, GetBattleInfo, RotateLeft45, GetBattleInfo, GetBattleInfo, killed, GetBattleInfo, killed, killed, RotateLeft45, killed
killed, killed, killed, DoNothing, killed, DoNothing, MoveForward (ignored), killed, killed, DoNothing, killed, killed, MoveForward (ignored), killed, DoNothing, GetBattleInfo, GetBattleInfo, GetBattleInfo, Shoot, killed, Shoot, killed, killed, Shoot, killed
killed, killed, killed, RotateRight45, killed, RotateRight45, RotateLeft45, killed, killed, RotateRight45, killed, killed, MoveForward (ignored), killed, RotateRight45, Shoot, RotateRight45, GetBattleInfo, GetBattleInfo, killed, GetBattleInfo, killed, killed, RotateRight90, killed
killed, killed, killed, DoNothing, killed, DoNothing, GetBattleInfo, killed, killed, DoNothing, killed, killed, RotateRight45, killed, DoNothing, GetBattleInfo, RotateLeft45, Shoot, GetBattleInfo, killed, GetBattleInfo, killed, killed, RotateRight90, killed
killed, killed, killed, RotateRight45, killed, RotateRight45, RotateRight90, killed, killed, RotateRight45, killed, killed, GetBattleInfo, killed, RotateRight45, GetBattleInfo, RotateLeft45, GetBattleInfo, GetBattleInfo, killed, GetBattleInfo, killed, killed, MoveForward, killed
killed, killed, killed, DoNothing, killed, DoNothing, RotateRight90, killed, killed, DoNothing, killed, killed, RotateLeft90, killed, DoNothing, GetBattleInfo, RotateLeft90, GetBattleInfo, GetBattleInfo, killed, GetBattleInfo, killed, killed, RotateRight90, killed
killed, killed, killed, RotateRight45, killed, RotateRight45, MoveForward (ignored), killed, killed, RotateRight45, killed, killed, Shoot, killed, RotateRight45, GetBattleInfo, RotateRight90, GetBattleInfo, Shoot, killed, Shoot, killed, killed, GetBattleInfo, killed
killed, killed, killed, DoNothing, killed, DoNothing, RotateLeft90, killed, killed, DoNothing, killed, killed, RotateRight90, killed, DoNothing, GetBattleInfo, RotateLeft90, GetBattleInfo, GetBattleInfo, killed, GetBattleInfo, killed, killed, RotateRight90, killed
killed, killed, killed, RotateRight45, killed, RotateRight45, RotateLeft45, killed, killed, RotateRight45, killed, killed, RotateRight90, killed, RotateRight45, Shoot, RotateRight90, Shoot, GetBattleInfo, killed, GetBattleInfo, killed, killed, Shoot, killed
killed, killed, killed, DoNothing, killed, DoNothing, MoveForward (ignored), killed, killed, DoNothing (killed), killed, killed, MoveForward (killed), killed, DoNothing, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, killed, GetBattleInfo, killed, killed, RotateRight90, killed
killed, killed, killed, RotateRight45, killed, RotateRight45, RotateLeft45, killed, killed, killed, killed, killed, killed, killed, RotateRight45, GetBattleInfo, RotateRight90, GetBattleInfo, GetBattleInfo, killed, GetBattleInfo, killed, killed, RotateRight90, killed
killed, killed, killed, DoNothing, killed, DoNothing, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, DoNothing, RotateRight90, RotateLeft45, GetBattleInfo, Shoot, killed, Shoot, killed, killed, GetBattleInfo, killed
killed, killed, killed, RotateRight45, killed, RotateRight45, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, RotateRight45, RotateRight90, RotateRight45, GetBattleInfo, GetBattleInfo, killed, GetBattleInfo, killed, killed, GetBattleInfo, killed
killed, killed, killed, DoNothing, killed, DoNothing, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, DoNothing (killed), MoveForward (ignored), RotateLeft45, GetBattleInfo, GetBattleInfo, killed, GetBattleInfo, killed, killed, Shoot, killed
killed, killed, killed, RotateRight45, killed, RotateRight45, RotateRight45, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, RotateRight45, Shoot, GetBattleInfo, killed, GetBattleInfo, killed, killed, GetBattleInfo, killed
killed, killed, killed, DoNothing, killed, DoNothing, Shoot, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight90, Shoot, GetBattleInfo, RotateRight90, killed, RotateRight90, killed, killed, RotateRight90, killed
killed, killed, killed, RotateRight45, killed, RotateRight45, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, RotateRight45, GetBattleInfo, RotateRight90, GetBattleInfo, killed, RotateRight90, killed, killed, RotateRight90, killed
killed, killed, killed, DoNothing, killed, DoNothing, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, MoveForward, GetBattleInfo, RotateRight90, RotateRight90, killed, GetBattleInfo, killed, killed, MoveForward, killed
killed, killed, killed, RotateRight45, killed, RotateRight45, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward, GetBattleInfo, MoveForward (ignored), MoveForward, killed, MoveForward, killed, killed, RotateLeft45 (killed), killed
killed, killed, killed, DoNothing, killed, DoNothing, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward, GetBattleInfo, MoveForward (ignored), MoveForward, killed, MoveForward, killed, killed, killed, killed
killed, killed, killed, RotateRight45, killed, RotateRight45, RotateLeft45, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward, Shoot, GetBattleInfo, MoveForward (ignored), killed, MoveForward (ignored), killed, killed, killed, killed
killed, killed, killed, DoNothing, killed, DoNothing, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, GetBattleInfo, MoveForward (ignored), RotateRight45, killed, RotateRight45, killed, killed, killed, killed
killed, killed, killed, RotateRight45, killed, RotateRight45, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward, GetBattleInfo, RotateRight45, Shoot, killed, Shoot, killed, killed, killed, killed
killed, killed, killed, DoNothing, killed, DoNothing, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, RotateLeft45, GetBattleInfo, GetBattleInfo, GetBattleInfo, killed, MoveForward, killed, killed, killed, killed
killed, killed, killed, RotateRight45, killed, RotateRight45, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, GetBattleInfo, Shoot, MoveForward, killed, GetBattleInfo, killed, killed, killed, killed
killed, killed, killed, DoNothing, killed, DoNothing, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward, GetBattleInfo, GetBattleInfo, GetBattleInfo, killed, MoveForward (killed), killed, killed, killed, killed
killed, killed, killed, RotateRight45, killed, RotateRight45, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward, Shoot, MoveForward, MoveForward, killed, killed, killed, killed, killed, killed
killed, killed, killed, DoNothing, killed, DoNothing, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight45, GetBattleInfo, MoveForward, Shoot, killed, killed, killed, killed, killed, killed
killed, killed, killed, RotateRight45, killed, RotateRight45, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, Shoot, GetBattleInfo, RotateLeft45, RotateLeft45, killed, killed, killed, killed, killed, killed
killed, killed, killed, DoNothing, killed, DoNothing, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward, GetBattleInfo, MoveForward (ignored), MoveForward, killed, killed, killed, killed, killed, killed
killed, killed, killed, RotateRight45, killed, RotateRight45, RotateLeft45, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, GetBattleInfo, MoveForward (ignored), MoveForward, killed, killed, killed, killed, killed, killed
killed, killed, killed, DoNothing, killed, DoNothing, Shoot, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, Shoot, GetBattleInfo, GetBattleInfo, killed, killed, killed, killed, killed, killed
killed, killed, killed, RotateRight45, killed, RotateRight45, RotateRight45, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, GetBattleInfo, RotateLeft90, RotateLeft90, killed, killed, killed, killed, killed, killed
killed, killed, killed, DoNothing, killed, DoNothing, RotateLeft45, killed, killed, killed, killed, killed, killed, killed, killed, Shoot, GetBattleInfo, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed
killed, killed, killed, RotateRight45, killed, RotateRight45, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, GetBattleInfo, RotateRight90, RotateRight90, killed, killed, killed, killed, killed, killed
killed, killed, killed, DoNothing, killed, DoNothing, RotateRight45, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, GetBattleInfo, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, RotateRight45, killed, RotateRight45, RotateLeft45, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, Shoot, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed
Tie, reached max steps = 100, player 1 has 4 tanks, player 2 has 2 tanks
