MoveForward (ignored), GetBattleInfo, GetBattleInfo, MoveForward, GetBattleInfo, MoveForward, MoveForward, GetBattleInfo, GetBattleInfo, MoveForward, MoveForward, GetBattleInfo, GetBattleInfo, MoveForward, MoveForward, GetBattleInfo, GetBattleInfo, MoveForward, MoveForward, GetBattleInfo, GetBattleInfo, MoveForward
killed, MoveForward, DoNothing, MoveForward (ignored), killed, killed, MoveForward, MoveForward, RotateLeft45, MoveForward, killed, killed, MoveForward, killed, MoveForward, MoveForward, RotateLeft90, MoveForward, MoveForward, DoNothing, RotateRight90, MoveForward
killed, GetBattleInfo, GetBattleInfo, MoveForward (ignored), killed, killed, MoveForward, GetBattleInfo, GetBattleInfo, MoveForward, killed, killed, GetBattleInfo, killed, MoveForward, GetBattleInfo, GetBattleInfo, MoveForward, MoveForward, GetBattleInfo, GetBattleInfo, MoveForward
killed, MoveForward, Shoot, MoveForward (ignored) (killed), killed, killed, MoveForward, MoveForward, Shoot (killed), MoveForward (killed), killed, killed, MoveForward, killed, MoveForward, RotateRight90, MoveForward, MoveForward, MoveForward, MoveForward, Shoot, MoveForward
killed, RotateRight45, DoNothing, killed, killed, killed, MoveForward, RotateLeft90, killed, killed, killed, killed, killed, killed, MoveForward, MoveForward, MoveForward (killed), MoveForward (killed), MoveForward, MoveForward, DoNothing, MoveForward
killed, GetBattleInfo, GetBattleInfo, killed, killed, killed, MoveForward, GetBattleInfo, killed, killed, killed, killed, killed, killed, MoveForward, GetBattleInfo, killed, killed, MoveForward, GetBattleInfo, GetBattleInfo, MoveForward
killed, RotateLeft90, MoveForward, killed, killed, killed, MoveForward, MoveForward, killed, killed, killed, killed, killed, killed, MoveForward, RotateRight90, killed, killed, MoveForward, RotateLeft45, MoveForward, MoveForward
killed, RotateLeft90, MoveForward, killed, killed, killed, MoveForward, MoveForward, killed, killed, killed, killed, killed, killed, MoveForward, Shoot, killed, killed, MoveForward, RotateLeft90, MoveForward, MoveForward
killed, GetBattleInfo, GetBattleInfo, killed, killed, killed, MoveForward (killed), GetBattleInfo, killed, killed, killed, killed, killed, killed, MoveForward, GetBattleInfo, killed, killed, MoveForward, GetBattleInfo, GetBattleInfo, MoveForward
killed, MoveForward, RotateLeft90, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, MoveForward, MoveForward, RotateLeft90, MoveForward
killed, RotateLeft90, MoveForward, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, MoveForward, MoveForward (killed), RotateLeft90, MoveForward
killed, GetBattleInfo, GetBattleInfo, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, MoveForward, killed, GetBattleInfo, MoveForward
killed, MoveForward, RotateRight90, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, MoveForward, killed, MoveForward, MoveForward
killed, RotateLeft45, Shoot, killed, killed, killed, killed, RotateLeft45, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, MoveForward, killed, RotateRight45, MoveForward
killed, GetBattleInfo, GetBattleInfo, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, MoveForward (killed), killed, GetBattleInfo (killed), MoveForward
killed, RotateRight90, RotateRight45, killed, killed, killed, killed, RotateRight45, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, MoveForward
killed, MoveForward, DoNothing, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, MoveForward
killed, GetBattleInfo, GetBattleInfo, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, MoveForward
killed, MoveForward, RotateLeft45, killed, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, MoveForward
killed, RotateRight45, Shoot, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, MoveForward
killed, GetBattleInfo, GetBattleInfo, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, MoveForward
killed, Shoot, MoveForward, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, MoveForward
killed, DoNothing, MoveForward, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, MoveForward (killed)
killed, GetBattleInfo, GetBattleInfo, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed
killed, RotateLeft90, MoveForward, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed
killed, DoNothing, DoNothing, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed
killed, GetBattleInfo, GetBattleInfo, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed
killed, MoveForward, RotateRight90, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed
killed, RotateRight90, Shoot, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed
killed, GetBattleInfo, GetBattleInfo, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed
killed, RotateLeft45, MoveForward, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed
killed, MoveForward, RotateLeft90, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed
killed, GetBattleInfo, GetBattleInfo, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed
killed, RotateLeft45, RotateLeft45, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed
killed, Shoot, MoveForward, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed
killed, GetBattleInfo, GetBattleInfo, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed
killed, MoveForward, MoveForward, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed
killed, MoveForward, MoveForward, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed
killed, GetBattleInfo, GetBattleInfo, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, MoveForward (killed), killed, killed, killed, killed, killed, killed, killed
Player 2 won with 3 tanks still alive
