MoveForward (ignored), RotateRight90, MoveForward, RotateRight90, RotateRight90, RotateRight90, MoveForward, MoveForward, MoveForward, RotateRight90, RotateRight90, MoveForward, RotateRight90, MoveForward, RotateRight90, MoveForward, RotateRight90, MoveForward, RotateRight90, MoveForward, RotateRight90, RotateRight90, RotateRight90, MoveForward, MoveForward
MoveForward (ignored), Shoot (ignored), MoveForward (ignored), Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, killed, killed, Shoot (ignored) (killed), killed, killed, Shoot (ignored), MoveForward (ignored), killed, killed, Shoot (ignored), killed, Shoot (ignored), MoveForward (ignored), killed, Shoot (ignored), Shoot (ignored), MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), RotateRight90, MoveForward, RotateRight90, RotateRight90, RotateRight90, killed, killed, killed, killed, killed, killed, RotateRight90, MoveForward (ignored), killed, killed, RotateRight90, killed, RotateRight90, MoveForward, killed, RotateRight90, RotateRight90, MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), RotateLeft90, MoveForward, RotateLeft90, RotateLeft90, RotateLeft90, killed, killed, killed, killed, killed, killed, RotateLeft90, MoveForward (ignored), killed, killed, RotateLeft90, killed, RotateLeft90, MoveForward, killed, RotateLeft90, RotateLeft90, MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), Shoot, MoveForward, Shoot, Shoot, Shoot, killed, killed, killed, killed, killed, killed, Shoot, MoveForward (ignored), killed, killed, Shoot, killed, Shoot, MoveForward, killed, Shoot, Shoot, MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), RotateRight90, MoveForward, RotateRight90, RotateRight90, RotateRight90, killed, killed, killed, killed, killed, killed, RotateRight90, MoveForward (ignored), killed, killed, RotateRight90, killed, RotateRight90, MoveForward, killed, RotateRight90, RotateRight90, MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), RotateLeft90, MoveForward (killed), RotateLeft90, RotateLeft90, RotateLeft90, killed, killed, killed, killed, killed, killed, RotateLeft90, MoveForward (ignored), killed, killed, RotateLeft90, killed, RotateLeft90, MoveForward (killed), killed, RotateLeft90, RotateLeft90, MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, killed, killed, killed, killed, killed, Shoot (ignored), MoveForward (ignored), killed, killed, Shoot (ignored), killed, Shoot (ignored), killed, killed, Shoot (ignored), Shoot (ignored), MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), RotateRight90, killed, RotateRight90, RotateRight90, RotateRight90, killed, killed, killed, killed, killed, killed, RotateRight90, MoveForward (ignored), killed, killed, RotateRight90, killed, RotateRight90, killed, killed, RotateRight90, RotateRight90, MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), RotateLeft90, killed, RotateLeft90, RotateLeft90, RotateLeft90, killed, killed, killed, killed, killed, killed, RotateLeft90 (killed), MoveForward (ignored), killed, killed, RotateLeft90, killed, RotateLeft90, killed, killed, RotateLeft90, RotateLeft90, MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), Shoot, killed, Shoot, Shoot, Shoot, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, Shoot, killed, Shoot, killed, killed, Shoot, Shoot, MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), RotateRight90, killed, RotateRight90, RotateRight90, RotateRight90, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, RotateRight90, killed, RotateRight90, killed, killed, RotateRight90, RotateRight90, MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), RotateLeft90, killed, RotateLeft90, RotateLeft90, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, RotateLeft90, killed, RotateLeft90, killed, killed, RotateLeft90, RotateLeft90, MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, Shoot (ignored), killed, Shoot (ignored), killed, killed, Shoot (ignored), Shoot (ignored), MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), RotateRight90, killed, RotateRight90, RotateRight90, RotateRight90, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, RotateRight90, killed, RotateRight90, killed, killed, RotateRight90, RotateRight90, MoveForward, MoveForward (ignored)
MoveForward (ignored), RotateLeft90, killed, RotateLeft90, RotateLeft90, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, RotateLeft90 (killed), killed, RotateLeft90, killed, killed, RotateLeft90, RotateLeft90, MoveForward, MoveForward (ignored)
MoveForward (ignored), Shoot, killed, Shoot, Shoot, Shoot, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, Shoot, killed, killed, Shoot, Shoot, MoveForward, MoveForward (ignored)
MoveForward (ignored), RotateRight90, killed, RotateRight90, RotateRight90, RotateRight90, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, RotateRight90, killed, killed, RotateRight90, RotateRight90, MoveForward, MoveForward (ignored)
MoveForward (ignored), RotateLeft90, killed, RotateLeft90, RotateLeft90, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, RotateLeft90, killed, killed, RotateLeft90, RotateLeft90, MoveForward (killed), MoveForward (ignored)
MoveForward (ignored), Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, Shoot (ignored), killed, killed, Shoot (ignored), Shoot (ignored), killed, MoveForward (ignored)
MoveForward (ignored), RotateRight90, killed, RotateRight90, RotateRight90, RotateRight90, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, RotateRight90, killed, killed, RotateRight90, RotateRight90, killed, MoveForward (ignored)
MoveForward (ignored), RotateLeft90, killed, RotateLeft90, RotateLeft90, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, RotateLeft90, killed, killed, RotateLeft90, RotateLeft90, killed, MoveForward (ignored)
MoveForward (ignored), Shoot, killed, Shoot, Shoot, Shoot, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, Shoot, killed, killed, Shoot, Shoot, killed, MoveForward (ignored)
MoveForward (ignored), RotateRight90, killed, RotateRight90, RotateRight90, RotateRight90, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, RotateRight90, killed, killed, RotateRight90, RotateRight90, killed, MoveForward (ignored)
MoveForward (ignored), RotateLeft90, killed, RotateLeft90, RotateLeft90, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, RotateLeft90, killed, killed, RotateLeft90, RotateLeft90, killed, MoveForward (ignored)
MoveForward (ignored), Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, Shoot (ignored), killed, killed, Shoot (ignored), Shoot (ignored), killed, MoveForward (ignored)
MoveForward, RotateRight90, killed, RotateRight90, RotateRight90, RotateRight90, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, RotateRight90, killed, killed, RotateRight90, RotateRight90, killed, MoveForward (ignored)
MoveForward, RotateLeft90, killed, RotateLeft90, RotateLeft90, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, RotateLeft90, killed, killed, RotateLeft90, RotateLeft90, killed, MoveForward (ignored)
MoveForward, Shoot, killed, Shoot, Shoot, Shoot, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, Shoot, killed, killed, Shoot, Shoot, killed, MoveForward (ignored)
MoveForward, RotateRight90, killed, RotateRight90, RotateRight90, RotateRight90, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, RotateRight90, killed, killed, RotateRight90, RotateRight90, killed, MoveForward (ignored)
MoveForward (killed), RotateLeft90, killed, RotateLeft90, RotateLeft90, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, RotateLeft90, killed, killed, RotateLeft90, RotateLeft90, killed, MoveForward (ignored)
killed, Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, Shoot (ignored), killed, killed, Shoot (ignored), Shoot (ignored), killed, MoveForward (ignored)
killed, RotateRight90, killed, RotateRight90, RotateRight90, RotateRight90, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, RotateRight90, killed, killed, RotateRight90, RotateRight90, killed, MoveForward (ignored)
killed, RotateLeft90, killed, RotateLeft90, RotateLeft90, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, RotateLeft90 (killed), killed, killed, RotateLeft90, RotateLeft90, killed, MoveForward (ignored)
killed, Shoot, killed, Shoot, Shoot, Shoot, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, Shoot, Shoot, killed, MoveForward (ignored)
killed, RotateRight90, killed, RotateRight90, RotateRight90, RotateRight90, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, RotateRight90, RotateRight90, killed, MoveForward (ignored)
killed, RotateLeft90, killed, RotateLeft90, RotateLeft90, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, RotateLeft90, RotateLeft90, killed, MoveForward (ignored)
killed, Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), Shoot (ignored), killed, MoveForward (ignored)
killed, RotateRight90, killed, RotateRight90, RotateRight90, RotateRight90, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, RotateRight90, RotateRight90, killed, MoveForward (ignored)
killed, RotateLeft90, killed, RotateLeft90, RotateLeft90, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, RotateLeft90, RotateLeft90, killed, MoveForward (ignored)
killed, Shoot, killed, Shoot, Shoot, Shoot, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, Shoot, Shoot, killed, MoveForward
killed, RotateRight90, killed, RotateRight90, RotateRight90, RotateRight90, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, RotateRight90, RotateRight90, killed, MoveForward
killed, RotateLeft90, killed, RotateLeft90, RotateLeft90, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, RotateLeft90, RotateLeft90, killed, MoveForward
killed, Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), Shoot (ignored), killed, MoveForward
killed, RotateRight90, killed, RotateRight90, RotateRight90, RotateRight90, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, RotateRight90, RotateRight90, killed, MoveForward (killed)
killed, RotateLeft90, killed, RotateLeft90, RotateLeft90 (killed), RotateLeft90 (killed), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, RotateLeft90 (killed), RotateLeft90, killed, killed
killed, Shoot, killed, Shoot, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, Shoot, killed, killed
killed, RotateRight90, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed
killed, RotateLeft90, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, RotateLeft90, killed, killed
killed, Shoot (ignored), killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed
killed, RotateRight90, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed
killed, RotateLeft90, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, RotateLeft90, killed, killed
killed, Shoot, killed, Shoot, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, Shoot, killed, killed
killed, RotateRight90, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed
killed, RotateLeft90, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, RotateLeft90, killed, killed
killed, Shoot (ignored), killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed
killed, RotateRight90, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed
killed, RotateLeft90, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, RotateLeft90 (killed), killed, killed
killed, Shoot, killed, Shoot, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, RotateRight90, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, RotateLeft90, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, Shoot (ignored), killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, RotateRight90, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, RotateLeft90, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, Shoot, killed, Shoot, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, RotateRight90, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, RotateLeft90, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, Shoot (ignored), killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, RotateRight90, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, RotateLeft90 (killed), killed, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, Shoot, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, Shoot, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, Shoot, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, Shoot, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
Tie, reached max steps = 100, player 1 has 1 tanks, player 2 has 1 tanks
