GetBattleInfo, MoveForward, GetBattleInfo, MoveForward (ignored), MoveForward, MoveForward, GetBattleInfo, GetBattleInfo, GetBattleInfo, MoveForward, MoveForward, GetBattleInfo, MoveForward, GetBattleInfo, MoveForward, GetBattleInfo, MoveForward, GetBattleInfo, MoveForward, GetBattleInfo, MoveForward, MoveForward, MoveForward, GetBattleInfo, GetBattleInfo
RotateLeft90, RotateRight90, killed, RotateRight90, RotateRight90, RotateRight90, RotateLeft45, killed, killed, RotateRight90, killed, RotateLeft45, RotateRight90, RotateRight90, RotateRight90, GetBattleInfo, killed, GetBattleInfo, RotateRight90, RotateRight45, killed, RotateRight90, RotateRight90, GetBattleInfo, RotateLeft90
RotateLeft45 (killed), MoveForward, killed, MoveForward, MoveForward, MoveForward (killed), Shoot, killed, killed, MoveForward, killed, MoveForward, MoveForward (killed), GetBattleInfo, MoveForward, GetBattleInfo, killed, RotateLeft90, MoveForward, MoveForward (ignored), killed, MoveForward, MoveForward, RotateRight90, GetBattleInfo
killed, MoveForward, killed, MoveForward, MoveForward, killed, RotateLeft45, killed, killed, MoveForward, killed, RotateRight45, killed, MoveForward (ignored), MoveForward, MoveForward, killed, GetBattleInfo, MoveForward, RotateLeft45, killed, MoveForward, MoveForward, GetBattleInfo, RotateLeft45
killed, RotateRight90, killed, RotateRight90, RotateRight90, killed, GetBattleInfo, killed, killed, RotateRight90, killed, MoveForward, killed, MoveForward (ignored), RotateRight90, MoveForward (killed), killed, RotateLeft45, RotateRight90 (killed), MoveForward, killed, RotateRight90, RotateRight90, RotateRight90, MoveForward
killed, MoveForward, killed, MoveForward, MoveForward (ignored), killed, RotateRight90, killed, killed, killed, killed, RotateLeft45, killed, MoveForward (ignored) (killed), MoveForward (ignored), killed, killed, MoveForward, killed, MoveForward, killed, MoveForward, MoveForward, Shoot, MoveForward
killed, MoveForward (killed), killed, MoveForward, MoveForward (ignored), killed, RotateRight45, killed, killed, killed, killed, MoveForward, killed, killed, MoveForward (ignored), killed, killed, MoveForward, killed, RotateLeft90, killed, MoveForward (ignored), MoveForward, RotateLeft90, MoveForward
killed, killed, killed, RotateRight90, RotateRight90, killed, MoveForward, killed, killed, killed, killed, GetBattleInfo, killed, killed, RotateRight90, killed, killed, RotateRight90, killed, MoveForward (ignored), killed, RotateRight90, RotateRight90, RotateRight90, RotateLeft90
killed, killed, killed, MoveForward, MoveForward, killed, RotateLeft45, killed, killed, killed, killed, GetBattleInfo, killed, killed, MoveForward, killed, killed, RotateRight90, killed, GetBattleInfo, killed, MoveForward, MoveForward, GetBattleInfo, GetBattleInfo
killed, killed, killed, MoveForward, MoveForward, killed, MoveForward (ignored), killed, killed, killed, killed, GetBattleInfo, killed, killed, MoveForward, killed, killed, GetBattleInfo, killed, GetBattleInfo, killed, MoveForward, MoveForward, RotateLeft45, Shoot
killed, killed, killed, RotateRight90, RotateRight90, killed, RotateRight45, killed, killed, killed, killed, Shoot, killed, killed, RotateRight90, killed, killed, RotateRight90, killed, RotateLeft90, killed, RotateRight90, RotateRight90, GetBattleInfo, MoveForward
killed, killed, killed, MoveForward, MoveForward (ignored), killed, GetBattleInfo, killed, killed, killed, killed, RotateLeft90, killed, killed, MoveForward (ignored), killed, killed, MoveForward, killed, MoveForward, killed, MoveForward, MoveForward, RotateLeft90, GetBattleInfo
killed, killed, killed, MoveForward, MoveForward (ignored), killed, Shoot, killed, killed, killed, killed, GetBattleInfo, killed, killed, MoveForward (ignored), killed, killed, GetBattleInfo, killed, RotateRight45, killed, MoveForward (ignored), MoveForward, Shoot, RotateLeft90
killed, killed, killed, RotateRight90 (killed), RotateRight90, killed, RotateLeft45, killed, killed, killed, killed, RotateLeft45, killed, killed, RotateRight90, killed, killed, Shoot, killed, GetBattleInfo, killed, RotateRight90, RotateRight90, RotateLeft90, MoveForward
killed, killed, killed, killed, MoveForward, killed, GetBattleInfo, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward, killed, killed, RotateLeft90, killed, RotateRight45, killed, MoveForward, MoveForward, RotateRight90, RotateRight90
killed, killed, killed, killed, MoveForward, killed, MoveForward (ignored), killed, killed, killed, killed, RotateRight90, killed, killed, MoveForward, killed, killed, RotateRight90, killed, MoveForward, killed, MoveForward, MoveForward, GetBattleInfo, RotateRight90
killed, killed, killed, killed, RotateRight90, killed, RotateRight45, killed, killed, killed, killed, MoveForward (ignored), killed, killed, RotateRight90, killed, killed, GetBattleInfo, killed, MoveForward (ignored), killed, RotateRight90, RotateRight90, GetBattleInfo, MoveForward
killed, killed, killed, killed, MoveForward (ignored), killed, MoveForward, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, RotateRight90, killed, MoveForward (ignored), killed, MoveForward, MoveForward, RotateRight90, GetBattleInfo
killed, killed, killed, killed, MoveForward (ignored), killed, RotateRight45, killed, killed, killed, killed, GetBattleInfo, killed, killed, MoveForward (ignored), killed, killed, GetBattleInfo, killed, RotateRight45, killed, MoveForward (ignored), MoveForward, RotateRight45, RotateRight45
killed, killed, killed, killed, RotateRight90, killed, MoveForward, killed, killed, killed, killed, RotateLeft90, killed, killed, RotateRight90, killed, killed, MoveForward, killed, GetBattleInfo, killed, RotateRight90, RotateRight90, Shoot, MoveForward
killed, killed, killed, killed, MoveForward, killed, GetBattleInfo, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward, killed, killed, RotateRight90, killed, MoveForward, killed, MoveForward, MoveForward, RotateLeft90, RotateRight45
killed, killed, killed, killed, MoveForward, killed, RotateLeft45, killed, killed, killed, killed, RotateRight45, killed, killed, MoveForward, killed, killed, MoveForward, killed, RotateLeft45, killed, MoveForward, MoveForward, RotateRight90, MoveForward
killed, killed, killed, killed, RotateRight90, killed, Shoot, killed, killed, killed, killed, MoveForward (ignored), killed, killed, RotateRight90, killed, killed, MoveForward (killed), killed, MoveForward (ignored), killed, RotateRight90, RotateRight90, GetBattleInfo, RotateLeft90 (killed)
killed, killed, killed, killed, MoveForward (ignored), killed, RotateRight90, killed, killed, killed, killed, RotateRight45, killed, killed, MoveForward (ignored), killed, killed, killed, killed, RotateRight90, killed, MoveForward, MoveForward, RotateLeft90, killed
killed, killed, killed, killed, MoveForward (ignored), killed, RotateRight90, killed, killed, killed, killed, GetBattleInfo, killed, killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored), killed, MoveForward (ignored), MoveForward, RotateLeft45, killed
killed, killed, killed, killed, RotateRight90, killed, MoveForward (ignored), killed, killed, killed, killed, RotateRight45, killed, killed, RotateRight90, killed, killed, killed, killed, GetBattleInfo, killed, RotateRight90, RotateRight90, GetBattleInfo, killed
killed, killed, killed, killed, MoveForward, killed, GetBattleInfo, killed, killed, killed, killed, GetBattleInfo, killed, killed, MoveForward, killed, killed, killed, killed, RotateLeft90, killed, MoveForward, MoveForward, RotateRight45, killed
killed, killed, killed, killed, MoveForward, killed, MoveForward (ignored), killed, killed, killed, killed, Shoot (killed), killed, killed, MoveForward, killed, killed, killed, killed, GetBattleInfo, killed, MoveForward, MoveForward, Shoot, killed
killed, killed, killed, killed, RotateRight90, killed, RotateLeft45, killed, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, MoveForward (ignored), killed, RotateRight90, RotateRight90, GetBattleInfo, killed
killed, killed, killed, killed, MoveForward (ignored), killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, GetBattleInfo, killed, MoveForward, MoveForward, RotateRight90, killed
killed, killed, killed, killed, MoveForward (ignored), killed, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward (ignored), killed, MoveForward (ignored), MoveForward, GetBattleInfo, killed
killed, killed, killed, killed, RotateRight90, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, RotateRight45, killed, RotateRight90, RotateRight90, RotateRight45, killed
killed, killed, killed, killed, MoveForward, killed, RotateLeft45, killed, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, GetBattleInfo, killed, MoveForward, MoveForward, Shoot, killed
killed, killed, killed, killed, MoveForward (killed), killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, Shoot, killed, MoveForward, MoveForward, GetBattleInfo, killed
killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, MoveForward, killed, RotateRight90, RotateRight90, RotateRight90, killed
killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, GetBattleInfo, killed, MoveForward, MoveForward, RotateRight90, killed
killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward, killed, MoveForward (ignored), MoveForward, GetBattleInfo, killed
killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, MoveForward, killed, RotateRight90, RotateRight90, RotateRight45, killed
killed, killed, killed, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, GetBattleInfo, killed, MoveForward, MoveForward, Shoot, killed
killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, RotateRight45, killed, MoveForward, MoveForward, GetBattleInfo, killed
killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, MoveForward (ignored), killed, RotateRight90, RotateRight90, RotateRight90, killed
killed, killed, killed, killed, killed, killed, RotateLeft45, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, GetBattleInfo, killed, MoveForward, MoveForward, RotateLeft90, killed
killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, RotateRight90, killed, MoveForward (ignored), MoveForward, GetBattleInfo, killed
killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, MoveForward, killed, RotateRight90, RotateRight90, RotateRight90, killed
killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, GetBattleInfo, killed, MoveForward, MoveForward, RotateRight45, killed
killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, RotateLeft90, killed, MoveForward, MoveForward, GetBattleInfo, killed
killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, Shoot, killed, RotateRight90, RotateRight90, RotateRight90, killed
killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, GetBattleInfo, killed, MoveForward, MoveForward, RotateRight90, killed
killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, RotateLeft90, killed, MoveForward (ignored), MoveForward, GetBattleInfo, killed
killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, MoveForward, killed, RotateRight90, RotateRight90, RotateRight45, killed
killed, killed, killed, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, GetBattleInfo, killed, MoveForward, MoveForward, Shoot, killed
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, RotateRight90, killed, MoveForward, MoveForward, GetBattleInfo, killed
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, MoveForward (ignored), killed, RotateRight90, RotateRight90, GetBattleInfo, killed
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, GetBattleInfo, killed, MoveForward, MoveForward, GetBattleInfo, killed
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, GetBattleInfo, killed, MoveForward (ignored), MoveForward, RotateRight90, killed
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, RotateRight90, killed, RotateRight90, RotateRight90, GetBattleInfo, killed
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, GetBattleInfo, killed, MoveForward, MoveForward, RotateRight45, killed
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, Shoot, killed, MoveForward, MoveForward, GetBattleInfo, killed
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, GetBattleInfo, killed, RotateRight90, RotateRight90, RotateRight90, killed
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, RotateLeft90, killed, MoveForward, MoveForward, GetBattleInfo, killed
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, GetBattleInfo, killed, MoveForward (ignored), MoveForward, RotateRight90, killed
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, RotateRight45, killed, RotateRight90, RotateRight90, GetBattleInfo, killed
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, GetBattleInfo, killed, MoveForward, MoveForward, RotateRight45, killed
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, MoveForward (ignored), killed, MoveForward, MoveForward, GetBattleInfo, killed
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, GetBattleInfo, killed, RotateRight90, RotateRight90, RotateRight90, killed
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, RotateRight45, killed, MoveForward, MoveForward, GetBattleInfo, killed
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, GetBattleInfo, killed, MoveForward (ignored), MoveForward, RotateRight45, killed
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, RotateRight45, killed, RotateRight90, RotateRight90, GetBattleInfo, killed
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, GetBattleInfo, killed, MoveForward, MoveForward, Shoot, killed
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, Shoot, killed, MoveForward, MoveForward, GetBattleInfo, killed
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, GetBattleInfo, killed, RotateRight90, RotateRight90, RotateRight90, killed
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, RotateRight90, killed, MoveForward, MoveForward, GetBattleInfo, killed
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, GetBattleInfo, killed, MoveForward (ignored), MoveForward, RotateRight90, killed
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, RotateRight90, killed, RotateRight90, RotateRight90, GetBattleInfo, killed
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, GetBattleInfo, killed, MoveForward, MoveForward, RotateRight45, killed
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, RotateRight45, killed, MoveForward, MoveForward, GetBattleInfo, killed
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, GetBattleInfo, killed, RotateRight90, RotateRight90, RotateRight90, killed
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, RotateRight90, killed, MoveForward, MoveForward, GetBattleInfo, killed
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, GetBattleInfo, killed, MoveForward (ignored), MoveForward, RotateRight45, killed
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, RotateRight45, killed, RotateRight90, RotateRight90, GetBattleInfo, killed
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, GetBattleInfo, killed, MoveForward, MoveForward, Shoot, killed
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, Shoot, killed, MoveForward, MoveForward, GetBattleInfo, killed
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, GetBattleInfo, killed, RotateRight90, RotateRight90, RotateRight90, killed
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, RotateRight90, killed, MoveForward, MoveForward, GetBattleInfo, killed
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, GetBattleInfo, killed, MoveForward (ignored), MoveForward, RotateRight90, killed
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, RotateRight90, killed, RotateRight90, RotateRight90, GetBattleInfo, killed
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, GetBattleInfo, killed, MoveForward, MoveForward, RotateRight45, killed
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, RotateRight45, killed, MoveForward, MoveForward, GetBattleInfo, killed
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, GetBattleInfo, killed, RotateRight90, RotateRight90, RotateRight90, killed
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, RotateRight90, killed, MoveForward, MoveForward, GetBattleInfo, killed
Tie, reached max steps = 100, player 1 has 2 tanks, player 2 has 3 tanks
