RotateRight90, MoveForward, RotateRight90, MoveForward (ignored), MoveForward, MoveForward, RotateRight90, RotateRight90, RotateRight90, MoveForward, MoveForward, RotateRight90, MoveForward, RotateRight90, MoveForward, RotateRight90, MoveForward, RotateRight90, MoveForward, RotateRight90, MoveForward, MoveForward, MoveForward, RotateRight90, RotateRight90
Shoot, killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, Shoot, killed, killed, killed, killed, killed, Shoot, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), MoveForward, killed, Shoot
RotateRight90, killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, RotateRight90, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), MoveForward, killed, RotateRight90
RotateLeft90, killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, RotateLeft90, killed, killed, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), MoveForward, killed, RotateLeft90
Shoot (ignored), killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, Shoot (ignored), killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), MoveForward, killed, Shoot (ignored)
RotateRight90, killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, RotateRight90, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), MoveForward, killed, RotateRight90
RotateLeft90, killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, RotateLeft90, killed, killed, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), MoveForward (killed), killed, RotateLeft90
Shoot, killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, Shoot, killed, killed, killed, killed, killed, Shoot, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, Shoot
RotateRight90, killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, RotateRight90, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, RotateRight90
RotateLeft90, killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, RotateLeft90, killed, killed, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, RotateLeft90
Shoot (ignored), killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, Shoot (ignored), killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, Shoot (ignored)
RotateRight90, killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, RotateRight90, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, RotateRight90
RotateLeft90, killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, RotateLeft90, killed, killed, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, RotateLeft90
Shoot, killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, Shoot, killed, killed, killed, killed, killed, Shoot, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, Shoot
RotateRight90, killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, RotateRight90, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, RotateRight90
RotateLeft90, killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, RotateLeft90, killed, killed, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, RotateLeft90
Shoot (ignored), killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, Shoot (ignored), killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, Shoot (ignored)
RotateRight90, killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, RotateRight90, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, RotateRight90
RotateLeft90, killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, RotateLeft90, killed, killed, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, RotateLeft90 (killed)
Shoot, killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward, killed, Shoot, killed, killed, killed, killed, killed, Shoot, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, killed
RotateRight90, killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward, killed, RotateRight90, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, killed
RotateLeft90, killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward, killed, RotateLeft90, killed, killed, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, killed
Shoot (ignored), killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward, killed, Shoot (ignored), killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, killed
RotateRight90, killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (killed), killed, RotateRight90, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, killed
RotateLeft90, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, RotateLeft90, killed, killed, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, killed
Shoot, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, Shoot, killed, killed, killed, killed, killed, Shoot, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, killed
RotateRight90, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, RotateRight90, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, killed
RotateLeft90, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, RotateLeft90, killed, killed, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, killed
Shoot (ignored), killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, killed
RotateRight90, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, RotateRight90, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, killed
RotateLeft90, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, RotateLeft90, killed, killed, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, killed
Shoot, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, Shoot, killed, killed, killed, killed, killed, Shoot, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, killed
RotateRight90, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, RotateRight90, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, killed
RotateLeft90, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, RotateLeft90, killed, killed, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, killed
Shoot (ignored), killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, killed
RotateRight90, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, RotateRight90, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, killed
RotateLeft90 (killed), killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, RotateLeft90 (killed), killed, killed, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, killed
killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, Shoot, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, killed
killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, killed
killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, killed
killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, killed
killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, killed
killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, killed
killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, Shoot, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, killed
killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, killed
killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, killed
killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, killed
killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, killed
killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, killed
killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, Shoot, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, killed
killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, killed
killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, killed
killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, killed
killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, killed
killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, killed
killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, Shoot, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, killed
killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, killed
killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, killed
killed, killed, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, killed
