MoveForward, RotateRight90, MoveForward, RotateRight90, MoveForward, RotateRight90, MoveForward, RotateRight90, RotateRight90, RotateRight90, RotateRight90, MoveForward, MoveForward, RotateRight90, RotateRight90, MoveForward, MoveForward, MoveForward, MoveForward, RotateRight90, MoveForward, RotateRight90, RotateRight90, MoveForward, RotateRight90
killed, RotateLeft90, killed, killed, killed, RotateLeft90, killed, killed, killed, RotateLeft90, killed, killed, MoveForward, RotateLeft90, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), RotateLeft90 (killed), RotateLeft90, MoveForward (ignored), RotateLeft90
killed, Shoot, killed, killed, killed, Shoot, killed, killed, killed, Shoot, killed, killed, MoveForward, Shoot, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, Shoot, MoveForward (ignored), Shoot
killed, RotateRight90, killed, killed, killed, RotateRight90, killed, killed, killed, RotateRight90, killed, killed, MoveForward, RotateRight90, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, RotateRight90, MoveForward (ignored), RotateRight90
killed, RotateLeft90, killed, killed, killed, RotateLeft90, killed, killed, killed, RotateLeft90, killed, killed, MoveForward (killed), RotateLeft90, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, RotateLeft90, MoveForward (ignored), RotateLeft90
killed, Shoot (ignored), killed, killed, killed, Shoot (ignored), killed, killed, killed, Shoot (ignored), killed, killed, killed, Shoot (ignored), killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, Shoot (ignored), MoveForward (ignored), Shoot (ignored)
killed, RotateRight90, killed, killed, killed, RotateRight90, killed, killed, killed, RotateRight90, killed, killed, killed, RotateRight90, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, RotateRight90, MoveForward (ignored), RotateRight90
killed, RotateLeft90, killed, killed, killed, RotateLeft90, killed, killed, killed, RotateLeft90, killed, killed, killed, RotateLeft90, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, RotateLeft90, MoveForward (ignored), RotateLeft90
killed, Shoot, killed, killed, killed, Shoot, killed, killed, killed, Shoot, killed, killed, killed, Shoot, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, Shoot, MoveForward (ignored), Shoot
killed, RotateRight90, killed, killed, killed, RotateRight90, killed, killed, killed, RotateRight90, killed, killed, killed, RotateRight90, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, RotateRight90, MoveForward (ignored), RotateRight90
killed, RotateLeft90, killed, killed, killed, RotateLeft90, killed, killed, killed, RotateLeft90, killed, killed, killed, RotateLeft90, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, RotateLeft90, MoveForward (ignored), RotateLeft90
killed, Shoot (ignored), killed, killed, killed, Shoot (ignored), killed, killed, killed, Shoot (ignored), killed, killed, killed, Shoot (ignored), killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, Shoot (ignored), MoveForward (ignored), Shoot (ignored)
killed, RotateRight90, killed, killed, killed, RotateRight90, killed, killed, killed, RotateRight90, killed, killed, killed, RotateRight90, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, RotateRight90, MoveForward (ignored), RotateRight90
killed, RotateLeft90, killed, killed, killed, RotateLeft90, killed, killed, killed, RotateLeft90, killed, killed, killed, RotateLeft90, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, RotateLeft90 (killed), MoveForward (ignored), RotateLeft90
killed, Shoot, killed, killed, killed, Shoot, killed, killed, killed, Shoot, killed, killed, killed, Shoot, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), Shoot
killed, RotateRight90, killed, killed, killed, RotateRight90, killed, killed, killed, RotateRight90, killed, killed, killed, RotateRight90, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), RotateRight90
killed, RotateLeft90, killed, killed, killed, RotateLeft90, killed, killed, killed, RotateLeft90, killed, killed, killed, RotateLeft90, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), RotateLeft90
killed, Shoot (ignored), killed, killed, killed, Shoot (ignored), killed, killed, killed, Shoot (ignored), killed, killed, killed, Shoot (ignored), killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), Shoot (ignored)
killed, RotateRight90, killed, killed, killed, RotateRight90, killed, killed, killed, RotateRight90, killed, killed, killed, RotateRight90, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), RotateRight90
killed, RotateLeft90, killed, killed, killed, RotateLeft90, killed, killed, killed, RotateLeft90, killed, killed, killed, RotateLeft90, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), RotateLeft90
killed, Shoot, killed, killed, killed, Shoot, killed, killed, killed, Shoot, killed, killed, killed, Shoot, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), Shoot
killed, RotateRight90, killed, killed, killed, RotateRight90, killed, killed, killed, RotateRight90, killed, killed, killed, RotateRight90, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), RotateRight90
killed, RotateLeft90, killed, killed, killed, RotateLeft90, killed, killed, killed, RotateLeft90, killed, killed, killed, RotateLeft90, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), RotateLeft90
killed, Shoot (ignored), killed, killed, killed, Shoot (ignored), killed, killed, killed, Shoot (ignored), killed, killed, killed, Shoot (ignored), killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), Shoot (ignored)
killed, RotateRight90, killed, killed, killed, RotateRight90, killed, killed, killed, RotateRight90, killed, killed, killed, RotateRight90, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), RotateRight90
killed, RotateLeft90, killed, killed, killed, RotateLeft90, killed, killed, killed, RotateLeft90, killed, killed, killed, RotateLeft90, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), RotateLeft90
killed, Shoot, killed, killed, killed, Shoot, killed, killed, killed, Shoot, killed, killed, killed, Shoot, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, MoveForward, Shoot
killed, RotateRight90, killed, killed, killed, RotateRight90, killed, killed, killed, RotateRight90, killed, killed, killed, RotateRight90, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, MoveForward, RotateRight90
killed, RotateLeft90, killed, killed, killed, RotateLeft90, killed, killed, killed, RotateLeft90, killed, killed, killed, RotateLeft90, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, MoveForward, RotateLeft90
killed, Shoot (ignored), killed, killed, killed, Shoot (ignored), killed, killed, killed, Shoot (ignored), killed, killed, killed, Shoot (ignored), killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, MoveForward, Shoot (ignored)
killed, RotateRight90, killed, killed, killed, RotateRight90, killed, killed, killed, RotateRight90, killed, killed, killed, RotateRight90, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, MoveForward (killed), RotateRight90
killed, RotateLeft90 (killed), killed, killed, killed, RotateLeft90, killed, killed, killed, RotateLeft90 (killed), killed, killed, killed, RotateLeft90 (killed), killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, killed, RotateLeft90
killed, killed, killed, killed, killed, Shoot, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, killed, Shoot
killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, killed, RotateRight90
killed, killed, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, killed, RotateLeft90
killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, killed, Shoot (ignored)
killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, killed, RotateRight90
killed, killed, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, killed, RotateLeft90
killed, killed, killed, killed, killed, Shoot, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, killed, Shoot
killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, killed, RotateRight90
killed, killed, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, killed, RotateLeft90
killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, killed, Shoot (ignored)
killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, killed, RotateRight90
killed, killed, killed, killed, killed, RotateLeft90 (killed), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, killed, RotateLeft90
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, killed, Shoot
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, killed, RotateRight90
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, killed, RotateLeft90
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, killed, Shoot (ignored)
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, killed, RotateRight90
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, killed, RotateLeft90
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, killed, Shoot
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, killed, RotateRight90
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, killed, RotateLeft90
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, killed, Shoot (ignored)
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, killed, RotateRight90
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, killed, RotateLeft90
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, killed, Shoot
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, killed, RotateRight90
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, killed, RotateLeft90
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, killed, Shoot (ignored)
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, killed, RotateRight90
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, killed, RotateLeft90
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, killed, Shoot
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, killed, RotateRight90
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, killed, RotateLeft90
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, killed, Shoot (ignored)
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, killed, RotateRight90
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, killed, RotateLeft90
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, killed, Shoot
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, killed, RotateRight90
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, killed, RotateLeft90
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, killed, Shoot (ignored)
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, killed, RotateRight90
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, killed, RotateLeft90
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, killed, Shoot
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, killed, killed, RotateRight90
Tie, reached max steps = 100, player 1 has 2 tanks, player 2 has 1 tanks
