GetBattleInfo, RotateRight90, GetBattleInfo, RotateRight90, RotateRight90, RotateRight90, GetBattleInfo, GetBattleInfo, GetBattleInfo, RotateRight90, RotateRight90, GetBattleInfo, RotateRight90, GetBattleInfo, RotateRight90, GetBattleInfo, RotateRight90, GetBattleInfo, RotateRight90, GetBattleInfo, RotateRight90, RotateRight90, RotateRight90, GetBattleInfo, GetBattleInfo
RotateLeft45, Shoot (ignored), RotateLeft45, Shoot (ignored), Shoot (ignored), killed, killed, RotateRight45, RotateLeft90, Shoot (ignored) (killed), killed, MoveForward, Shoot (ignored), MoveForward, killed, RotateRight90, killed, RotateLeft45, killed, MoveForward, killed, killed, Shoot (ignored), killed, RotateLeft45
GetBattleInfo, RotateRight90, GetBattleInfo, RotateRight90, RotateRight90, killed, killed, GetBattleInfo, GetBattleInfo, killed, killed, GetBattleInfo, RotateRight90, GetBattleInfo, killed, GetBattleInfo, killed, GetBattleInfo, killed, GetBattleInfo, killed, killed, RotateRight90, killed, GetBattleInfo
RotateLeft90, RotateLeft90, RotateLeft45, RotateLeft90, RotateLeft90, killed, killed, Shoot, Shoot, killed, killed, MoveForward, RotateLeft90, DoNothing, killed, MoveForward, killed, RotateLeft45, killed, MoveForward, killed, killed, RotateLeft90, killed, RotateLeft45
RotateLeft90, Shoot, RotateLeft45, Shoot (killed), Shoot, killed, killed, DoNothing, DoNothing, killed, killed, RotateRight90, Shoot, RotateLeft45, killed, MoveForward, killed, RotateLeft45, killed, RotateRight90, killed, killed, Shoot, killed, RotateLeft45
GetBattleInfo, RotateRight90, GetBattleInfo, killed, RotateRight90, killed, killed, GetBattleInfo, GetBattleInfo, killed, killed, GetBattleInfo, RotateRight90, GetBattleInfo, killed, GetBattleInfo, killed, GetBattleInfo, killed, GetBattleInfo, killed, killed, RotateRight90, killed, GetBattleInfo
MoveForward, RotateLeft90, RotateLeft45, killed, RotateLeft90, killed, killed, RotateRight45, RotateLeft45, killed, killed, MoveForward, RotateLeft90, RotateRight45, killed, RotateRight45, killed, MoveForward, killed, MoveForward, killed, killed, RotateLeft90, killed, RotateLeft45
MoveForward, Shoot (ignored), RotateLeft45, killed, Shoot (ignored), killed, killed, RotateRight90, killed, killed, killed, MoveForward, Shoot (ignored), MoveForward, killed, MoveForward, killed, MoveForward, killed, MoveForward, killed, killed, Shoot (ignored), killed, RotateLeft45
GetBattleInfo, RotateRight90, GetBattleInfo, killed, RotateRight90, killed, killed, GetBattleInfo, killed, killed, killed, GetBattleInfo, RotateRight90, GetBattleInfo, killed, GetBattleInfo, killed, GetBattleInfo, killed, GetBattleInfo, killed, killed, RotateRight90, killed, GetBattleInfo
MoveForward, RotateLeft90, RotateLeft45, killed, RotateLeft90, killed, killed, MoveForward, killed, killed, killed, MoveForward, RotateLeft90 (killed), RotateLeft45, killed, MoveForward, killed, MoveForward, killed, MoveForward, killed, killed, RotateLeft90, killed, RotateLeft45
RotateLeft90, Shoot, RotateLeft45, killed, Shoot, killed, killed, MoveForward, killed, killed, killed, RotateRight90, killed, Shoot, killed, RotateLeft45, killed, MoveForward, killed, MoveForward, killed, killed, Shoot, killed, RotateLeft45
GetBattleInfo, RotateRight90, GetBattleInfo, killed, RotateRight90, killed, killed, GetBattleInfo, killed, killed, killed, GetBattleInfo, killed, GetBattleInfo, killed, GetBattleInfo, killed, GetBattleInfo, killed, GetBattleInfo, killed, killed, RotateRight90, killed, GetBattleInfo
RotateLeft45, RotateLeft90, RotateLeft45, killed, RotateLeft90, killed, killed, RotateLeft90, killed, killed, killed, MoveForward, killed, RotateLeft45, killed, RotateRight90, killed, MoveForward, killed, RotateLeft90, killed, killed, RotateLeft90, killed, RotateLeft90
RotateLeft90, Shoot (ignored), MoveForward, killed, Shoot (ignored), killed, killed, RotateLeft90, killed, killed, killed, RotateLeft90, killed, RotateLeft45, killed, MoveForward, killed, RotateRight90, killed, RotateLeft90, killed, killed, Shoot (ignored), killed, RotateLeft90
GetBattleInfo, RotateRight90, GetBattleInfo, killed, RotateRight90, killed, killed, GetBattleInfo, killed, killed, killed, GetBattleInfo, killed, GetBattleInfo, killed, GetBattleInfo, killed, GetBattleInfo, killed, GetBattleInfo, killed, killed, RotateRight90, killed, GetBattleInfo
Shoot, RotateLeft90, RotateLeft45, killed, RotateLeft90, killed, killed, MoveForward, killed, killed, killed, MoveForward, killed, RotateLeft45, killed, RotateRight45, killed, MoveForward, killed, RotateLeft45, killed, killed, RotateLeft90 (killed), killed, Shoot
DoNothing (killed), Shoot, RotateLeft90, killed, Shoot, killed, killed, MoveForward, killed, killed, killed, RotateRight45, killed, RotateLeft45, killed, MoveForward, killed, MoveForward, killed, RotateLeft45, killed, killed, killed, killed, DoNothing
killed, RotateRight90, GetBattleInfo, killed, RotateRight90, killed, killed, GetBattleInfo, killed, killed, killed, GetBattleInfo, killed, GetBattleInfo, killed, GetBattleInfo, killed, GetBattleInfo, killed, GetBattleInfo, killed, killed, killed, killed, GetBattleInfo
killed, RotateLeft90, RotateRight90, killed, RotateLeft90, killed, killed, MoveForward, killed, killed, killed, MoveForward, killed, RotateLeft45, killed, MoveForward, killed, MoveForward, killed, RotateRight90, killed, killed, killed, killed, RotateRight90
killed, Shoot (ignored), MoveForward, killed, Shoot (ignored), killed, killed, MoveForward, killed, killed, killed, MoveForward, killed, RotateLeft45, killed, MoveForward, killed, RotateRight90, killed, killed, killed, killed, killed, killed, MoveForward
killed, RotateRight90, GetBattleInfo, killed, RotateRight90, killed, killed, GetBattleInfo, killed, killed, killed, GetBattleInfo, killed, GetBattleInfo, killed, GetBattleInfo, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, GetBattleInfo
killed, RotateLeft90, RotateRight90, killed, RotateLeft90, killed, killed, RotateLeft90, killed, killed, killed, MoveForward, killed, RotateLeft45, killed, MoveForward, killed, MoveForward, killed, killed, killed, killed, killed, killed, RotateRight90
killed, Shoot, Shoot, killed, Shoot, killed, killed, Shoot, killed, killed, killed, RotateLeft45, killed, RotateLeft45, killed, RotateRight45, killed, MoveForward, killed, killed, killed, killed, killed, killed, Shoot
killed, RotateRight90, killed, killed, RotateRight90, killed, killed, GetBattleInfo, killed, killed, killed, GetBattleInfo, killed, GetBattleInfo, killed, GetBattleInfo, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, GetBattleInfo
killed, RotateLeft90, killed, killed, RotateLeft90, killed, killed, DoNothing, killed, killed, killed, MoveForward, killed, RotateLeft45 (killed), killed, Shoot, killed, MoveForward, killed, killed, killed, killed, killed, killed, DoNothing
killed, Shoot (ignored), killed, killed, Shoot (ignored) (killed), killed, killed, DoNothing, killed, killed, killed, RotateRight45, killed, killed, killed, DoNothing, killed, MoveForward, killed, killed, killed, killed, killed, killed, DoNothing
killed, RotateRight90, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, GetBattleInfo, killed, killed, killed, GetBattleInfo, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, GetBattleInfo
killed, RotateLeft90, killed, killed, killed, killed, killed, RotateRight45, killed, killed, killed, Shoot, killed, killed, killed, MoveForward, killed, RotateRight45, killed, killed, killed, killed, killed, killed, Shoot
killed, Shoot, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, DoNothing, killed, killed, killed, RotateRight45, killed, Shoot (killed), killed, killed, killed, killed, killed, killed, DoNothing
killed, RotateRight90, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, GetBattleInfo, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo
killed, RotateLeft90, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, DoNothing, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, Shoot (ignored), killed, killed, killed, killed, killed, RotateLeft45, killed, killed, killed, DoNothing, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, RotateRight90, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, RotateLeft90, killed, killed, killed, killed, killed, Shoot, killed, killed, killed, Shoot, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, Shoot, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed, DoNothing, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, RotateRight90, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, RotateLeft90, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed, DoNothing, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, Shoot (ignored), killed, killed, killed, killed, killed, DoNothing (killed), killed, killed, killed, DoNothing, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, killed, killed, Shoot, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, Shoot, killed, killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, killed, killed, Shoot, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, Shoot, killed, killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, killed, killed, Shoot, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, Shoot, killed, killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, killed, killed, Shoot, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, Shoot, killed, killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, killed, killed, Shoot, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, Shoot, killed, killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, killed, killed, Shoot, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, Shoot, killed, killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, killed, killed, Shoot, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, Shoot, killed, killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, killed, killed, Shoot, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, Shoot, killed, killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, killed, killed, Shoot, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, Shoot, killed, killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
Tie, reached max steps = 100, player 1 has 1 tanks, player 2 has 1 tanks
