MoveForward (ignored), GetBattleInfo, MoveForward, GetBattleInfo, GetBattleInfo, GetBattleInfo, MoveForward, MoveForward, MoveForward, GetBattleInfo, GetBattleInfo, MoveForward, GetBattleInfo, MoveForward, GetBattleInfo, MoveForward, GetBattleInfo, MoveForward, GetBattleInfo, MoveForward, GetBattleInfo, GetBattleInfo, GetBattleInfo, MoveForward, MoveForward
killed, Shoot, MoveForward, RotateLeft45, RotateRight45, Shoot, killed, killed, MoveForward (ignored) (killed), MoveForward, RotateLeft90, MoveForward (ignored), MoveForward, killed, RotateLeft90, MoveForward, killed, killed, MoveForward, killed, killed, RotateLeft90, killed, MoveForward, MoveForward
killed, DoNothing, RotateRight90, RotateLeft90, RotateRight90, DoNothing, killed, killed, killed, MoveForward, RotateLeft90, RotateRight90, RotateRight45, killed, RotateLeft90, RotateRight90, killed, killed, RotateLeft90, killed, killed, MoveForward, killed, RotateRight90, RotateRight90
killed, GetBattleInfo, MoveForward, GetBattleInfo, GetBattleInfo, GetBattleInfo, killed, killed, killed, GetBattleInfo, GetBattleInfo, MoveForward, GetBattleInfo, killed, GetBattleInfo, MoveForward, killed, killed, GetBattleInfo, killed, killed, GetBattleInfo, killed, MoveForward, MoveForward
killed, RotateLeft45, MoveForward, RotateRight45, RotateLeft45, RotateLeft90, killed, killed, killed, RotateLeft45, RotateLeft90, MoveForward, RotateLeft45, killed, RotateRight45, MoveForward, killed, killed, RotateLeft45, killed, killed, RotateLeft90, killed, MoveForward, MoveForward
killed, RotateLeft45, RotateRight90, RotateRight90, RotateLeft90, RotateLeft90, killed, killed, killed, RotateLeft90, RotateLeft90, RotateRight90, RotateLeft90, killed, RotateRight90, RotateRight90, killed, killed, RotateLeft90, killed, killed, MoveForward, killed, RotateRight90, RotateRight90
killed, GetBattleInfo, MoveForward, GetBattleInfo, GetBattleInfo, GetBattleInfo, killed, killed, killed, GetBattleInfo, GetBattleInfo, MoveForward (ignored), GetBattleInfo, killed, GetBattleInfo, MoveForward, killed, killed, GetBattleInfo, killed, killed, GetBattleInfo, killed, MoveForward, MoveForward
killed, RotateLeft45, MoveForward, MoveForward, Shoot, RotateLeft45, killed, killed, killed, RotateRight45, Shoot, MoveForward (ignored), MoveForward, killed, MoveForward, MoveForward (killed), killed, killed, RotateRight45 (killed), killed, killed, RotateLeft90, killed, MoveForward, MoveForward
killed, RotateLeft45, RotateRight90 (killed), MoveForward (killed), DoNothing, MoveForward, killed, killed, killed, RotateRight90, DoNothing, RotateRight90, RotateRight45, killed, MoveForward, killed, killed, killed, killed, killed, killed, MoveForward, killed, RotateRight90, RotateRight90 (killed)
killed, GetBattleInfo, killed, killed, GetBattleInfo, GetBattleInfo, killed, killed, killed, GetBattleInfo, GetBattleInfo, MoveForward, GetBattleInfo, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, MoveForward, killed
killed, RotateLeft90, killed, killed, RotateLeft45, RotateLeft45, killed, killed, killed, MoveForward, RotateLeft45, MoveForward, RotateRight45, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, RotateLeft45, killed, MoveForward, killed
killed, RotateLeft90, killed, killed, RotateLeft45, RotateLeft45, killed, killed, killed, MoveForward, RotateLeft45, RotateRight90, RotateRight90, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, RotateLeft45, killed, RotateRight90, killed
killed, GetBattleInfo, killed, killed, GetBattleInfo, GetBattleInfo, killed, killed, killed, GetBattleInfo, GetBattleInfo, MoveForward (ignored), GetBattleInfo, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, MoveForward, killed
killed, Shoot, killed, killed, RotateLeft45, RotateLeft45, killed, killed, killed, MoveForward, RotateLeft45, MoveForward (ignored), MoveForward, killed, MoveForward, killed, killed, killed, killed, killed, killed, MoveForward, killed, MoveForward, killed
killed, DoNothing, killed, killed, RotateLeft45, RotateLeft45, killed, killed, killed, MoveForward, RotateLeft45, RotateRight90, RotateLeft45, killed, MoveForward, killed, killed, killed, killed, killed, killed, RotateLeft90, killed, RotateRight90, killed
killed, GetBattleInfo, killed, killed, GetBattleInfo, GetBattleInfo, killed, killed, killed, GetBattleInfo, GetBattleInfo, MoveForward, GetBattleInfo, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, MoveForward, killed
killed, RotateLeft45, killed, killed, RotateLeft90, MoveForward, killed, killed, killed, RotateLeft45, MoveForward, MoveForward, RotateLeft45, killed, RotateRight45, killed, killed, killed, killed, killed, killed, RotateLeft90, killed, MoveForward, killed
killed, RotateLeft45, killed, killed, RotateLeft90, MoveForward, killed, killed, killed, RotateLeft45, MoveForward, RotateRight90, RotateLeft90, killed, MoveForward, killed, killed, killed, killed, killed, killed, MoveForward, killed, RotateRight90, killed
killed, GetBattleInfo, killed, killed, GetBattleInfo, GetBattleInfo, killed, killed, killed, GetBattleInfo, GetBattleInfo, MoveForward (ignored), GetBattleInfo, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, MoveForward, killed
killed, RotateLeft45, killed, killed, Shoot, RotateRight45, killed, killed, killed, RotateLeft45, MoveForward, MoveForward (ignored), MoveForward, killed, RotateRight45, killed, killed, killed, killed, killed, killed, MoveForward, killed, MoveForward, killed
killed, RotateLeft45, killed, killed, DoNothing, MoveForward, killed, killed, killed, RotateLeft45, RotateRight45, RotateRight90, RotateLeft90, killed, MoveForward, killed, killed, killed, killed, killed, killed, RotateRight45, killed, RotateRight90, killed
killed, GetBattleInfo, killed, killed, GetBattleInfo, GetBattleInfo, killed, killed, killed, GetBattleInfo, GetBattleInfo, MoveForward, GetBattleInfo, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, MoveForward, killed
killed, RotateLeft90, killed, killed, RotateLeft45, RotateRight90, killed, killed, killed, RotateLeft45, RotateRight45, MoveForward, RotateLeft90, killed, RotateLeft45, killed, killed, killed, killed, killed, killed, RotateLeft45, killed, MoveForward, killed
killed, RotateLeft90, killed, killed, RotateLeft45, MoveForward, killed, killed, killed, RotateLeft90, RotateRight90, RotateRight90, MoveForward, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, RotateLeft45, killed, RotateRight90, killed
killed, GetBattleInfo, killed, killed, GetBattleInfo, GetBattleInfo, killed, killed, killed, GetBattleInfo, GetBattleInfo, MoveForward (ignored), GetBattleInfo, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, MoveForward, killed
killed, Shoot, killed, killed, RotateLeft45, MoveForward, killed, killed, killed, RotateLeft90, MoveForward, MoveForward (ignored), RotateLeft45, killed, MoveForward, killed, killed, killed, killed, killed, killed, RotateLeft45, killed, MoveForward, killed
killed, DoNothing, killed, killed, RotateLeft45, RotateRight45 (killed), killed, killed, killed, Shoot, MoveForward (killed), RotateRight90, MoveForward, killed, MoveForward, killed, killed, killed, killed, killed, killed, RotateLeft45, killed, RotateRight90, killed
killed, GetBattleInfo, killed, killed, GetBattleInfo, killed, killed, killed, killed, GetBattleInfo, killed, MoveForward, GetBattleInfo, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, MoveForward, killed
killed, RotateLeft45, killed, killed, RotateLeft90, killed, killed, killed, killed, RotateLeft45, killed, MoveForward, RotateLeft90, killed, RotateLeft45, killed, killed, killed, killed, killed, killed, RotateLeft90, killed, MoveForward, killed
killed, RotateLeft45, killed, killed, RotateLeft90, killed, killed, killed, killed, RotateLeft45, killed, RotateRight90, RotateLeft90, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, RotateLeft90, killed, RotateRight90, killed
killed, GetBattleInfo, killed, killed, GetBattleInfo, killed, killed, killed, killed, GetBattleInfo, killed, MoveForward (ignored), GetBattleInfo, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, MoveForward, killed
killed, RotateLeft45, killed, killed, Shoot, killed, killed, killed, killed, RotateLeft45, killed, MoveForward (ignored), MoveForward, killed, MoveForward, killed, killed, killed, killed, killed, killed, Shoot, killed, MoveForward, killed
killed, RotateLeft45, killed, killed, DoNothing, killed, killed, killed, killed, RotateLeft45, killed, RotateRight90, MoveForward, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, DoNothing, killed, RotateRight90, killed
killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, MoveForward, GetBattleInfo, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, MoveForward, killed
killed, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, RotateLeft90, killed, MoveForward, RotateLeft90, killed, RotateLeft45, killed, killed, killed, killed, killed, killed, RotateLeft45, killed, MoveForward, killed
killed, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, Shoot, killed, RotateRight90, RotateLeft90, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, RotateLeft45, killed, RotateRight90, killed
killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, MoveForward (ignored), GetBattleInfo, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, MoveForward, killed
killed, Shoot, killed, killed, killed, killed, killed, killed, killed, RotateLeft90, killed, MoveForward (ignored), MoveForward, killed, MoveForward, killed, killed, killed, killed, killed, killed, RotateLeft45, killed, MoveForward, killed
killed, DoNothing, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, RotateRight90, MoveForward, killed, MoveForward, killed, killed, killed, killed, killed, killed, RotateLeft45, killed, RotateRight90, killed
killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, MoveForward, GetBattleInfo, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, MoveForward, killed
killed, RotateLeft45, killed, killed, killed, killed, killed, killed, killed, RotateLeft45, killed, MoveForward, RotateLeft90, killed, RotateLeft45, killed, killed, killed, killed, killed, killed, RotateLeft90, killed, MoveForward, killed
killed, RotateLeft45, killed, killed, killed, killed, killed, killed, killed, RotateLeft45, killed, RotateRight90, RotateLeft90, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, RotateLeft90, killed, RotateRight90, killed
killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, MoveForward (ignored), GetBattleInfo, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, MoveForward, killed
killed, RotateLeft45, killed, killed, killed, killed, killed, killed, killed, RotateLeft45, killed, MoveForward (ignored), MoveForward, killed, MoveForward, killed, killed, killed, killed, killed, killed, Shoot, killed, MoveForward, killed
killed, RotateLeft45, killed, killed, killed, killed, killed, killed, killed, RotateLeft45, killed, RotateRight90, MoveForward, killed, MoveForward, killed, killed, killed, killed, killed, killed, DoNothing, killed, RotateRight90, killed
killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, MoveForward, GetBattleInfo, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, MoveForward, killed
killed, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, RotateLeft90, killed, MoveForward, RotateLeft90, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, RotateLeft45, killed, MoveForward, killed
killed, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, Shoot, killed, RotateRight90, RotateLeft90, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, RotateLeft45, killed, RotateRight90, killed
killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, MoveForward (ignored), GetBattleInfo, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, MoveForward, killed
killed, Shoot, killed, killed, killed, killed, killed, killed, killed, RotateLeft90, killed, MoveForward (ignored), MoveForward, killed, MoveForward, killed, killed, killed, killed, killed, killed, RotateLeft45, killed, MoveForward, killed
killed, DoNothing, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, RotateRight90, MoveForward, killed, MoveForward, killed, killed, killed, killed, killed, killed, RotateLeft45, killed, RotateRight90, killed
killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, MoveForward, GetBattleInfo, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, MoveForward, killed
killed, RotateLeft45, killed, killed, killed, killed, killed, killed, killed, RotateLeft45, killed, MoveForward, RotateLeft90, killed, RotateRight90, killed, killed, killed, killed, killed, killed, RotateLeft90, killed, MoveForward, killed
killed, RotateLeft45, killed, killed, killed, killed, killed, killed, killed, RotateLeft45, killed, RotateRight90, RotateLeft90, killed, MoveForward, killed, killed, killed, killed, killed, killed, RotateLeft90, killed, RotateRight90, killed
killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, MoveForward (ignored), GetBattleInfo, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, MoveForward, killed
killed, RotateLeft45, killed, killed, killed, killed, killed, killed, killed, RotateLeft45, killed, MoveForward (ignored), MoveForward, killed, RotateRight45, killed, killed, killed, killed, killed, killed, Shoot, killed, MoveForward, killed
killed, RotateLeft45, killed, killed, killed, killed, killed, killed, killed, RotateLeft45, killed, RotateRight90, MoveForward, killed, MoveForward, killed, killed, killed, killed, killed, killed, DoNothing, killed, RotateRight90, killed
killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, MoveForward, GetBattleInfo, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, MoveForward, killed
killed, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, RotateLeft90, killed, MoveForward, RotateLeft90, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, RotateLeft45, killed, MoveForward, killed
killed, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, Shoot, killed, RotateRight90, RotateLeft90, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, RotateLeft45, killed, RotateRight90, killed
killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, MoveForward (ignored), GetBattleInfo, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, MoveForward, killed
killed, Shoot, killed, killed, killed, killed, killed, killed, killed, RotateLeft90, killed, MoveForward (ignored), MoveForward, killed, MoveForward, killed, killed, killed, killed, killed, killed, RotateLeft45, killed, MoveForward, killed
killed, DoNothing, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, RotateRight90, MoveForward, killed, MoveForward, killed, killed, killed, killed, killed, killed, RotateLeft45, killed, RotateRight90, killed
killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, MoveForward, GetBattleInfo, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, MoveForward, killed
killed, RotateLeft45, killed, killed, killed, killed, killed, killed, killed, RotateLeft45, killed, MoveForward, RotateLeft90, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, RotateLeft90, killed, MoveForward, killed
killed, RotateLeft45, killed, killed, killed, killed, killed, killed, killed, RotateLeft45, killed, RotateRight90, RotateLeft90, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, RotateLeft90, killed, RotateRight90, killed
killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, MoveForward (ignored), GetBattleInfo, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, MoveForward, killed
killed, RotateLeft45, killed, killed, killed, killed, killed, killed, killed, RotateLeft45, killed, MoveForward (ignored), MoveForward, killed, MoveForward, killed, killed, killed, killed, killed, killed, Shoot, killed, MoveForward, killed
killed, RotateLeft45, killed, killed, killed, killed, killed, killed, killed, RotateLeft45, killed, RotateRight90, MoveForward, killed, MoveForward, killed, killed, killed, killed, killed, killed, DoNothing, killed, RotateRight90, killed
killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, MoveForward, GetBattleInfo, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, MoveForward, killed
killed, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, RotateLeft90, killed, MoveForward, RotateLeft90, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, RotateLeft45, killed, MoveForward, killed
killed, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, Shoot, killed, RotateRight90, RotateLeft90, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, RotateLeft45, killed, RotateRight90, killed
killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, MoveForward (ignored), GetBattleInfo, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, MoveForward, killed
killed, Shoot, killed, killed, killed, killed, killed, killed, killed, RotateLeft90, killed, MoveForward (ignored), MoveForward, killed, MoveForward, killed, killed, killed, killed, killed, killed, RotateLeft45, killed, MoveForward, killed
killed, DoNothing, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, RotateRight90, MoveForward, killed, MoveForward, killed, killed, killed, killed, killed, killed, RotateLeft45, killed, RotateRight90, killed
killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, MoveForward, GetBattleInfo, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, MoveForward, killed
killed, RotateLeft45, killed, killed, killed, killed, killed, killed, killed, RotateLeft45, killed, MoveForward, RotateLeft90, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, Shoot, killed, MoveForward, killed
killed, RotateLeft45, killed, killed, killed, killed, killed, killed, killed, RotateLeft45, killed, RotateRight90, RotateLeft90, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, DoNothing, killed, RotateRight90, killed
killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, MoveForward (ignored), GetBattleInfo, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, MoveForward, killed
killed, RotateLeft45, killed, killed, killed, killed, killed, killed, killed, RotateLeft45, killed, MoveForward (ignored), MoveForward, killed, MoveForward, killed, killed, killed, killed, killed, killed, DoNothing, killed, MoveForward, killed
killed, RotateLeft45, killed, killed, killed, killed, killed, killed, killed, RotateLeft45, killed, RotateRight90, MoveForward, killed, MoveForward, killed, killed, killed, killed, killed, killed, DoNothing, killed, RotateRight90, killed
killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, MoveForward, GetBattleInfo, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, MoveForward, killed
killed, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, RotateLeft90, killed, MoveForward, RotateLeft90, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, RotateLeft45, killed, MoveForward, killed
killed, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, Shoot, killed, RotateRight90, RotateLeft90, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, RotateLeft45, killed, RotateRight90, killed
killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, MoveForward (ignored), GetBattleInfo, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, MoveForward, killed
Tie, reached max steps = 100, player 1 has 2 tanks, player 2 has 5 tanks
