GetBattleInfo, MoveForward, GetBattleInfo, MoveForward (ignored), MoveForward, MoveForward, GetBattleInfo, GetBattleInfo, GetBattleInfo, MoveForward, MoveForward, GetBattleInfo, MoveForward, GetBattleInfo, MoveForward, GetBattleInfo, MoveForward, GetBattleInfo, MoveForward, GetBattleInfo, MoveForward, MoveForward, MoveForward, GetBattleInfo, GetBattleInfo
killed, RotateRight90, RotateRight90, killed, RotateRight90, killed, Shoot, MoveForward, killed, RotateRight90, killed, GetBattleInfo, RotateRight90, MoveForward, killed, killed, killed, killed, killed, MoveForward, killed, RotateRight90 (killed), RotateRight90, Shoot, GetBattleInfo
killed, MoveForward, GetBattleInfo, killed, MoveForward, killed, MoveForward, RotateRight90, killed, MoveForward, killed, MoveForward, MoveForward (killed), GetBattleInfo, killed, killed, killed, killed, killed, MoveForward, killed, killed, MoveForward, RotateRight90, MoveForward
killed, MoveForward, RotateRight90, killed, MoveForward, killed, MoveForward, MoveForward, killed, MoveForward, killed, MoveForward, killed, GetBattleInfo, killed, killed, killed, killed, killed, MoveForward, killed, killed, MoveForward, MoveForward, RotateLeft45
killed, RotateRight90, MoveForward, killed, RotateRight90, killed, GetBattleInfo, RotateLeft45, killed, RotateRight90, killed, RotateLeft45, killed, GetBattleInfo, killed, killed, killed, killed, killed, RotateRight45, killed, killed, RotateRight90, MoveForward, Shoot
killed, MoveForward, MoveForward, killed, MoveForward (ignored), killed, RotateRight90, GetBattleInfo, killed, MoveForward (ignored), killed, MoveForward, killed, GetBattleInfo, killed, killed, killed, killed, killed, MoveForward, killed, killed, MoveForward (killed), MoveForward, RotateLeft45
killed, MoveForward, RotateLeft45, killed, MoveForward (ignored), killed, RotateRight90, GetBattleInfo, killed, MoveForward (ignored), killed, MoveForward, killed, RotateRight90, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, MoveForward, RotateRight45
killed, RotateRight90, Shoot, killed, RotateRight90, killed, MoveForward, GetBattleInfo, killed, RotateRight90, killed, MoveForward, killed, MoveForward, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, GetBattleInfo, GetBattleInfo (killed)
killed, MoveForward, MoveForward, killed, MoveForward, killed, MoveForward, RotateRight90, killed, MoveForward, killed, GetBattleInfo, killed, RotateLeft90, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, RotateRight90, killed
killed, MoveForward, RotateLeft45, killed, MoveForward, killed, RotateRight45, RotateRight45, killed, MoveForward, killed, RotateRight90, killed, Shoot, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, RotateRight90, killed
killed, RotateRight90, GetBattleInfo, killed, RotateRight90, killed, Shoot, MoveForward, killed, RotateRight90, killed, RotateRight90, killed, MoveForward, killed, killed, killed, killed, killed, RotateLeft45, killed, killed, killed, Shoot, killed
killed, MoveForward, GetBattleInfo, killed, MoveForward (ignored), killed, MoveForward, RotateRight45, killed, MoveForward (ignored), killed, GetBattleInfo, killed, MoveForward, killed, killed, killed, killed, killed, Shoot, killed, killed, killed, RotateLeft90, killed
killed, MoveForward, RotateRight90, killed, MoveForward (ignored), killed, GetBattleInfo, MoveForward, killed, MoveForward (ignored), killed, MoveForward, killed, MoveForward, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, RotateRight90, killed
killed, RotateRight90, GetBattleInfo, killed, RotateRight90, killed, GetBattleInfo, MoveForward, killed, RotateRight90, killed, GetBattleInfo, killed, GetBattleInfo, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, GetBattleInfo, killed
killed, MoveForward, GetBattleInfo, killed, MoveForward, killed, GetBattleInfo, GetBattleInfo, killed, MoveForward, killed, GetBattleInfo, killed, GetBattleInfo, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, RotateRight90, killed
killed, MoveForward, RotateLeft90, killed, MoveForward, killed, Shoot, RotateLeft45, killed, MoveForward, killed, MoveForward, killed, RotateLeft90, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, GetBattleInfo, killed
killed, RotateRight90, GetBattleInfo, killed, RotateRight90, killed, GetBattleInfo, GetBattleInfo, killed, RotateRight90, killed, RotateRight90, killed, MoveForward, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, MoveForward, killed
killed, MoveForward, MoveForward, killed, MoveForward (ignored), killed, MoveForward, MoveForward, killed, MoveForward (ignored), killed, GetBattleInfo, killed, MoveForward, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, RotateLeft45, killed
killed, MoveForward, MoveForward, killed, MoveForward (ignored), killed, RotateRight90 (killed), MoveForward (killed), killed, MoveForward (ignored), killed, MoveForward, killed, RotateRight45, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, Shoot, killed
killed, RotateRight90, MoveForward, killed, killed, killed, killed, killed, killed, RotateRight90, killed, RotateLeft45, killed, MoveForward, killed, killed, killed, killed, killed, Shoot, killed, killed, killed, RotateLeft45, killed
killed, MoveForward, RotateRight45, killed, killed, killed, killed, killed, killed, MoveForward, killed, MoveForward, killed, MoveForward, killed, killed, killed, killed, killed, RotateLeft90, killed, killed, killed, RotateRight45, killed
killed, MoveForward, MoveForward, killed, killed, killed, killed, killed, killed, MoveForward (killed), killed, RotateRight45, killed, GetBattleInfo, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, GetBattleInfo, killed
killed, RotateRight90, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward, killed, RotateLeft45, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, RotateLeft90, killed
killed, MoveForward, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, RotateLeft45, killed, MoveForward, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, RotateLeft45, killed
killed, MoveForward, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, RotateLeft45, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, MoveForward, killed
killed, RotateRight90, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward, killed, GetBattleInfo, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, RotateRight45, killed
killed, MoveForward, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight45, killed, RotateRight90, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, GetBattleInfo, killed
killed, MoveForward, RotateLeft45, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward, killed, RotateRight90, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, MoveForward, killed
killed, RotateRight90, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward, killed, MoveForward, killed, killed, killed, killed, killed, RotateRight45, killed, killed, killed, MoveForward, killed
killed, MoveForward (killed), RotateLeft90, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, MoveForward, killed, killed, killed, killed, killed, MoveForward (killed), killed, killed, killed, RotateLeft45, killed
Player 1 won with 4 tanks still alive
