RotateRight90, DoNothing, DoNothing, RotateRight90, DoNothing, RotateRight90, DoNothing, RotateRight90, RotateRight90, DoNothing, DoNothing, RotateRight90, RotateRight90, DoNothing, RotateRight90, DoNothing, DoNothing, RotateRight90, RotateRight90, DoNothing, RotateRight90, DoNothing, RotateRight90, DoNothing, DoNothing, RotateRight90
RotateRight90, DoNothing, DoNothing, RotateRight90, killed, RotateRight90, DoNothing, RotateRight90, RotateRight90, DoNothing, DoNothing, RotateRight90, RotateRight90, killed, RotateRight90, DoNothing, DoNothing, RotateRight90, RotateRight90, DoNothing, RotateRight90, DoNothing, RotateRight90, DoNothing, DoNothing, RotateRight90
RotateLeft90, RotateRight45, RotateRight45, RotateLeft90, killed, RotateLeft90, RotateRight45, RotateLeft90, RotateLeft90, RotateRight45, RotateRight45, RotateLeft90, RotateLeft90, killed, RotateLeft90, RotateRight45, RotateRight45, RotateLeft90, RotateLeft90, RotateRight45, RotateLeft90, RotateRight45, RotateLeft90, RotateRight45 (killed), RotateRight45, RotateLeft90
Shoot, DoNothing, DoNothing, Shoot, killed, Shoot, DoNothing, Shoot, Shoot, DoNothing, DoNothing, Shoot, Shoot, killed, Shoot, DoNothing, DoNothing, Shoot, Shoot, DoNothing, Shoot, DoNothing, Shoot, killed, DoNothing, Shoot
RotateRight90, RotateRight45, RotateRight45, RotateRight90, killed, RotateRight90, RotateRight45, RotateRight90, RotateRight90, RotateRight45, RotateRight45, RotateRight90, RotateRight90, killed, RotateRight90, RotateRight45, RotateRight45, RotateRight90, RotateRight90, RotateRight45, RotateRight90, RotateRight45, RotateRight90, killed, RotateRight45, RotateRight90
RotateLeft90, DoNothing, DoNothing, RotateLeft90, killed, RotateLeft90, DoNothing, RotateLeft90, RotateLeft90, DoNothing, DoNothing, RotateLeft90, RotateLeft90, killed, RotateLeft90, DoNothing, DoNothing, RotateLeft90, RotateLeft90, DoNothing, RotateLeft90, DoNothing, RotateLeft90, killed, DoNothing, RotateLeft90
Shoot (ignored), RotateRight45, RotateRight45, Shoot (ignored), killed, Shoot (ignored), RotateRight45, Shoot (ignored), Shoot (ignored), RotateRight45, RotateRight45, Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), RotateRight45, RotateRight45, Shoot (ignored), Shoot (ignored), RotateRight45, Shoot (ignored), RotateRight45, Shoot (ignored), killed, RotateRight45, Shoot (ignored)
RotateRight90, DoNothing, DoNothing, RotateRight90, killed, RotateRight90, DoNothing, RotateRight90, RotateRight90, DoNothing, DoNothing, RotateRight90, RotateRight90, killed, RotateRight90, DoNothing, DoNothing, RotateRight90, RotateRight90, DoNothing, RotateRight90, DoNothing, RotateRight90, killed, DoNothing, RotateRight90
RotateLeft90, RotateRight45, RotateRight45, RotateLeft90, killed, RotateLeft90, RotateRight45, RotateLeft90, RotateLeft90, RotateRight45, RotateRight45, RotateLeft90, RotateLeft90, killed, RotateLeft90, RotateRight45, RotateRight45, RotateLeft90, RotateLeft90, RotateRight45, RotateLeft90, RotateRight45, RotateLeft90, killed, RotateRight45, RotateLeft90
Shoot, DoNothing, killed, Shoot, killed, Shoot, DoNothing, Shoot, Shoot, DoNothing, DoNothing, Shoot, Shoot, killed, Shoot, DoNothing, DoNothing, Shoot, Shoot, DoNothing, Shoot, DoNothing, Shoot, killed, DoNothing, Shoot
RotateRight90, RotateRight45, killed, RotateRight90, killed, RotateRight90, RotateRight45, RotateRight90, RotateRight90, RotateRight45, RotateRight45, RotateRight90, RotateRight90, killed, RotateRight90, RotateRight45, RotateRight45, RotateRight90, RotateRight90, RotateRight45, RotateRight90, RotateRight45, RotateRight90, killed, RotateRight45, RotateRight90
RotateLeft90, DoNothing, killed, RotateLeft90, killed, RotateLeft90, DoNothing, RotateLeft90, RotateLeft90, DoNothing, DoNothing, RotateLeft90, RotateLeft90, killed, RotateLeft90, DoNothing, DoNothing, RotateLeft90, RotateLeft90, DoNothing, RotateLeft90, DoNothing, RotateLeft90, killed, DoNothing, RotateLeft90
Shoot (ignored), RotateRight45, killed, Shoot (ignored), killed, Shoot (ignored), RotateRight45, Shoot (ignored), Shoot (ignored), RotateRight45, RotateRight45, Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), RotateRight45, RotateRight45, Shoot (ignored), Shoot (ignored), RotateRight45, Shoot (ignored), RotateRight45, Shoot (ignored), killed, RotateRight45, Shoot (ignored)
RotateRight90, DoNothing, killed, RotateRight90, killed, RotateRight90, DoNothing, RotateRight90, RotateRight90, DoNothing, DoNothing, RotateRight90, RotateRight90, killed, RotateRight90, DoNothing, DoNothing, RotateRight90, RotateRight90, DoNothing, RotateRight90, DoNothing, RotateRight90, killed, DoNothing, RotateRight90
RotateLeft90, RotateRight45, killed, RotateLeft90, killed, RotateLeft90, RotateRight45, RotateLeft90, RotateLeft90, RotateRight45, RotateRight45, RotateLeft90, RotateLeft90, killed, RotateLeft90, killed, RotateRight45, RotateLeft90, RotateLeft90, RotateRight45, RotateLeft90, RotateRight45, RotateLeft90, killed, RotateRight45, RotateLeft90
Shoot, DoNothing, killed, Shoot, killed, Shoot, DoNothing, Shoot, Shoot, DoNothing, DoNothing, Shoot, Shoot, killed, Shoot, killed, DoNothing, Shoot, Shoot, DoNothing, Shoot, DoNothing, Shoot, killed, DoNothing, Shoot
RotateRight90, RotateRight45, killed, RotateRight90, killed, RotateRight90, RotateRight45, RotateRight90, RotateRight90, RotateRight45, RotateRight45 (killed), RotateRight90, RotateRight90, killed, RotateRight90, killed, RotateRight45, RotateRight90, RotateRight90, RotateRight45, RotateRight90, RotateRight45, RotateRight90, killed, RotateRight45, RotateRight90
RotateLeft90, DoNothing, killed, RotateLeft90, killed, RotateLeft90, DoNothing, RotateLeft90, RotateLeft90, DoNothing, killed, RotateLeft90, RotateLeft90, killed, RotateLeft90, killed, DoNothing, RotateLeft90, RotateLeft90, DoNothing, RotateLeft90, DoNothing, RotateLeft90, killed, DoNothing, RotateLeft90
Shoot (ignored), RotateRight45, killed, Shoot (ignored), killed, Shoot (ignored), RotateRight45, Shoot (ignored), Shoot (ignored), RotateRight45, killed, Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), killed, RotateRight45, Shoot (ignored), Shoot (ignored), RotateRight45, Shoot (ignored), RotateRight45, Shoot (ignored), killed, RotateRight45, Shoot (ignored)
RotateRight90, DoNothing, killed, RotateRight90, killed, RotateRight90, DoNothing, RotateRight90, RotateRight90, DoNothing, killed, RotateRight90, RotateRight90, killed, RotateRight90, killed, DoNothing, RotateRight90, RotateRight90, DoNothing, RotateRight90, DoNothing, RotateRight90, killed, DoNothing, RotateRight90
RotateLeft90, RotateRight45 (killed), killed, RotateLeft90, killed, RotateLeft90, RotateRight45, RotateLeft90, RotateLeft90, RotateRight45, killed, RotateLeft90, RotateLeft90, killed, RotateLeft90, killed, RotateRight45, RotateLeft90, RotateLeft90, RotateRight45, RotateLeft90, RotateRight45, RotateLeft90, killed, RotateRight45, RotateLeft90
Shoot (ignored), killed, killed, Shoot (ignored), killed, Shoot (ignored), DoNothing, Shoot (ignored), Shoot (ignored), DoNothing, killed, Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), killed, DoNothing, Shoot (ignored), Shoot (ignored), DoNothing, Shoot (ignored), DoNothing, Shoot (ignored), killed, DoNothing, Shoot (ignored)
RotateRight90, killed, killed, RotateRight90, killed, RotateRight90, RotateRight45, RotateRight90, RotateRight90, RotateRight45, killed, RotateRight90, RotateRight90, killed, RotateRight90, killed, RotateRight45, RotateRight90, RotateRight90, RotateRight45, RotateRight90, RotateRight45, RotateRight90, killed, RotateRight45, RotateRight90
RotateLeft90, killed, killed, RotateLeft90, killed, RotateLeft90, DoNothing, RotateLeft90, RotateLeft90, DoNothing, killed, RotateLeft90, RotateLeft90, killed, RotateLeft90, killed, DoNothing, RotateLeft90, RotateLeft90, DoNothing, RotateLeft90, DoNothing, RotateLeft90, killed, DoNothing, RotateLeft90
Shoot (ignored), killed, killed, Shoot (ignored), killed, Shoot (ignored), RotateRight45, Shoot (ignored), Shoot (ignored), RotateRight45, killed, Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), killed, RotateRight45, Shoot (ignored), Shoot (ignored), RotateRight45, Shoot (ignored), RotateRight45, Shoot (ignored), killed, RotateRight45, Shoot (ignored)
RotateRight90, killed, killed, RotateRight90, killed, RotateRight90, DoNothing, RotateRight90, RotateRight90, DoNothing, killed, RotateRight90, RotateRight90, killed, RotateRight90, killed, DoNothing, RotateRight90, RotateRight90, DoNothing, RotateRight90, DoNothing, RotateRight90, killed, DoNothing, RotateRight90
RotateLeft90, killed, killed, RotateLeft90, killed, RotateLeft90, RotateRight45, RotateLeft90, RotateLeft90, RotateRight45, killed, RotateLeft90, RotateLeft90, killed, RotateLeft90, killed, RotateRight45, RotateLeft90, RotateLeft90, RotateRight45, RotateLeft90, RotateRight45, RotateLeft90, killed, RotateRight45, RotateLeft90
Shoot (ignored), killed, killed, Shoot (ignored), killed, Shoot (ignored), DoNothing, Shoot (ignored), Shoot (ignored), DoNothing, killed, Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), killed, DoNothing, Shoot (ignored), Shoot (ignored), DoNothing, Shoot (ignored), DoNothing, Shoot (ignored), killed, DoNothing, Shoot (ignored)
RotateRight90, killed, killed, RotateRight90, killed, RotateRight90, RotateRight45, RotateRight90, RotateRight90, RotateRight45, killed, RotateRight90, RotateRight90, killed, RotateRight90, killed, RotateRight45, RotateRight90, RotateRight90, RotateRight45, RotateRight90, RotateRight45, RotateRight90, killed, RotateRight45, RotateRight90
RotateLeft90, killed, killed, RotateLeft90, killed, RotateLeft90, DoNothing, RotateLeft90, RotateLeft90, DoNothing, killed, RotateLeft90, RotateLeft90, killed, RotateLeft90, killed, DoNothing, RotateLeft90, RotateLeft90, DoNothing, RotateLeft90, DoNothing, RotateLeft90, killed, DoNothing, RotateLeft90
Shoot (ignored), killed, killed, Shoot (ignored), killed, Shoot (ignored), RotateRight45, Shoot (ignored), Shoot (ignored), RotateRight45, killed, Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), killed, RotateRight45, Shoot (ignored), Shoot (ignored), RotateRight45, Shoot (ignored), RotateRight45, Shoot (ignored), killed, RotateRight45, Shoot (ignored)
RotateRight90, killed, killed, RotateRight90, killed, RotateRight90, DoNothing, RotateRight90, RotateRight90, DoNothing, killed, RotateRight90, RotateRight90, killed, RotateRight90, killed, DoNothing, RotateRight90, RotateRight90, DoNothing, RotateRight90, DoNothing, RotateRight90, killed, DoNothing, RotateRight90
RotateLeft90, killed, killed, RotateLeft90, killed, RotateLeft90, RotateRight45, RotateLeft90, RotateLeft90, RotateRight45, killed, RotateLeft90, RotateLeft90, killed, RotateLeft90, killed, RotateRight45, RotateLeft90, RotateLeft90, RotateRight45, RotateLeft90, RotateRight45, RotateLeft90, killed, RotateRight45, RotateLeft90
Shoot (ignored), killed, killed, Shoot (ignored), killed, Shoot (ignored), DoNothing, Shoot (ignored), Shoot (ignored), DoNothing, killed, Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), killed, DoNothing, Shoot (ignored), Shoot (ignored), DoNothing, Shoot (ignored), DoNothing, Shoot (ignored), killed, DoNothing, Shoot (ignored)
RotateRight90, killed, killed, RotateRight90, killed, RotateRight90, RotateRight45, RotateRight90, RotateRight90, RotateRight45, killed, RotateRight90, RotateRight90, killed, RotateRight90, killed, RotateRight45, RotateRight90, RotateRight90, RotateRight45, RotateRight90, RotateRight45, RotateRight90, killed, RotateRight45, RotateRight90
RotateLeft90, killed, killed, RotateLeft90, killed, RotateLeft90, DoNothing, RotateLeft90, RotateLeft90, DoNothing, killed, RotateLeft90, RotateLeft90, killed, RotateLeft90, killed, DoNothing, RotateLeft90, RotateLeft90, DoNothing, RotateLeft90, DoNothing, RotateLeft90, killed, DoNothing, RotateLeft90
Shoot (ignored), killed, killed, Shoot (ignored), killed, Shoot (ignored), RotateRight45, Shoot (ignored), Shoot (ignored), RotateRight45, killed, Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), killed, RotateRight45, Shoot (ignored), Shoot (ignored), RotateRight45, Shoot (ignored), RotateRight45, Shoot (ignored), killed, RotateRight45, Shoot (ignored)
RotateRight90, killed, killed, RotateRight90, killed, RotateRight90, DoNothing, RotateRight90, RotateRight90, DoNothing, killed, RotateRight90, RotateRight90, killed, RotateRight90, killed, DoNothing, RotateRight90, RotateRight90, DoNothing, RotateRight90, DoNothing, RotateRight90, killed, DoNothing, RotateRight90
RotateLeft90, killed, killed, RotateLeft90, killed, RotateLeft90, RotateRight45, RotateLeft90, RotateLeft90, RotateRight45, killed, RotateLeft90, RotateLeft90, killed, RotateLeft90, killed, RotateRight45, RotateLeft90, RotateLeft90, RotateRight45, RotateLeft90, RotateRight45, RotateLeft90, killed, RotateRight45, RotateLeft90
