GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo
killed, MoveForward, killed, killed, Shoot, killed, Shoot, killed, GetBattleInfo (killed), killed, GetBattleInfo, RotateRight90, killed, killed, Shoot, killed, killed, killed, killed, killed, RotateRight45, RotateRight90, killed, killed, killed, killed
killed, MoveForward, killed, killed, GetBattleInfo, killed, GetBattleInfo, killed, killed, killed, killed, GetBattleInfo, killed, killed, RotateRight45, killed, killed, killed, killed, killed, MoveForward, GetBattleInfo, killed, killed, killed, killed
killed, GetBattleInfo, killed, killed, GetBattleInfo, killed, MoveForward, killed, killed, killed, killed, RotateRight45, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, GetBattleInfo, Shoot, killed, killed, killed, killed
killed, MoveForward, killed, killed, GetBattleInfo, killed, RotateRight90, killed, killed, killed, killed, MoveForward, killed, killed, RotateRight90, killed, killed, killed, killed, killed, GetBattleInfo, GetBattleInfo, killed, killed, killed, killed
killed, MoveForward, killed, killed, GetBattleInfo, killed, GetBattleInfo, killed, killed, killed, killed, GetBattleInfo, killed, killed, MoveForward, killed, killed, killed, killed, killed, MoveForward, GetBattleInfo, killed, killed, killed, killed
killed, GetBattleInfo, killed, killed, GetBattleInfo, killed, MoveForward, killed, killed, killed, killed, MoveForward, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, RotateRight45, MoveForward, killed, killed, killed, killed
killed, MoveForward, killed, killed, Shoot, killed, MoveForward, killed, killed, killed, killed, MoveForward, killed, killed, RotateLeft90, killed, killed, killed, killed, killed, GetBattleInfo, RotateLeft45, killed, killed, killed, killed
killed, RotateLeft45, killed, killed, MoveForward, killed, GetBattleInfo, killed, killed, killed, killed, GetBattleInfo, killed, killed, RotateLeft45, killed, killed, killed, killed, killed, MoveForward, GetBattleInfo, killed, killed, killed, killed
killed, GetBattleInfo (killed), killed, killed, GetBattleInfo, killed, MoveForward, killed, killed, killed, killed, Shoot, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, RotateLeft45, MoveForward, killed, killed, killed, killed
killed, killed, killed, killed, MoveForward, killed, RotateLeft90, killed, killed, killed, killed, RotateLeft90, killed, killed, RotateLeft90, killed, killed, killed, killed, killed, GetBattleInfo, RotateRight45, killed, killed, killed, killed
killed, killed, killed, killed, RotateLeft45, killed, GetBattleInfo, killed, killed, killed, killed, GetBattleInfo, killed, killed, RotateLeft45, killed, killed, killed, killed, killed, MoveForward, GetBattleInfo, killed, killed, killed, killed
killed, killed, killed, killed, GetBattleInfo, killed, RotateLeft90, killed, killed, killed, killed, RotateRight90, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, MoveForward, MoveForward, killed, killed, killed, killed
killed, killed, killed, killed, MoveForward, killed, MoveForward, killed, killed, killed, killed, MoveForward, killed, killed, MoveForward, killed, killed, killed, killed, killed, GetBattleInfo, RotateRight45, killed, killed, killed, killed
killed, killed, killed, killed, RotateRight45, killed, GetBattleInfo, killed, killed, killed, killed, GetBattleInfo, killed, killed, RotateLeft45, killed, killed, killed, killed, killed, MoveForward, GetBattleInfo, killed, killed, killed, killed
killed, killed, killed, killed, GetBattleInfo, killed, MoveForward, killed, killed, killed, killed, RotateRight45, killed, killed, GetBattleInfo (killed), killed, killed, killed, killed, killed, MoveForward, Shoot, killed, killed, killed, killed
killed, killed, killed, killed, MoveForward, killed, MoveForward, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, GetBattleInfo, killed, killed, killed, killed
killed, killed, killed, killed, MoveForward, killed, GetBattleInfo, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, RotateLeft45, GetBattleInfo, killed, killed, killed, killed
killed, killed, killed, killed, GetBattleInfo, killed, Shoot, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo (killed), GetBattleInfo, killed, killed, killed, killed
killed, killed, killed, killed, MoveForward, killed, GetBattleInfo, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed
killed, killed, killed, killed, RotateRight90, killed, MoveForward, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed
killed, killed, killed, killed, GetBattleInfo, killed, RotateRight45, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed
killed, killed, killed, killed, MoveForward, killed, GetBattleInfo, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed
killed, killed, killed, killed, MoveForward, killed, MoveForward, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed
killed, killed, killed, killed, GetBattleInfo, killed, MoveForward, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed
killed, killed, killed, killed, RotateLeft90, killed, GetBattleInfo, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed
killed, killed, killed, killed, MoveForward, killed, RotateLeft45, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed
killed, killed, killed, killed, GetBattleInfo, killed, MoveForward, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed
killed, killed, killed, killed, MoveForward, killed, GetBattleInfo, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed
killed, killed, killed, killed, RotateLeft45, killed, MoveForward, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed
killed, killed, killed, killed, GetBattleInfo, killed, MoveForward, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed
killed, killed, killed, killed, Shoot, killed, GetBattleInfo, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed
killed, killed, killed, killed, GetBattleInfo, killed, RotateRight45, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed
killed, killed, killed, killed, MoveForward, killed, Shoot, killed, killed, killed, killed, RotateRight45, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed
killed, killed, killed, killed, MoveForward, killed, GetBattleInfo, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed
killed, killed, killed, killed, GetBattleInfo, killed, GetBattleInfo, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed
killed, killed, killed, killed, RotateRight45, killed, MoveForward, killed, killed, killed, killed, RotateRight45, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed
killed, killed, killed, killed, MoveForward, killed, RotateRight45, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed
killed, killed, killed, killed, GetBattleInfo, killed, GetBattleInfo, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed
killed, killed, killed, killed, RotateLeft90, killed, MoveForward, killed, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed
killed, killed, killed, killed, MoveForward, killed, MoveForward, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed
killed, killed, killed, killed, GetBattleInfo, killed, GetBattleInfo, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed
killed, killed, killed, killed, RotateRight90, killed, RotateRight90, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed
killed, killed, killed, killed, MoveForward, killed, MoveForward, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed
killed, killed, killed, killed, GetBattleInfo, killed, GetBattleInfo, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed
killed, killed, killed, killed, MoveForward, killed, RotateLeft90, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight45, killed, killed, killed, killed
killed, killed, killed, killed, MoveForward, killed, Shoot (killed), killed, killed, killed, killed, Shoot (killed), killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed
Player 1 won with 2 tanks still alive
