RotateRight90, GetBattleInfo, RotateRight90, GetBattleInfo, RotateRight90, GetBattleInfo, RotateRight90, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, RotateRight90, RotateRight90, GetBattleInfo, GetBattleInfo, RotateRight90, RotateRight90, RotateRight90, RotateRight90, GetBattleInfo, RotateRight90, GetBattleInfo, GetBattleInfo, RotateRight90, GetBattleInfo
Shoot (ignored), MoveForward, killed, killed, Shoot (ignored), MoveForward (ignored), killed, killed, killed, GetBattleInfo, MoveForward, Shoot (ignored), Shoot (ignored), RotateRight45, RotateRight45, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), RotateRight90, killed, GetBattleInfo, RotateRight90, Shoot (ignored), RotateLeft90
RotateRight90, GetBattleInfo, killed, killed, RotateRight90, MoveForward (ignored), killed, killed, killed, RotateRight90, MoveForward (ignored), RotateRight90, RotateRight90, GetBattleInfo, MoveForward (ignored), killed, RotateRight90, RotateRight90, RotateRight90, RotateRight45, killed, GetBattleInfo, RotateRight45, RotateRight90, GetBattleInfo
RotateLeft90, RotateLeft45, killed, killed, RotateLeft90, RotateLeft90, killed, killed, killed, MoveForward, GetBattleInfo, RotateLeft90, RotateLeft90, RotateRight90, RotateLeft45, killed, RotateLeft90, RotateLeft90, RotateLeft90, GetBattleInfo, killed, GetBattleInfo, MoveForward, RotateLeft90, RotateLeft45
Shoot (killed), Shoot, killed, killed, Shoot, MoveForward (ignored), killed, killed, killed, RotateRight90, MoveForward (ignored), Shoot, Shoot, RotateRight45, GetBattleInfo, killed, Shoot, Shoot, Shoot, RotateLeft45, killed, Shoot, GetBattleInfo, Shoot, Shoot
killed, RotateRight45, killed, killed, RotateRight90, GetBattleInfo, killed, killed, killed, GetBattleInfo, MoveForward (ignored), RotateRight90, RotateRight90, MoveForward, RotateRight90, killed, RotateRight90, RotateRight90, RotateRight90, MoveForward, killed, GetBattleInfo, RotateLeft45, RotateRight90, RotateLeft45
killed, GetBattleInfo, killed, killed, RotateLeft90, RotateRight45, killed, killed, killed, RotateLeft90, MoveForward (ignored), RotateLeft90, RotateLeft90, GetBattleInfo (killed), RotateRight90, killed, RotateLeft90, RotateLeft90, RotateLeft90, RotateRight45, killed, GetBattleInfo, MoveForward, RotateLeft90, MoveForward
killed, RotateLeft45, killed, killed, Shoot (ignored), MoveForward (ignored), killed, killed, killed, MoveForward, MoveForward (ignored), Shoot (ignored), Shoot (ignored), killed, MoveForward, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), Shoot, killed, GetBattleInfo, RotateRight45, Shoot (ignored), GetBattleInfo
killed, GetBattleInfo, killed, killed, RotateRight90, RotateRight45, killed, killed, killed, MoveForward (ignored), GetBattleInfo, RotateRight90, RotateRight90, killed, RotateRight90, killed, RotateRight90, RotateRight90, RotateRight90, MoveForward (ignored), killed, GetBattleInfo, Shoot, RotateRight90, RotateRight90
killed, MoveForward, killed, killed, RotateLeft90, Shoot, killed, killed, killed, RotateLeft90, RotateRight90, RotateLeft90, RotateLeft90, killed, RotateRight45, killed, RotateLeft90, RotateLeft90, RotateLeft90, GetBattleInfo, killed, Shoot, RotateLeft45, RotateLeft90 (killed), GetBattleInfo
killed, GetBattleInfo, killed, killed, Shoot, GetBattleInfo, killed, killed, killed, RotateLeft45, RotateRight90, Shoot, Shoot, killed, Shoot, killed, Shoot, Shoot, Shoot, GetBattleInfo, killed, GetBattleInfo, MoveForward, killed, RotateRight90
killed, Shoot, killed, killed, RotateRight90, RotateLeft45, killed, killed, killed, RotateLeft90, GetBattleInfo, RotateRight90, RotateRight90, killed, RotateRight90, killed, RotateRight90, RotateRight90, RotateRight90, GetBattleInfo, killed, GetBattleInfo, RotateRight45, killed, MoveForward
killed, GetBattleInfo, killed, killed, RotateLeft90, RotateLeft90, killed, killed, killed, RotateLeft45, MoveForward, RotateLeft90, killed, killed, RotateRight90, killed, RotateLeft90, RotateLeft90, RotateLeft90, Shoot, killed, GetBattleInfo, MoveForward, killed, RotateLeft90
killed, GetBattleInfo, killed, killed, Shoot (ignored), GetBattleInfo, killed, killed, killed, MoveForward, RotateRight90, Shoot (ignored), killed, killed, MoveForward (ignored), killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), GetBattleInfo, killed, GetBattleInfo, RotateRight45, killed, GetBattleInfo
killed, GetBattleInfo, killed, killed, RotateRight90, GetBattleInfo, killed, killed, killed, RotateLeft90, GetBattleInfo, RotateRight90, killed, killed, GetBattleInfo, killed, RotateRight90, RotateRight90, RotateRight90, GetBattleInfo, killed, GetBattleInfo, GetBattleInfo, killed, GetBattleInfo
killed, GetBattleInfo, killed, killed, RotateLeft90, RotateLeft90, killed, killed, killed, GetBattleInfo, MoveForward, RotateLeft90, killed, killed, MoveForward (ignored), killed, RotateLeft90, RotateLeft90, RotateLeft90, GetBattleInfo, killed, GetBattleInfo, GetBattleInfo, killed, RotateRight45
killed, Shoot, killed, killed, Shoot, RotateLeft45, killed, killed, killed, RotateRight90, RotateRight90, Shoot, killed, killed, RotateRight45, killed, Shoot, Shoot, Shoot, GetBattleInfo, killed, Shoot, RotateRight45, killed, GetBattleInfo
killed, GetBattleInfo, killed, killed, RotateRight90, Shoot, killed, killed, killed, GetBattleInfo, MoveForward, RotateRight90, killed, killed, MoveForward, killed, RotateRight90, RotateRight90, RotateRight90, Shoot, killed, GetBattleInfo, MoveForward, killed, MoveForward
killed, GetBattleInfo, killed, killed, RotateLeft90, GetBattleInfo, killed, killed, killed, RotateRight90, MoveForward, RotateLeft90, killed, killed, MoveForward, killed, RotateLeft90, RotateLeft90, RotateLeft90, GetBattleInfo, killed, GetBattleInfo, RotateRight45, killed, MoveForward
killed, GetBattleInfo, killed, killed, Shoot (ignored), RotateLeft45, killed, killed, killed, RotateRight45, MoveForward, Shoot (ignored), killed, killed, RotateLeft45, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), GetBattleInfo, killed, GetBattleInfo, MoveForward, killed, MoveForward (ignored)
killed, GetBattleInfo, killed, killed, RotateRight90, RotateRight90, killed, killed, killed, MoveForward, MoveForward, RotateRight90, killed, killed, Shoot, killed, RotateRight90, RotateRight90, RotateRight90, GetBattleInfo, killed, GetBattleInfo, MoveForward, killed, MoveForward (ignored)
killed, Shoot, killed, killed, RotateLeft90, MoveForward, killed, killed, killed, RotateRight45, RotateLeft90, RotateLeft90, killed, killed, MoveForward (ignored), killed, RotateLeft90, RotateLeft90, RotateLeft90, GetBattleInfo, killed, Shoot, RotateLeft45, killed, RotateLeft45
killed, GetBattleInfo, killed, killed, killed, MoveForward, killed, killed, killed, MoveForward (ignored) (killed), RotateLeft45, Shoot, killed, killed, MoveForward (ignored), killed, Shoot, Shoot, Shoot, Shoot, killed, GetBattleInfo, Shoot, killed, MoveForward (ignored)
killed, GetBattleInfo, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, GetBattleInfo, RotateRight90, killed, killed, GetBattleInfo, killed, RotateRight90, RotateRight90, RotateRight90, GetBattleInfo, killed, GetBattleInfo, MoveForward, killed, RotateRight90
killed, GetBattleInfo, killed, killed, killed, GetBattleInfo (killed), killed, killed, killed, killed, RotateLeft90, RotateLeft90, killed, killed, RotateLeft45, killed, RotateLeft90, RotateLeft90, RotateLeft90, GetBattleInfo, killed, GetBattleInfo, GetBattleInfo, killed, RotateRight45
killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, Shoot (ignored), killed, killed, RotateLeft90, killed, killed, Shoot (ignored), Shoot (ignored), GetBattleInfo, killed, GetBattleInfo, MoveForward, killed, GetBattleInfo
killed, Shoot, killed, killed, killed, killed, killed, killed, killed, killed, RotateLeft90, RotateRight90, killed, killed, GetBattleInfo, killed, killed, RotateRight90, RotateRight90, GetBattleInfo, killed, Shoot, RotateRight90, killed, Shoot
killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, RotateLeft45, RotateLeft90, killed, killed, RotateRight90, killed, killed, RotateLeft90, RotateLeft90, Shoot, killed, GetBattleInfo, GetBattleInfo, killed, RotateRight90
killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight45, Shoot, killed, killed, MoveForward, killed, killed, Shoot, Shoot, GetBattleInfo, killed, GetBattleInfo, RotateLeft90, killed, RotateRight90
killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, RotateRight90, killed, killed, MoveForward, killed, killed, RotateRight90, RotateRight90, GetBattleInfo, killed, GetBattleInfo, RotateLeft45, killed, MoveForward
killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, RotateLeft45, RotateLeft90, killed, killed, MoveForward, killed, killed, RotateLeft90, RotateLeft90, GetBattleInfo, killed, GetBattleInfo, MoveForward, killed, GetBattleInfo
killed, Shoot, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward, Shoot (ignored), killed, killed, GetBattleInfo, killed, killed, Shoot (ignored), Shoot (ignored), GetBattleInfo, killed, Shoot, MoveForward, killed, Shoot
killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward (killed), RotateRight90, killed, killed, RotateRight90, killed, killed, killed, RotateRight90, Shoot, killed, GetBattleInfo, MoveForward, killed, RotateRight90
killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateLeft90, killed, killed, MoveForward (ignored), killed, killed, killed, RotateLeft90, GetBattleInfo, killed, GetBattleInfo, RotateRight90, killed, RotateLeft90
killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, killed, Shoot, killed, killed, MoveForward (ignored), killed, killed, killed, Shoot, GetBattleInfo, killed, GetBattleInfo, GetBattleInfo, killed, GetBattleInfo
killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, MoveForward (ignored), killed, killed, killed, RotateRight90, GetBattleInfo, killed, GetBattleInfo, GetBattleInfo, killed, GetBattleInfo
killed, Shoot, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateLeft90, killed, killed, RotateLeft45, killed, killed, killed, RotateLeft90, GetBattleInfo, killed, Shoot, MoveForward, killed, GetBattleInfo
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, MoveForward, killed, killed, killed, Shoot (ignored), Shoot, killed, GetBattleInfo, MoveForward, killed, Shoot
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, GetBattleInfo, killed, killed, killed, RotateRight90, GetBattleInfo, killed, GetBattleInfo, MoveForward, killed, GetBattleInfo
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateLeft90, killed, killed, MoveForward, killed, killed, killed, RotateLeft90, GetBattleInfo, killed, GetBattleInfo, RotateLeft45, killed, GetBattleInfo
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, Shoot, killed, killed, RotateRight45, killed, killed, killed, Shoot, GetBattleInfo, killed, GetBattleInfo, MoveForward, killed, GetBattleInfo
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, GetBattleInfo, killed, killed, killed, RotateRight90, GetBattleInfo, killed, Shoot, GetBattleInfo, killed, GetBattleInfo
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateLeft90, killed, killed, MoveForward, killed, killed, killed, RotateLeft90, Shoot, killed, GetBattleInfo, MoveForward, killed, Shoot
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, MoveForward, killed, killed, killed, Shoot (ignored), GetBattleInfo, killed, GetBattleInfo, RotateRight45, killed, GetBattleInfo
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, RotateRight90, killed, killed, killed, RotateRight90, GetBattleInfo, killed, GetBattleInfo, MoveForward, killed, GetBattleInfo
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateLeft90, killed, killed, RotateRight45, killed, killed, killed, RotateLeft90, GetBattleInfo, killed, GetBattleInfo, GetBattleInfo, killed, GetBattleInfo
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, Shoot, killed, killed, GetBattleInfo, killed, killed, killed, Shoot, GetBattleInfo, killed, Shoot, MoveForward, killed, GetBattleInfo
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, Shoot, killed, killed, killed, RotateRight90, Shoot, killed, GetBattleInfo, RotateRight90, killed, Shoot
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateLeft90, killed, killed, RotateRight90, killed, killed, killed, RotateLeft90, GetBattleInfo, killed, GetBattleInfo, RotateRight45, killed, GetBattleInfo
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, RotateRight90, killed, killed, killed, Shoot (ignored), GetBattleInfo, killed, GetBattleInfo, Shoot, killed, GetBattleInfo
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, MoveForward, killed, killed, killed, RotateRight90, GetBattleInfo, killed, GetBattleInfo, GetBattleInfo, killed, GetBattleInfo
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateLeft90, killed, killed, GetBattleInfo, killed, killed, killed, RotateLeft90, GetBattleInfo, killed, Shoot, RotateRight90, killed, GetBattleInfo
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, Shoot, killed, killed, Shoot, killed, killed, killed, Shoot, Shoot, killed, GetBattleInfo, RotateRight90, killed, Shoot
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, RotateRight90, killed, killed, killed, RotateRight90, GetBattleInfo, killed, GetBattleInfo, MoveForward, killed, GetBattleInfo
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateLeft90 (killed), killed, killed, RotateLeft90, killed, killed, killed, RotateLeft90, GetBattleInfo, killed, GetBattleInfo, Shoot, killed, GetBattleInfo
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, Shoot (ignored), GetBattleInfo, killed, GetBattleInfo, GetBattleInfo, killed, MoveForward
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, RotateRight90, MoveForward, killed, RotateRight90, RotateRight90, killed, RotateRight90
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, Shoot, killed, killed, killed, RotateLeft90, RotateRight45, killed, killed, RotateRight90, killed, RotateRight90
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, Shoot, MoveForward, killed, killed, MoveForward, killed, GetBattleInfo
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, RotateRight90, GetBattleInfo, killed, killed, RotateRight45, killed, MoveForward
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, RotateLeft90, MoveForward (ignored), killed, killed, GetBattleInfo, killed, RotateRight90
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, Shoot (ignored), RotateLeft45, killed, killed, MoveForward, killed, RotateRight45
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateLeft90, killed, killed, killed, RotateRight90, MoveForward, killed, killed, MoveForward, killed, GetBattleInfo
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateLeft90, killed, killed, killed, RotateLeft90, GetBattleInfo, killed, killed, RotateLeft45, killed, RotateRight45
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateLeft90, killed, killed, killed, Shoot, MoveForward, killed, killed, GetBattleInfo, killed, RotateRight45
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, RotateRight90, RotateRight45, killed, killed, MoveForward, killed, RotateLeft45
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateLeft45, killed, killed, killed, RotateLeft90, MoveForward, killed, killed, MoveForward, killed, GetBattleInfo
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, Shoot (ignored), GetBattleInfo, killed, killed, RotateRight45, killed, RotateRight45
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateLeft90, killed, killed, killed, RotateRight90, RotateRight45, killed, killed, GetBattleInfo, killed, RotateLeft45
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, RotateLeft90, MoveForward, killed, killed, MoveForward, killed, RotateRight45
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, Shoot, RotateLeft45, killed, killed, MoveForward, killed, GetBattleInfo
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, RotateRight90, GetBattleInfo, killed, killed, RotateLeft45, killed, RotateLeft45
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, RotateLeft90, MoveForward (ignored), killed, killed, GetBattleInfo, killed, RotateRight45
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, Shoot (ignored), MoveForward (ignored), killed, killed, MoveForward, killed, RotateLeft45
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight45, killed, killed, killed, RotateRight90, MoveForward (ignored), killed, killed, MoveForward, killed, GetBattleInfo
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, RotateLeft90, GetBattleInfo, killed, killed, RotateRight45, killed, RotateRight45
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateLeft45, killed, killed, killed, Shoot, MoveForward (ignored), killed, killed, GetBattleInfo, killed, RotateLeft45
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo (killed), killed, killed, killed, RotateRight90, MoveForward (ignored), killed, killed, Shoot, killed, RotateRight45
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateLeft90, RotateRight45, killed, killed, MoveForward, killed, GetBattleInfo
killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), GetBattleInfo, killed, killed, MoveForward, killed, RotateLeft45
Player 2 won with 3 tanks still alive
